,Title,MolecularFormula,CanonicalSMILES,InChIKey,Database IDs,Formula Score,Structure Score,Consensus Score
0,1-Methyl-2-pentyl-4(1H)-quinolinone,C15H19NO,CCCCCc1cc(=O)c2ccccc2n1C,CHULATXGEVFYAJ-UHFFFAOYSA-N,PMHub:MS000136498,1.0,0.9999999989477077,0.9999999992633954
1,3-Methyl-2-pentyl-1H-quinolin-4-one,C15H19NO,CCCCCc1[nH]c2ccccc2c(=O)c1C,SSWORBNMTDPEQY-UHFFFAOYSA-N,PMHub:MS000029420,1.0,0.9304553203660082,0.9513187242562058
2,4-methoxy-2-pentylquinoline,C15H19NO,CCCCCc1cc(OC)c2ccccc2n1,GBEBHUXJNVPKMN-UHFFFAOYSA-N,PMHub:MS000230294,1.0,0.9211639695761498,0.9448147787033048
3,5-prenyltryptophol,C15H19NO,CC(C)=CCc1ccc2[nH]cc(CCO)c2c1,SFWFEXAPJYQJDO-UHFFFAOYSA-N,NPA031359,1.0,0.8704834092872057,0.909338386501044
4,6-prenyltryptophol,C15H19NO,CC(C)=CCc1ccc2c(CCO)c[nH]c2c1,OMYAYZKRMLYPNC-UHFFFAOYSA-N,NPA004522;;PMHub:MS000043446,1.0,0.8490292485133895,0.8943204739593726
5,"2-(2,3-dimethylbutyl)quinoline-4-one",C15H19NO,CC(C)C(C)Cc1cc(=O)c2ccccc2[nH]1,TWYLXVRZBCLGHB-UHFFFAOYSA-N,NPA023049,1.0,0.8335234139899678,0.8834663897929773
6,Leiokinine B,C15H19NO,CCC(CC)c1cc(=O)c2ccccc2n1C,OWPVBMRQCFDSPY-UHFFFAOYSA-N,PMHub:MS000083905,1.0,0.795171929636456,0.8566203507455192
7,"2-(1-Ethylpropyl)-4-methoxyquinoline, 9CI|4-methoxy-2-(3'-pentyl)quinoline",C15H19NO,CCC(CC)c1cc(OC)c2ccccc2n1,OYXSMIAYHKUZQQ-UHFFFAOYSA-N,PMHub:MS000091855,1.0,0.7891310543911567,0.8523917380738097
8,Pronetalol,C15H19NO,CC(C)NCC(O)c1ccc2ccccc2c1,HRSANNODOVBCST-UHFFFAOYSA-N,BloodExp:CID4930;;HMDB0256806;;C11707;;PMHub:MS000022520,1.0,0.6569347986041179,0.7598543590228825
9,Dehydrodarlinin|dehydrodarlinine,C15H19NO,CN1CCCC1CC(=O)C=Cc1ccccc1,CQBUTECROSOOEZ-UHFFFAOYSA-N,PMHub:MS000092351,1.0,0.656892411408776,0.7598246879861431
