Score,InChI,FragmenterScore_Values,MaximumTreeDepth,MonoisotopicMass,Identifier,MolecularFormula,InChIKey3,SMILES,FormulasOfExplPeaks,InChIKey2,InChIKey1,FragmenterScore,ExplPeaks,InChIKey,NoExplPeaks,NumberPeaksUsed
1.0,"InChI=1S/C12H9NO2/c1-13-10-5-3-2-4-8(10)11(14)9-6-7-15-12(9)13/h2-7H,1H3",1629.0;305.0,2,199.0633285,303583,C12H9NO2,N,Cn1c2ccccc2c(=O)c2ccoc21,50.0159912109375:[C4H3-H]+;185.04685974121094:[C11H6NO2]+H+,UHFFFAOYSA,FUVCJKNEOUWLPI,243.1592077494656,50.0159912109375_27.1;185.04685974121094_999.0,FUVCJKNEOUWLPI-UHFFFAOYSA-N,2,16
0.9401262925442265,"InChI=1S/C12H9NO2/c1-2-3-8-13-11(14)9-6-4-5-7-10(9)12(13)15/h4-7H,8H2,1H3",1672.0;348.0,2,199.0633285,344181,C12H9NO2,N,CC#CCN1C(=O)c2ccccc2C1=O,50.0159912109375:[C4H3-H]+;185.04685974121094:[C11H6NO2]+H+,UHFFFAOYSA,COPWPECHFWIYSP,228.60036447949645,50.0159912109375_27.1;185.04685974121094_999.0,COPWPECHFWIYSP-UHFFFAOYSA-N,2,16
0.9401262925442265,"InChI=1S/C12H9NO2/c1-7-3-4-9-8(2)10(6-13)12(14)15-11(9)5-7/h3-5H,1-2H3",1672.0;348.0,2,199.0633285,520447,C12H9NO2,N,Cc1ccc2c(C)c(C#N)c(=O)oc2c1,50.0159912109375:[C4H3-H]+;185.04685974121094:[C11H6NO2]+H+,UHFFFAOYSA,FZGHMDGFNLQOOG,228.60036447949645,50.0159912109375_27.1;185.04685974121094_999.0,FZGHMDGFNLQOOG-UHFFFAOYSA-N,2,16
0.9250217761626993,"InChI=1S/C12H9NO2/c1-14-11-8-4-2-3-5-10(8)13-12-9(11)6-7-15-12/h2-7H,1H3",1936.0;360.0,2,199.0633285,90565,C12H9NO2,N,COc1c2ccccc2nc2occc12,50.0159912109375:[C4H3-H]+;185.04685974121094:[C11H6NO2]+H+,UHFFFAOYSA,WIONIXOBNMDJFJ,224.92756224272546,50.0159912109375_27.1;185.04685974121094_999.0,WIONIXOBNMDJFJ-UHFFFAOYSA-N,2,16
0.6800712889093272,"InChI=1S/C12H9NO2/c14-13(15)11-7-6-9-5-4-8-2-1-3-10(11)12(8)9/h1-3,6-7H,4-5H2",1672.0;696.0,2,199.0633285,306627,C12H9NO2,N,O=[N+]([O-])c1ccc2c3c(cccc13)CC2,50.0159912109375:[C4H3-H]+;185.04685974121094:[C11H7NO2]+,UHFFFAOYSA,CUARLQDWYSRQDF,165.36559582434992,50.0159912109375_27.1;185.04685974121094_999.0,CUARLQDWYSRQDF-UHFFFAOYSA-N,2,16
0.6744002922882603,"InChI=1S/C12H9NO2/c14-11-7-15-10-6-5-8-3-1-2-4-9(8)12(10)13-11/h1-6H,7H2,(H,13,14)",1889.0;708.0,2,199.0633285,533274,C12H9NO2,N,O=C1COc2ccc3ccccc3c2N1,50.0159912109375:[C4H2]+;185.04685974121094:[C11H7NO2]+,UHFFFAOYSA,PWEJJSREWZMHGC,163.9866407788214,50.0159912109375_27.1;185.04685974121094_999.0,PWEJJSREWZMHGC-UHFFFAOYSA-N,2,16
0.5589873139322125,"InChI=1S/C12H9NO2/c14-11-5-1-9(2-6-11)13-10-3-7-12(15)8-4-10/h1-8,14H",1629.0;1060.0,2,199.0633285,17170,C12H9NO2,N,O=C1C=CC(=Nc2ccc(O)cc2)C=C1,50.0159912109375:[C4H3-H]+;185.04685974121094:[C11H8NO2-H]+,UHFFFAOYSA,RSAZYXZUJROYKR,135.92291239775858,50.0159912109375_27.1;185.04685974121094_999.0,RSAZYXZUJROYKR-UHFFFAOYSA-N,2,16
0.5039921169427105,"InChI=1S/C12H9NO2/c14-15-11-7-3-1-5-9(11)13-10-6-2-4-8-12(10)15/h1-8,13H",1629.0;1324.0,2,199.0633285,82577,C12H9NO2,N,[O-][O+]1c2ccccc2Nc2ccccc21,50.0159912109375:[C4H3-H]+;185.04685974121094:[C11H8NO2-H]+,UHFFFAOYSA,VIMKZQFYGSNULS,122.55032386776551,50.0159912109375_27.1;185.04685974121094_999.0,VIMKZQFYGSNULS-UHFFFAOYSA-N,2,16
0.5039921169427105,InChI=1S/C12H9NO2/c14-13(15)12-9-5-4-8-11(12)10-6-2-1-3-7-10/h1-9H,1629.0;1324.0,2,199.0633285,87534,C12H9NO2,N,O=[N+]([O-])c1ccccc1-c1ccccc1,50.0159912109375:[C4H3-H]+;185.04685974121094:[C11H8NO2-H]+,UHFFFAOYSA,YOJKKXRJMXIKSR,122.55032386776551,50.0159912109375_27.1;185.04685974121094_999.0,YOJKKXRJMXIKSR-UHFFFAOYSA-N,2,16
0.5039921169427105,InChI=1S/C12H9NO2/c14-13(15)12-8-6-11(7-9-12)10-4-2-1-3-5-10/h1-9H,1629.0;1324.0,2,199.0633285,96837,C12H9NO2,N,O=[N+]([O-])c1ccc(-c2ccccc2)cc1,50.0159912109375:[C4H3-H]+;185.04685974121094:[C11H8NO2-H]+,UHFFFAOYSA,BAJQRLZAPXASRD,122.55032386776551,50.0159912109375_27.1;185.04685974121094_999.0,BAJQRLZAPXASRD-UHFFFAOYSA-N,2,16
