Score,InChI,FragmenterScore_Values,MaximumTreeDepth,MonoisotopicMass,Identifier,MolecularFormula,InChIKey3,SMILES,FormulasOfExplPeaks,InChIKey2,InChIKey1,FragmenterScore,ExplPeaks,InChIKey,NoExplPeaks,NumberPeaksUsed
1.0,"InChI=1S/C15H10O6/c1-5-2-6-10(8(16)3-5)14(20)11-7(12(6)18)4-9(17)13(19)15(11)21/h2-4,16-17,19,21H,1H3",696.0;696.0;696.0;796.0,2,286.047738,48301,C15H10O6,N,Cc1cc(O)c2c(c1)C(=O)c1cc(O)c(O)c(O)c1C2=O,107.04930114746094:[C7H6O]+H+;135.0436248779297:[C8H6O2]+H+;153.01795959472656:[C7H4O4]+H+;154.0258026123047:[C7H4O4+H]+H+,UHFFFAOYSA,OWKHJRBCPBBUGG,108.44344048455827,107.04930114746094_190.2;135.0436248779297_339.6;153.01795959472656_999.0;154.0258026123047_77.6,OWKHJRBCPBBUGG-UHFFFAOYSA-N,4,10
1.0,"InChI=1S/C15H10O6/c1-5-2-6-10(7(16)3-5)15(21)11-8(17)4-9(18)14(20)12(11)13(6)19/h2-4,16-18,20H,1H3",696.0;696.0;696.0;796.0,2,286.047738,85206,C15H10O6,N,Cc1cc(O)c2c(c1)C(=O)c1c(O)c(O)cc(O)c1C2=O,107.04930114746094:[C7H6O]+H+;135.0436248779297:[C8H6O2]+H+;153.01795959472656:[C7H4O4]+H+;154.0258026123047:[C7H4O4+H]+H+,UHFFFAOYSA,ITCNKLLBKUYLLV,108.44344048455827,107.04930114746094_190.2;135.0436248779297_339.6;153.01795959472656_999.0;154.0258026123047_77.6,ITCNKLLBKUYLLV-UHFFFAOYSA-N,4,10
1.0,"InChI=1S/C15H10O6/c1-5-2-6(16)3-7-10(5)14(20)11-8(12(7)18)4-9(17)13(19)15(11)21/h2-4,16-17,19,21H,1H3",696.0;696.0;696.0;796.0,2,286.047738,466284,C15H10O6,N,Cc1cc(O)cc2c1C(=O)c1c(cc(O)c(O)c1O)C2=O,107.04930114746094:[C7H6O]+H+;135.0436248779297:[C8H6O2]+H+;153.01795959472656:[C7H4O4]+H+;154.0258026123047:[C7H4O4+H]+H+,UHFFFAOYSA,KZVLHYYGGGXDIF,108.44344048455827,107.04930114746094_190.2;135.0436248779297_339.6;153.01795959472656_999.0;154.0258026123047_77.6,KZVLHYYGGGXDIF-UHFFFAOYSA-N,4,10
1.0,"InChI=1S/C15H10O6/c1-5-2-3-6-9(11(5)17)13(19)7-4-8(16)14(20)15(21)10(7)12(6)18/h2-4,16-17,20-21H,1H3",696.0;696.0;696.0;796.0,2,286.047738,475314,C15H10O6,N,Cc1ccc2c(c1O)C(=O)c1cc(O)c(O)c(O)c1C2=O,107.04930114746094:[C7H6O]+H+;135.0436248779297:[C8H6O2]+H+;153.01795959472656:[C7H4O4]+H+;154.0258026123047:[C7H4O4+H]+H+,UHFFFAOYSA,BCNQJCOWMBZAAW,108.44344048455827,107.04930114746094_190.2;135.0436248779297_339.6;153.01795959472656_999.0;154.0258026123047_77.6,BCNQJCOWMBZAAW-UHFFFAOYSA-N,4,10
1.0,"InChI=1S/C15H10O6/c1-5-2-3-6-9(11(5)17)14(20)10-7(12(6)18)4-8(16)13(19)15(10)21/h2-4,16-17,19,21H,1H3",696.0;696.0;696.0;796.0,2,286.047738,504738,C15H10O6,N,Cc1ccc2c(c1O)C(=O)c1c(cc(O)c(O)c1O)C2=O,107.04930114746094:[C7H6O]+H+;135.0436248779297:[C8H6O2]+H+;153.01795959472656:[C7H4O4]+H+;154.0258026123047:[C7H4O4+H]+H+,UHFFFAOYSA,AQEJBANJFDNKHW,108.44344048455827,107.04930114746094_190.2;135.0436248779297_339.6;153.01795959472656_999.0;154.0258026123047_77.6,AQEJBANJFDNKHW-UHFFFAOYSA-N,4,10
0.9996139754729623,"InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)5-11-14(20)12-9(17)6-10(18)13(19)15(12)21-11/h1-6,16-19H",612.0;708.0;708.0;808.0,2,286.047738,387764,C15H10O6,N,O=C1C(=Cc2ccc(O)cc2)Oc2c(O)c(O)cc(O)c21,107.04930114746094:[C7H6O]+H+;135.0436248779297:[C8H6O2]+H+;153.01795959472656:[C7H4O4]+H+;154.0258026123047:[C7H4O4+H]+H+,UHFFFAOYSA,OBXHAWNIHMDNAA,108.40157865673487,107.04930114746094_190.2;135.0436248779297_339.6;153.01795959472656_999.0;154.0258026123047_77.6,OBXHAWNIHMDNAA-UHFFFAOYSA-N,4,10
0.9921124189993084,"InChI=1S/C15H10O6/c1-6-4-8(17)11-10(5-6)21-9-3-2-7(16)12(15(19)20)13(9)14(11)18/h2-5,16-17H,1H3,(H,19,20)",708.0;708.0;708.0;808.0,2,286.047738,379636,C15H10O6,N,Cc1cc(O)c2c(=O)c3c(C(=O)O)c(O)ccc3oc2c1,107.04930114746094:[C7H6O]+H+;135.0436248779297:[C8H6O2]+H+;153.01795959472656:[C7H4O4]+H+;154.0258026123047:[C7H4O4+H]+H+,UHFFFAOYSA,ASAUXYYQDCDORO,107.58808406374263,107.04930114746094_190.2;135.0436248779297_339.6;153.01795959472656_999.0;154.0258026123047_77.6,ASAUXYYQDCDORO-UHFFFAOYSA-N,4,10
0.9921124189993084,"InChI=1S/C15H10O6/c1-6-2-9(17)13-10(3-6)21-11-5-7(16)4-8(15(19)20)12(11)14(13)18/h2-5,16-17H,1H3,(H,19,20)",708.0;708.0;708.0;808.0,2,286.047738,455542,C15H10O6,N,Cc1cc(O)c2c(=O)c3c(C(=O)O)cc(O)cc3oc2c1,107.04930114746094:[C7H6O]+H+;135.0436248779297:[C8H6O2]+H+;153.01795959472656:[C7H4O4]+H+;154.0258026123047:[C7H4O4+H]+H+,UHFFFAOYSA,XSPSQSXYKJASKD,107.58808406374263,107.04930114746094_190.2;135.0436248779297_339.6;153.01795959472656_999.0;154.0258026123047_77.6,XSPSQSXYKJASKD-UHFFFAOYSA-N,4,10
0.9808614298843186,"InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)12-14(19)13-10(18)5-9(17)6-11(13)21-15(12)20/h1-6,16-19H",1060.0;696.0;696.0;796.0,2,286.047738,64268,C15H10O6,N,O=c1oc2cc(O)cc(O)c2c(O)c1-c1ccc(O)cc1,107.04930114746094:[C7H5O+H]+H+;135.0436248779297:[C8H6O2]+H+;153.01795959472656:[C7H4O4]+H+;154.0258026123047:[C7H4O4+H]+H+,UHFFFAOYSA,TXPADJQVZAFBTP,106.36798809525882,107.04930114746094_190.2;135.0436248779297_339.6;153.01795959472656_999.0;154.0258026123047_77.6,TXPADJQVZAFBTP-UHFFFAOYSA-N,4,10
0.9738275405652319,"InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)10-6-21-15-9(12(10)18)5-11(17)13(19)14(15)20/h1-6,16-17,19-20H",1060.0;708.0;708.0;808.0,2,286.047738,67115,C15H10O6,N,O=c1c(-c2ccc(O)cc2)coc2c(O)c(O)c(O)cc12,107.04930114746094:[C7H5O+H]+H+;135.0436248779297:[C8H6O2]+H+;153.01795959472656:[C7H4O4]+H+;154.0258026123047:[C7H4O4+H]+H+,UHFFFAOYSA,CDRYROJFUGYDQH,105.60520893750947,107.04930114746094_190.2;135.0436248779297_339.6;153.01795959472656_999.0;154.0258026123047_77.6,CDRYROJFUGYDQH-UHFFFAOYSA-N,4,10
