Score,InChI,FragmenterScore_Values,MaximumTreeDepth,MonoisotopicMass,Identifier,MolecularFormula,InChIKey3,SMILES,FormulasOfExplPeaks,InChIKey2,InChIKey1,FragmenterScore,ExplPeaks,InChIKey,NoExplPeaks,NumberPeaksUsed
1.0,"InChI=1S/C25H20O9/c1-12-8-20(30)22(24(33-12)14-4-7-17(27)19(29)10-14)23-21(31)11-15(34-25(23)32)5-2-13-3-6-16(26)18(28)9-13/h2-11,22,24,26-29,31H,1H3",708.0;796.0;360.0;708.0;972.0;1056.0;1056.0;796.0;696.0;696.0;1056.0;796.0;696.0;696.0;1256.0,2,464.1107322,64331,C25H20O9,N,CC1=CC(=O)C(c2c(O)cc(C=Cc3ccc(O)c(O)c3)oc2=O)C(c2ccc(O)c(O)c2)O1,119.0506591796875:[C8H6O]+H+;148.05198669433594:[C9H7O2]+H+;242.056396484375:[C14H9O4]+H+;243.06520080566406:[C14H11O4]+;257.0436706542969:[C14H10O5-H]+;258.0504150390625:[C14H10O5]+;259.06060791015625:[C14H10O5]+H+;271.0613098144531:[C15H11O5]+;285.0381164550781:[C15H10O6-H]+;286.0460510253906:[C15H10O6]+;287.0536804199219:[C15H10O6]+H+;297.0389709472656:[C16H11O6-2H]+;433.0888671875:[C24H16O8]+H+;435.1080322265625:[C24H20O8-H]+;447.1064758300781:[C25H19O8]+,UHFFFAOYSA,KYFXISLAEBFZFO,537.882151987112,119.0506591796875_25.1;148.05198669433594_99.2;242.056396484375_179.0;243.06520080566406_36.9;257.0436706542969_999.0;258.0504150390625_403.6;259.06060791015625_38.8;271.0613098144531_30.1;285.0381164550781_94.3;286.0460510253906_691.7;287.0536804199219_468.7;297.0389709472656_113.8;433.0888671875_23.0;435.1080322265625_118.9;447.1064758300781_645.4,KYFXISLAEBFZFO-UHFFFAOYSA-N,15,41
0.9821327967715483,"InChI=1S/C25H20O9/c1-13(26)8-20(29)17(9-15-4-7-19(28)22(31)11-15)24-23(32)12-16(34-25(24)33)5-2-14-3-6-18(27)21(30)10-14/h2-12,27-32H,1H3/b5-2+,17-9+,20-8-",708.0;808.0;360.0;708.0;972.0;1156.0;1056.0;960.0;960.0;796.0;696.0;796.0;696.0;696.0;1160.0,2,464.1107322,315494,C25H20O9,N,CC(=O)/C=C(O)/C(=C\c1ccc(O)c(O)c1)c1c(O)cc(/C=C/c2ccc(O)c(O)c2)oc1=O,119.0506591796875:[C8H6O]+H+;148.05198669433594:[C9H7O2]+H+;242.056396484375:[C14H11O4-H]+;243.06520080566406:[C14H11O4]+;257.0436706542969:[C14H9O5]+;258.0504150390625:[C14H9O5]+H+;259.06060791015625:[C14H12O5-H]+;271.0613098144531:[C15H10O5]+H+;285.0381164550781:[C15H10O6-H]+;286.0460510253906:[C15H10O6]+;287.0536804199219:[C15H10O6]+H+;297.0389709472656:[C16H11O6-2H]+;433.0888671875:[C24H16O8]+H+;435.1080322265625:[C24H20O8-H]+;447.1064758300781:[C25H19O8]+,RRAWIICHSA,SDJYPLYGBCMOGL,528.2717022646013,119.0506591796875_25.1;148.05198669433594_99.2;242.056396484375_179.0;243.06520080566406_36.9;257.0436706542969_999.0;258.0504150390625_403.6;259.06060791015625_38.8;271.0613098144531_30.1;285.0381164550781_94.3;286.0460510253906_691.7;287.0536804199219_468.7;297.0389709472656_113.8;433.0888671875_23.0;435.1080322265625_118.9;447.1064758300781_645.4,SDJYPLYGBCMOGL-RRAWIICHSA-N,15,41
0.9624294955321356,"InChI=1S/C25H20O9/c1-31-18-8-13(4-7-15(18)28)24-21(11-26)34-25-20(33-24)10-19-22(23(25)30)16(29)9-17(32-19)12-2-5-14(27)6-3-12/h2-10,21,24,26-28,30H,11H2,1H3",348.0;448.0;360.0;708.0;808.0;1416.0;1416.0;1416.0;1416.0;1416.0;1056.0;720.0;820.0;1056.0;1056.0,2,464.1107322,482474,C25H20O9,N,COc1cc(C2Oc3cc4oc(-c5ccc(O)cc5)cc(=O)c4c(O)c3OC2CO)ccc1O,119.0506591796875:[C8H6O]+H+;148.05198669433594:[C9H6O2+H]+H+;242.056396484375:[C14H10O4]+;243.06520080566406:[C14H10O4]+H+;257.0436706542969:[C14H8O5]+H+;258.0504150390625:[C14H10O5]+;259.06060791015625:[C14H10O5]+H+;271.0613098144531:[C15H11O5]+;285.0381164550781:[C15H8O6]+H+;286.0460510253906:[C15H8O6+H]+H+;287.0536804199219:[C15H11O6]+;297.0389709472656:[C16H9O6]+;433.0888671875:[C24H17O8]+;435.1080322265625:[C24H17O8+H]+H+;447.1064758300781:[C25H19O8]+,UHFFFAOYSA,OYFVDHDIURCUPX,517.6736481926957,119.0506591796875_25.1;148.05198669433594_99.2;242.056396484375_179.0;243.06520080566406_36.9;257.0436706542969_999.0;258.0504150390625_403.6;259.06060791015625_38.8;271.0613098144531_30.1;285.0381164550781_94.3;286.0460510253906_691.7;287.0536804199219_468.7;297.0389709472656_113.8;433.0888671875_23.0;435.1080322265625_118.9;447.1064758300781_645.4,OYFVDHDIURCUPX-UHFFFAOYSA-N,15,41
0.9609114020110758,"InChI=1S/C25H20O9/c1-31-19-8-13(4-7-15(19)28)23-21(11-26)34-24-20(33-23)10-17(30)22-16(29)9-18(32-25(22)24)12-2-5-14(27)6-3-12/h2-10,21,23,26-28,30H,11H2,1H3",348.0;448.0;360.0;708.0;808.0;1516.0;1616.0;1416.0;1416.0;1416.0;1056.0;720.0;820.0;1056.0;1056.0,2,464.1107322,407322,C25H20O9,N,COc1cc(C2Oc3cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc4c3OC2CO)ccc1O,119.0506591796875:[C8H6O]+H+;148.05198669433594:[C9H6O2+H]+H+;242.056396484375:[C14H8O4+H]+H+;243.06520080566406:[C14H8O4+2H]+H+;257.0436706542969:[C14H8O5]+H+;258.0504150390625:[C14H10O5]+;259.06060791015625:[C14H10O5]+H+;271.0613098144531:[C15H11O5]+;285.0381164550781:[C15H8O6]+H+;286.0460510253906:[C15H8O6+H]+H+;287.0536804199219:[C15H11O6]+;297.0389709472656:[C16H9O6]+;433.0888671875:[C24H17O8]+;435.1080322265625:[C24H17O8+H]+H+;447.1064758300781:[C25H19O8]+,UHFFFAOYSA,OJUFMXZXXZASBJ,516.8570927826704,119.0506591796875_25.1;148.05198669433594_99.2;242.056396484375_179.0;243.06520080566406_36.9;257.0436706542969_999.0;258.0504150390625_403.6;259.06060791015625_38.8;271.0613098144531_30.1;285.0381164550781_94.3;286.0460510253906_691.7;287.0536804199219_468.7;297.0389709472656_113.8;433.0888671875_23.0;435.1080322265625_118.9;447.1064758300781_645.4,OJUFMXZXXZASBJ-UHFFFAOYSA-N,15,41
0.9581115515164116,"InChI=1S/C25H20O9/c1-12(26)8-21-23-22(25(32)34-24(23)14-4-7-17(28)19(30)10-14)20(31)11-15(33-21)5-2-13-3-6-16(27)18(29)9-13/h2-11,23-24,27-31H,1H3",708.0;808.0;360.0;708.0;972.0;1308.0;796.0;1408.0;1072.0;972.0;1056.0;796.0;696.0;696.0;1160.0,2,464.1107322,433032,C25H20O9,N,CC(=O)C=C1OC(C=Cc2ccc(O)c(O)c2)=CC(O)=C2C(=O)OC(c3ccc(O)c(O)c3)C12,119.0506591796875:[C8H6O]+H+;148.05198669433594:[C9H7O2]+H+;242.056396484375:[C14H10O4]+;243.06520080566406:[C14H12O4-H]+;257.0436706542969:[C14H10O5-H]+;258.0504150390625:[C14H11O5-H]+;259.06060791015625:[C14H11O5]+;271.0613098144531:[C15H11O5]+;285.0381164550781:[C15H10O6-H]+;286.0460510253906:[C15H10O6]+;287.0536804199219:[C15H10O6]+H+;297.0389709472656:[C16H11O6-2H]+;433.0888671875:[C24H16O8]+H+;435.1080322265625:[C24H20O8-H]+;447.1064758300781:[C25H19O8]+,UHFFFAOYSA,ZHEIBRWXIBOUFZ,515.3511031733582,119.0506591796875_25.1;148.05198669433594_99.2;242.056396484375_179.0;243.06520080566406_36.9;257.0436706542969_999.0;258.0504150390625_403.6;259.06060791015625_38.8;271.0613098144531_30.1;285.0381164550781_94.3;286.0460510253906_691.7;287.0536804199219_468.7;297.0389709472656_113.8;433.0888671875_23.0;435.1080322265625_118.9;447.1064758300781_645.4,ZHEIBRWXIBOUFZ-UHFFFAOYSA-N,15,41
0.9525448600314115,"InChI=1S/C25H20O9/c1-8(26)10-4-5-12(29)15-17-19-18(22(31)23(32)21(17)30)16-13(7-6-11(28)14(16)9(2)27)34-24(19)25(3,33)20(10)15/h4-7,24,28-33H,1-3H3",708.0;908.0;360.0;1156.0;1672.0;2032.0;1684.0;1044.0;1044.0;1144.0;1056.0;796.0;696.0;696.0;1256.0,2,464.1107322,430787,C25H20O9,N,CC(=O)c1ccc(O)c2c1C(C)(O)C1Oc3ccc(O)c(C(C)=O)c3-c3c(O)c(O)c(O)c-2c31,119.0506591796875:[C8H5O+H]+H+;148.05198669433594:[C9H6O2+H]+H+;242.056396484375:[C14H11O4-H]+;243.06520080566406:[C14H12O4-H]+;257.0436706542969:[C14H9O5]+;258.0504150390625:[C14H9O5]+H+;259.06060791015625:[C14H9O5+H]+H+;271.0613098144531:[C15H11O5]+;285.0381164550781:[C15H10O6-H]+;286.0460510253906:[C15H10O6]+;287.0536804199219:[C15H10O6]+H+;297.0389709472656:[C16H11O6-2H]+;433.0888671875:[C24H16O8]+H+;435.1080322265625:[C24H16O8+2H]+H+;447.1064758300781:[C25H19O8]+,UHFFFAOYSA,MCRVZPRPURVHDS,512.356879177958,119.0506591796875_25.1;148.05198669433594_99.2;242.056396484375_179.0;243.06520080566406_36.9;257.0436706542969_999.0;258.0504150390625_403.6;259.06060791015625_38.8;271.0613098144531_30.1;285.0381164550781_94.3;286.0460510253906_691.7;287.0536804199219_468.7;297.0389709472656_113.8;433.0888671875_23.0;435.1080322265625_118.9;447.1064758300781_645.4,MCRVZPRPURVHDS-UHFFFAOYSA-N,15,41
0.9511325468762475,"InChI=1S/C25H20O9/c1-31-20-7-13(2-4-15(20)28)25-23(11-26)32-18-5-3-12(6-21(18)34-25)19-10-17(30)24-16(29)8-14(27)9-22(24)33-19/h2-10,23,25-29H,11H2,1H3",348.0;448.0;360.0;1068.0;1168.0;1156.0;1056.0;1416.0;1516.0;1616.0;808.0;720.0;820.0;1572.0;1056.0,2,464.1107322,401541,C25H20O9,N,COc1cc(C2Oc3cc(-c4cc(=O)c5c(O)cc(O)cc5o4)ccc3OC2CO)ccc1O,119.0506591796875:[C8H7O]+;148.05198669433594:[C9H9O2-H]+;242.056396484375:[C14H11O4-H]+;243.06520080566406:[C14H11O4]+;257.0436706542969:[C14H8O5]+H+;258.0504150390625:[C14H8O5+H]+H+;259.06060791015625:[C14H8O5+2H]+H+;271.0613098144531:[C15H12O5-H]+;285.0381164550781:[C15H8O6]+H+;286.0460510253906:[C15H8O6+H]+H+;287.0536804199219:[C15H11O6]+;297.0389709472656:[C16H9O6]+;433.0888671875:[C24H17O8]+;435.1080322265625:[C24H17O8+H]+H+;447.1064758300781:[C25H19O8]+,UHFFFAOYSA,ZYWKQKQEAVWKHD,511.5972211387787,119.0506591796875_25.1;148.05198669433594_99.2;242.056396484375_179.0;243.06520080566406_36.9;257.0436706542969_999.0;258.0504150390625_403.6;259.06060791015625_38.8;271.0613098144531_30.1;285.0381164550781_94.3;286.0460510253906_691.7;287.0536804199219_468.7;297.0389709472656_113.8;433.0888671875_23.0;435.1080322265625_118.9;447.1064758300781_645.4,ZYWKQKQEAVWKHD-UHFFFAOYSA-N,15,41
0.9511325468762475,"InChI=1S/C25H20O9/c1-31-20-7-13(2-4-15(20)28)25-23(11-26)33-21-6-12(3-5-18(21)34-25)19-10-17(30)24-16(29)8-14(27)9-22(24)32-19/h2-10,23,25-29H,11H2,1H3/t23-,25+/m1/s1",348.0;448.0;360.0;1068.0;1168.0;1156.0;1056.0;1416.0;1516.0;1616.0;808.0;720.0;820.0;1572.0;1056.0,2,464.1107322,546164,C25H20O9,N,COc1cc([C@@H]2Oc3ccc(-c4cc(=O)c5c(O)cc(O)cc5o4)cc3O[C@@H]2CO)ccc1O,119.0506591796875:[C8H7O]+;148.05198669433594:[C9H9O2-H]+;242.056396484375:[C14H11O4-H]+;243.06520080566406:[C14H11O4]+;257.0436706542969:[C14H8O5]+H+;258.0504150390625:[C14H8O5+H]+H+;259.06060791015625:[C14H8O5+2H]+H+;271.0613098144531:[C15H12O5-H]+;285.0381164550781:[C15H8O6]+H+;286.0460510253906:[C15H8O6+H]+H+;287.0536804199219:[C15H11O6]+;297.0389709472656:[C16H9O6]+;433.0888671875:[C24H17O8]+;435.1080322265625:[C24H17O8+H]+H+;447.1064758300781:[C25H19O8]+,NOZRDPDXSA,NMICSFNNFDNGEL,511.5972211387787,119.0506591796875_25.1;148.05198669433594_99.2;242.056396484375_179.0;243.06520080566406_36.9;257.0436706542969_999.0;258.0504150390625_403.6;259.06060791015625_38.8;271.0613098144531_30.1;285.0381164550781_94.3;286.0460510253906_691.7;287.0536804199219_468.7;297.0389709472656_113.8;433.0888671875_23.0;435.1080322265625_118.9;447.1064758300781_645.4,NMICSFNNFDNGEL-NOZRDPDXSA-N,15,41
0.9478956240100557,"InChI=1S/C25H20O9/c1-32-21-6-11(2-3-16(21)28)24-15(10-26)14-4-12(5-19(31)25(14)34-24)20-9-18(30)23-17(29)7-13(27)8-22(23)33-20/h2-9,15,24,26-29,31H,10H2,1H3",348.0;448.0;360.0;1068.0;1156.0;1144.0;1044.0;1572.0;1572.0;1572.0;808.0;708.0;808.0;1572.0;1044.0,2,464.1107322,359254,C25H20O9,N,COc1cc(C2Oc3c(O)cc(-c4cc(=O)c5c(O)cc(O)cc5o4)cc3C2CO)ccc1O,119.0506591796875:[C8H7O]+;148.05198669433594:[C9H9O2-H]+;242.056396484375:[C14H11O4-H]+;243.06520080566406:[C14H11O4]+;257.0436706542969:[C14H9O5]+;258.0504150390625:[C14H10O5]+;259.06060791015625:[C14H10O5]+H+;271.0613098144531:[C15H12O5-H]+;285.0381164550781:[C15H8O6]+H+;286.0460510253906:[C15H8O6+H]+H+;287.0536804199219:[C15H10O6]+H+;297.0389709472656:[C16H9O6]+;433.0888671875:[C24H17O8]+;435.1080322265625:[C24H17O8+H]+H+;447.1064758300781:[C25H19O8]+,UHFFFAOYSA,GFENFUMHFBPKMO,509.85613810169514,119.0506591796875_25.1;148.05198669433594_99.2;242.056396484375_179.0;243.06520080566406_36.9;257.0436706542969_999.0;258.0504150390625_403.6;259.06060791015625_38.8;271.0613098144531_30.1;285.0381164550781_94.3;286.0460510253906_691.7;287.0536804199219_468.7;297.0389709472656_113.8;433.0888671875_23.0;435.1080322265625_118.9;447.1064758300781_645.4,GFENFUMHFBPKMO-UHFFFAOYSA-N,15,41
0.9475533520523736,"InChI=1S/C25H20O9/c1-32-20-6-11(2-4-15(20)28)25-14(10-26)22-18(34-25)5-3-13(24(22)31)19-9-17(30)23-16(29)7-12(27)8-21(23)33-19/h2-9,14,25-29,31H,10H2,1H3",348.0;448.0;360.0;1068.0;1156.0;1144.0;1044.0;1572.0;1572.0;1672.0;808.0;708.0;808.0;1572.0;1044.0,2,464.1107322,448644,C25H20O9,N,COc1cc(C2Oc3ccc(-c4cc(=O)c5c(O)cc(O)cc5o4)c(O)c3C2CO)ccc1O,119.0506591796875:[C8H7O]+;148.05198669433594:[C9H9O2-H]+;242.056396484375:[C14H11O4-H]+;243.06520080566406:[C14H11O4]+;257.0436706542969:[C14H8O5]+H+;258.0504150390625:[C14H9O5]+H+;259.06060791015625:[C14H9O5+H]+H+;271.0613098144531:[C15H12O5-H]+;285.0381164550781:[C15H8O6]+H+;286.0460510253906:[C15H8O6+H]+H+;287.0536804199219:[C15H11O6]+;297.0389709472656:[C16H9O6]+;433.0888671875:[C24H17O8]+;435.1080322265625:[C24H17O8+H]+H+;447.1064758300781:[C25H19O8]+,UHFFFAOYSA,UFLZNHIKURDSFS,509.67203612453227,119.0506591796875_25.1;148.05198669433594_99.2;242.056396484375_179.0;243.06520080566406_36.9;257.0436706542969_999.0;258.0504150390625_403.6;259.06060791015625_38.8;271.0613098144531_30.1;285.0381164550781_94.3;286.0460510253906_691.7;287.0536804199219_468.7;297.0389709472656_113.8;433.0888671875_23.0;435.1080322265625_118.9;447.1064758300781_645.4,UFLZNHIKURDSFS-UHFFFAOYSA-N,15,41
