Score,InChI,FragmenterScore_Values,MaximumTreeDepth,MonoisotopicMass,Identifier,MolecularFormula,InChIKey3,SMILES,FormulasOfExplPeaks,InChIKey2,InChIKey1,FragmenterScore,ExplPeaks,InChIKey,NoExplPeaks,NumberPeaksUsed
1.0,"InChI=1S/C20H20O7/c1-3-14-9(2)19-16-10(7-20(26-14,27-19)8-15(23)24)6-11-12(21)4-5-13(22)17(11)18(16)25/h4-6,9,14,19,25H,3,7-8H2,1-2H3,(H,23,24)",348.0;348.0;348.0;1244.0;1144.0;448.0,2,372.120903,500602,C20H20O7,N,CCC1OC2(CC(=O)O)Cc3cc4c(c(O)c3C(O2)C1C)C(=O)C=CC4=O,283.0962829589844:[C17H17O4-2H]+;284.1048583984375:[C17H17O4-H]+;312.0988464355469:[C18H17O5-H]+;343.0804443359375:[C18H15O7]+;357.09661865234375:[C19H17O7]+;358.102294921875:[C19H17O7]+H+,UHFFFAOYSA,XDNQAXWRPSTVSE,725.3854640001757,283.0962829589844_552.6;284.1048583984375_323.5;312.0988464355469_999.0;343.0804443359375_669.5;357.09661865234375_393.8;358.102294921875_368.8,XDNQAXWRPSTVSE-UHFFFAOYSA-N,6,25
0.9760305472923003,"InChI=1S/C20H20O7/c1-4-26-17(24)11-9-19-14(22)8-10(2)20(11,25)18(19,3)27-13-7-5-6-12(21)15(13)16(19)23/h5-8,11,21,25H,4,9H2,1-3H3",360.0;348.0;348.0;708.0;808.0;820.0,2,372.120903,336802,C20H20O7,N,CCOC(=O)C1CC23C(=O)C=C(C)C1(O)C2(C)Oc1cccc(O)c1C3=O,283.0962829589844:[C17H14O4]+H+;284.1048583984375:[C17H14O4+H]+H+;312.0988464355469:[C18H14O5+H]+H+;343.0804443359375:[C18H15O7]+;357.09661865234375:[C19H17O7]+;358.102294921875:[C19H17O7]+H+,UHFFFAOYSA,FSQFJUBWBMNWOS,707.9983714259707,283.0962829589844_552.6;284.1048583984375_323.5;312.0988464355469_999.0;343.0804443359375_669.5;357.09661865234375_393.8;358.102294921875_368.8,FSQFJUBWBMNWOS-UHFFFAOYSA-N,6,25
0.9760305472923003,"InChI=1S/C20H20O7/c1-4-26-19(22)20(23)17(12-8-6-5-7-9-12)18(21)16-14(25-3)10-13(24-2)11-15(16)27-20/h5-11,17,23H,4H2,1-3H3",360.0;348.0;348.0;708.0;808.0;820.0,2,372.120903,497170,C20H20O7,N,CCOC(=O)C1(O)Oc2cc(OC)cc(OC)c2C(=O)C1c1ccccc1,283.0962829589844:[C17H14O4]+H+;284.1048583984375:[C17H14O4+H]+H+;312.0988464355469:[C18H14O5+H]+H+;343.0804443359375:[C18H15O7]+;357.09661865234375:[C19H17O7]+;358.102294921875:[C19H17O7]+H+,UHFFFAOYSA,BSEKDHRYMZTILL,707.9983714259707,283.0962829589844_552.6;284.1048583984375_323.5;312.0988464355469_999.0;343.0804443359375_669.5;357.09661865234375_393.8;358.102294921875_368.8,BSEKDHRYMZTILL-UHFFFAOYSA-N,6,25
0.9690694335141218,"InChI=1S/C20H20O7/c1-8-7-12(24-5)9(2)16-13(8)20(23)27-18-11(4)15(21)14(19(22)25-6)10(3)17(18)26-16/h7,21H,1-6H3",696.0;348.0;348.0;708.0;808.0;448.0,2,372.120903,385280,C20H20O7,N,COC(=O)c1c(C)c2c(c(C)c1O)OC(=O)c1c(C)cc(OC)c(C)c1O2,283.0962829589844:[C17H14O4]+H+;284.1048583984375:[C17H14O4+H]+H+;312.0988464355469:[C18H17O5-H]+;343.0804443359375:[C18H14O7]+H+;357.09661865234375:[C19H17O7]+;358.102294921875:[C19H17O7]+H+,UHFFFAOYSA,GBAQJUAXTCJTDK,702.9488806780287,283.0962829589844_552.6;284.1048583984375_323.5;312.0988464355469_999.0;343.0804443359375_669.5;357.09661865234375_393.8;358.102294921875_368.8,GBAQJUAXTCJTDK-UHFFFAOYSA-N,6,25
0.9648413933406504,"InChI=1S/C20H20O7/c1-12(21)26-17-9-8-14(11-19(17)25-4)10-16(23)15-6-5-7-18(24-3)20(15)27-13(2)22/h5-9,11H,10H2,1-4H3",696.0;348.0;348.0;720.0;820.0;460.0,2,372.120903,379179,C20H20O7,N,COc1cc(CC(=O)c2cccc(OC)c2OC(C)=O)ccc1OC(C)=O,283.0962829589844:[C17H14O4]+H+;284.1048583984375:[C17H14O4+H]+H+;312.0988464355469:[C18H17O5-H]+;343.0804443359375:[C18H14O7]+H+;357.09661865234375:[C19H17O7]+;358.102294921875:[C19H17O7]+H+,UHFFFAOYSA,ZBCLHRGQZAHLDI,699.8819217949838,283.0962829589844_552.6;284.1048583984375_323.5;312.0988464355469_999.0;343.0804443359375_669.5;357.09661865234375_393.8;358.102294921875_368.8,ZBCLHRGQZAHLDI-UHFFFAOYSA-N,6,25
0.9279775752225007,"InChI=1S/C20H20O7/c1-11(21)25-18(20(3,4)27-12(2)22)9-15-8-14-7-13-5-6-24-16(13)10-17(14)26-19(15)23/h5-8,10,18H,9H2,1-4H3",696.0;348.0;348.0;1268.0;1168.0;460.0,2,372.120903,421268,C20H20O7,N,CC(=O)OC(Cc1cc2cc3ccoc3cc2oc1=O)C(C)(C)OC(C)=O,283.0962829589844:[C17H17O4-2H]+;284.1048583984375:[C17H17O4-H]+;312.0988464355469:[C18H17O5-H]+;343.0804443359375:[C18H14O7]+H+;357.09661865234375:[C19H17O7]+;358.102294921875:[C19H17O7]+H+,UHFFFAOYSA,CRCYUDOXNBBJNS,673.1414439845316,283.0962829589844_552.6;284.1048583984375_323.5;312.0988464355469_999.0;343.0804443359375_669.5;357.09661865234375_393.8;358.102294921875_368.8,CRCYUDOXNBBJNS-UHFFFAOYSA-N,6,25
0.9255948999350021,"InChI=1S/C20H20O7/c1-7-6-9(21)11-12-10(7)16-14(19(3,4)8(2)27-16)15(22)13(12)18(24)20(25,26-5)17(11)23/h6,8,21-22,25H,1-5H3",696.0;348.0;348.0;796.0;696.0;696.0,2,372.120903,330062,C20H20O7,N,COC1(O)C(=O)c2c(O)cc(C)c3c4c(c(O)c(c23)C1=O)C(C)(C)C(C)O4,283.0962829589844:[C17H16O4-H]+;284.1048583984375:[C17H16O4]+;312.0988464355469:[C18H16O5]+;343.0804443359375:[C18H14O7]+H+;357.09661865234375:[C19H17O7]+;358.102294921875:[C19H17O7]+H+,UHFFFAOYSA,NOAOQFJXKUUYHO,671.4130859655477,283.0962829589844_552.6;284.1048583984375_323.5;312.0988464355469_999.0;343.0804443359375_669.5;357.09661865234375_393.8;358.102294921875_368.8,NOAOQFJXKUUYHO-UHFFFAOYSA-N,6,25
0.9139700261032968,"InChI=1S/C20H20O7/c1-25-16-9-12(4-5-15(16)22)19-14(10-21)13-7-11(3-6-18(23)24)8-17(26-2)20(13)27-19/h3-9,14,19,21-22H,10H2,1-2H3,(H,23,24)",720.0;360.0;360.0;808.0;708.0;708.0,2,372.120903,431505,C20H20O7,N,COc1cc(C2Oc3c(OC)cc(C=CC(=O)O)cc3C2CO)ccc1O,283.0962829589844:[C17H16O4-H]+;284.1048583984375:[C17H16O4]+;312.0988464355469:[C18H16O5]+;343.0804443359375:[C18H14O7]+H+;357.09661865234375:[C19H17O7]+;358.102294921875:[C19H17O7]+H+,UHFFFAOYSA,FHYQIQMSODIFCP,662.9805714671927,283.0962829589844_552.6;284.1048583984375_323.5;312.0988464355469_999.0;343.0804443359375_669.5;357.09661865234375_393.8;358.102294921875_368.8,FHYQIQMSODIFCP-UHFFFAOYSA-N,6,25
0.9139700261032968,"InChI=1S/C20H20O7/c1-25-16-5-4-12(9-17(16)26-2)19-14(10-21)13-7-11(3-6-18(23)24)8-15(22)20(13)27-19/h3-9,14,19,21-22H,10H2,1-2H3,(H,23,24)",720.0;360.0;360.0;808.0;708.0;708.0,2,372.120903,443648,C20H20O7,N,COc1ccc(C2Oc3c(O)cc(C=CC(=O)O)cc3C2CO)cc1OC,283.0962829589844:[C17H16O4-H]+;284.1048583984375:[C17H16O4]+;312.0988464355469:[C18H16O5]+;343.0804443359375:[C18H14O7]+H+;357.09661865234375:[C19H17O7]+;358.102294921875:[C19H17O7]+H+,UHFFFAOYSA,KPVRDBJJSXNPDY,662.9805714671927,283.0962829589844_552.6;284.1048583984375_323.5;312.0988464355469_999.0;343.0804443359375_669.5;357.09661865234375_393.8;358.102294921875_368.8,KPVRDBJJSXNPDY-UHFFFAOYSA-N,6,25
0.9139700261032968,"InChI=1S/C20H20O7/c1-25-14-8-12(7-13(22)9-14)19-16(10-21)15-5-11(3-4-18(23)24)6-17(26-2)20(15)27-19/h3-9,16,19,21-22H,10H2,1-2H3,(H,23,24)/b4-3+/t16-,19+/m0/s1",720.0;360.0;360.0;808.0;708.0;708.0,2,372.120903,552141,C20H20O7,N,COc1cc(O)cc([C@H]2Oc3c(OC)cc(/C=C/C(=O)O)cc3[C@@H]2CO)c1,283.0962829589844:[C17H16O4-H]+;284.1048583984375:[C17H16O4]+;312.0988464355469:[C18H16O5]+;343.0804443359375:[C18H14O7]+H+;357.09661865234375:[C19H17O7]+;358.102294921875:[C19H17O7]+H+,LUODXLFYSA,QXMSVIXIQRDNOM,662.9805714671927,283.0962829589844_552.6;284.1048583984375_323.5;312.0988464355469_999.0;343.0804443359375_669.5;357.09661865234375_393.8;358.102294921875_368.8,QXMSVIXIQRDNOM-LUODXLFYSA-N,6,25
