Score,InChI,FragmenterScore_Values,MaximumTreeDepth,MonoisotopicMass,Identifier,MolecularFormula,InChIKey3,SMILES,FormulasOfExplPeaks,InChIKey2,InChIKey1,FragmenterScore,ExplPeaks,InChIKey,NoExplPeaks,NumberPeaksUsed
1.0,"InChI=1S/C17H14N2/c1-10-14-9-18-8-7-12(14)11(2)17-16(10)13-5-3-4-6-15(13)19-17/h3-9,19H,1-2H3",348.0,2,246.1156984,9885,C17H14N2,N,Cc1c2ccncc2c(C)c2c1[nH]c1ccccc12,232.0989532470703:[C16H11N2]+H+,UHFFFAOYSA,CTSPAMFJBXKSOY,233.53055235132683,232.0989532470703_999.0,CTSPAMFJBXKSOY-UHFFFAOYSA-N,1,8
1.0,"InChI=1S/C17H14N2/c1-10-12-7-8-18-11(2)14(12)9-15-13-5-3-4-6-16(13)19-17(10)15/h3-9,18H,1-2H3",348.0,2,246.1156984,77396,C17H14N2,N,Cc1[nH]ccc2c(C)c3nc4ccccc4c3cc12,232.0989532470703:[C16H11N2]+H+,UHFFFAOYSA,WBGUTGOSUBJTJZ,233.53055235132683,232.0989532470703_999.0,WBGUTGOSUBJTJZ-UHFFFAOYSA-N,1,8
1.0,"InChI=1S/C17H14N2/c1-2-12-7-8-16-17-14(9-10-19(16)11-12)13-5-3-4-6-15(13)18-17/h3-11H,2H2,1H3",348.0,2,246.1156984,87039,C17H14N2,N,CCc1ccc2c3nc4ccccc4c-3ccn2c1,232.0989532470703:[C16H11N2]+H+,UHFFFAOYSA,BAALMEGRQMMBJQ,233.53055235132683,232.0989532470703_999.0,BAALMEGRQMMBJQ-UHFFFAOYSA-N,1,8
1.0,"InChI=1S/C17H14N2/c1-10-12-7-8-18-11(2)14(12)9-15-13-5-3-4-6-16(13)19-17(10)15/h3-9,19H,1-2H3",348.0,2,246.1156984,302805,C17H14N2,N,Cc1nccc2c(C)c3[nH]c4ccccc4c3cc12,232.0989532470703:[C16H11N2]+H+,UHFFFAOYSA,ZIXGXMMUKPLXBB,233.53055235132683,232.0989532470703_999.0,ZIXGXMMUKPLXBB-UHFFFAOYSA-N,1,8
1.0,"InChI=1S/C17H14N2/c1-10-14-9-18-8-7-12(14)11(2)17-16(10)13-5-3-4-6-15(13)19-17/h3-9,16H,1-2H3",348.0,2,246.1156984,436378,C17H14N2,N,CC1=c2ccncc2=C(C)C2C1=Nc1ccccc12,232.0989532470703:[C16H11N2]+H+,UHFFFAOYSA,SUYXJDLXGFPMCQ,233.53055235132683,232.0989532470703_999.0,SUYXJDLXGFPMCQ-UHFFFAOYSA-N,1,8
1.0,"InChI=1S/C17H14N2/c1-10-14-9-18-8-7-12(14)11(2)17-16(10)13-5-3-4-6-15(13)19-17/h3-9,18H,1-2H3",348.0,2,246.1156984,555118,C17H14N2,N,Cc1c2cc[nH]cc2c(C)c2c1nc1ccccc12,232.0989532470703:[C16H11N2]+H+,UHFFFAOYSA,DMIWIJAIZZONNT,233.53055235132683,232.0989532470703_999.0,DMIWIJAIZZONNT-UHFFFAOYSA-N,1,8
0.5336480068010128,"InChI=1S/C17H14N2/c1-3-7-16-14(5-1)12(10-18-16)9-13-11-19-17-8-4-2-6-15(13)17/h1-8,10-11,18-19H,9H2",1324.0,2,246.1156984,1834,C17H14N2,N,c1ccc2c(Cc3c[nH]c4ccccc34)c[nH]c2c1,232.0989532470703:[C16H13N2-H]+,UHFFFAOYSA,VFTRKSBEFQDZKX,124.62311378942512,232.0989532470703_999.0,VFTRKSBEFQDZKX-UHFFFAOYSA-N,1,8
0.5336480068010128,"InChI=1S/C17H14N2/c1-3-7-16-12(5-1)9-14(18-16)11-15-10-13-6-2-4-8-17(13)19-15/h1-10,18-19H,11H2",1324.0,2,246.1156984,57381,C17H14N2,N,c1ccc2[nH]c(Cc3cc4ccccc4[nH]3)cc2c1,232.0989532470703:[C16H13N2-H]+,UHFFFAOYSA,TWJAXIHBWPVMIR,124.62311378942512,232.0989532470703_999.0,TWJAXIHBWPVMIR-UHFFFAOYSA-N,1,8
0.5336480068010128,"InChI=1S/C17H14N2/c18-12-11-16(14-7-3-1-4-8-14)17(13-19)15-9-5-2-6-10-15/h1-10,16-17H,11H2",1324.0,2,246.1156984,533400,C17H14N2,N,N#CCC(c1ccccc1)C(C#N)c1ccccc1,232.0989532470703:[C16H13N2-H]+,UHFFFAOYSA,VMGJZNFGBHNTEV,124.62311378942512,232.0989532470703_999.0,VMGJZNFGBHNTEV-UHFFFAOYSA-N,1,8
0.5336480068010128,"InChI=1S/C17H14N2/c18-11-6-12-19-16-10-5-4-9-15(16)13-17(19)14-7-2-1-3-8-14/h1-5,7-10,13H,6,12H2",1324.0,2,246.1156984,534792,C17H14N2,N,N#CCCn1c(-c2ccccc2)cc2ccccc21,232.0989532470703:[C16H13N2-H]+,UHFFFAOYSA,DOMRPZRFDJPHCC,124.62311378942512,232.0989532470703_999.0,DOMRPZRFDJPHCC-UHFFFAOYSA-N,1,8
