File path	File name	Title	MS1 count	MSMS count	PRECURSORMZ	PRECURSORTYPE	Formula rank 1	Theoretical mass	Mass error	Formula score	Databases	Formula rank 2	Theoretical mass	Mass error	Formula score	Databases	Formula rank 3	Theoretical mass	Mass error	Formula score	Databases	Formula rank 4	Theoretical mass	Mass error	Formula score	Databases	Formula rank 5	Theoretical mass	Mass error	Formula score	Databases	Formula rank 6	Theoretical mass	Mass error	Formula score	Databases	Formula rank 7	Theoretical mass	Mass error	Formula score	Databases	Formula rank 8	Theoretical mass	Mass error	Formula score	Databases	Formula rank 9	Theoretical mass	Mass error	Formula score	Databases	Formula rank 10	Theoretical mass	Mass error	Formula score	Databases	
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_0.msp	challenge_0	challenge0	0	44	273.112134992	[M+H]+	C16H16O4	272.104858992	5E-07	3.543	HMDB,KNApSAcK,ChEBI,FooDB,NANPDB,BMDB,LipidMAPS,Urine,Serum,PubChem,PlantCyc,UNPD,BLEXP,NPA,COCONUT,MINE	C7H18FN4O4P	272.104969906	0.0001114	2.818		C8H24N2O2S2Si	272.104846538	-1.2E-05	2.806		C7H24N2O3SSi2	272.104616688	-0.0002419	2.795		C8H18ClFN4O3	272.105146336	0.0002878	2.774		C6H14F2N6O4	272.104459368	-0.0003992	2.72		C8H16N6O3Si	272.105314902	0.0004564	2.716		C6H18F2N6SSi	272.105098546	0.00024	2.714		C5H18F2N6OSi2	272.104868696	1.02E-05	2.702		C8H22N2O4P2	272.105480444	0.0006219	2.648		
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_1.msp	challenge_1	challenge1	0	21	271.096484928	[M+H]+	C16H14O4	270.089208928	5E-07	3.851	HMDB,KNApSAcK,ChEBI,T3DB,FooDB,NANPDB,STOFF,LipidMAPS,Urine,PubChem,PlantCyc,UNPD,BLEXP,NPA,COCONUT,MINE	C11H15ClN4O2	270.0883534	-0.0008551	3.154	ChEBI,STOFF,BLEXP,COCONUT	C8H22N2O2S2Si	270.089196474	-1.2E-05	2.881		C7H16FN4O4P	270.089319842	0.0001114	2.875		C7H22N2O3SSi2	270.088966624	-0.0002419	2.86		C8H16ClFN4O3	270.089496272	0.0002878	2.84		C5H16F2N6OSi2	270.089218632	1.02E-05	2.818		C8H24ClFO2S2	270.089027908	-0.0001806	2.793		C6H12F2N6O4	270.088809304	-0.0003992	2.788		C6H16F2N6SSi	270.089448482	0.00024	2.782		
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_10.msp	challenge_10	challenge10	0	35	375.143829044	[M+H]+	C20H22O7	374.136553044	5E-07	3.522	HMDB,KNApSAcK,ChEBI,FooDB,NANPDB,LipidMAPS,PubChem,UNPD,BLEXP,NPA,COCONUT,MINE	C12H30N2O5S2Si	374.13654059	-1.2E-05	2.992		C11H24FN4O7P	374.136663958	0.0001114	2.962		C13H30N2O4S3	374.13677044	0.0002178	2.957		C10H26ClF3N4O3S	374.136624032	7.14E-05	2.952		C12H24ClFN4O6	374.136840388	0.0002878	2.939		C14H27N4O2PSSi	374.136160264	-0.0003923	2.936		C10H24F2N6O3SSi	374.136792598	0.00024	2.927		C9H26F3N4O4PS	374.136447602	-0.000105	2.926		C9H24F2N6O4Si2	374.136562748	1.02E-05	2.918		
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_100.msp	challenge_100	challenge100	0	29	286.10738396	[M+H]+	C16H15NO4	285.10010796	5E-07	4.25	HMDB,KNApSAcK,ChEBI,DrugBank,FooDB,UNPD,BLEXP,NPA,COCONUT,MINE	C11H16ClN5O2	285.099252432	-0.0008551	3.682	COCONUT,MINE	C7H17FN5O4P	285.100218874	0.0001114	3.223		C8H23N3O2S2Si	285.100095506	-1.2E-05	3.208		C8H25ClFNO2S2	285.09992694	-0.0001806	3.182		C8H17ClFN5O3	285.100395304	0.0002878	3.178		C7H23N3O3SSi2	285.099865656	-0.0002419	3.159		C13H17F2NO2Si	285.099661754	-0.0004458	3.134		C6H13F2N7O4	285.099708336	-0.0003992	3.131		C8H15N7O3Si	285.10056387	0.0004564	3.12		
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_101.msp	challenge_101	challenge101	0	34	377.159479108	[M+H]+	C20H24O7	376.152203108	5E-07	3.791	HMDB,KNApSAcK,ChEBI,FooDB,NANPDB,LipidMAPS,UNPD,BLEXP,NPA,COCONUT,MINE	C12H32N2O5S2Si	376.152190654	-1.2E-05	3.019		C9H28F3N4O4PS	376.152097666	-0.000105	3.004		C13H32N2O4S3	376.152420504	0.0002178	2.999		C11H32N2O6SSi2	376.151960804	-0.0002419	2.987		C10H36N2O3SSi4	376.152370132	0.0001675	2.986		C10H26F2N6O3SSi	376.152442662	0.00024	2.972		C8H25ClN10O3S	376.15203334	-0.0001693	2.971		C10H32F2N2O4P2S	376.152608204	0.0004055	2.967		C9H26F2N6O4Si2	376.152212812	1.02E-05	2.963		
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_102.msp	challenge_102	challenge102	0	18	274.143769468	[M+H]+	C16H19NO3	273.136493468	5E-07	3.91	HMDB,KNApSAcK,ChEBI,FooDB,NANPDB,PubChem,UNPD,BLEXP,NPA,COCONUT,MINE	C7H21FN5O3P	273.136604382	0.0001114	2.942		C7H27N3O2SSi2	273.136251164	-0.0002419	2.931		C8H27N3OS2Si	273.136481014	-1.2E-05	2.911		C8H21ClFN5O2	273.136780812	0.0002878	2.895		C6H17F2N7O3	273.136093844	-0.0003992	2.859		C8H19N7O2Si	273.136949378	0.0004564	2.837		C8H23N3O5S	273.135841836	-0.0006512	2.794		C13H21F2NOSi	273.136047262	-0.0004458	2.791		C10H22F3NO2Si	273.137190134	0.0006971	2.72		
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_104.msp	challenge_104	challenge104	0	30	373.12817898	[M+H]+	C20H20O7	372.12090298	5E-07	3.831	HMDB,KNApSAcK,ChEBI,FooDB,LipidMAPS,PubChem,PlantCyc,UNPD,BLEXP,NPA,COCONUT,MINE	C13H20N6O5S	372.12158874	0.0006862	3.543	UNPD,COCONUT	C12H28N2O5S2Si	372.120890526	-1.2E-05	3.268		C10H24ClF3N4O3S	372.120973968	7.14E-05	3.265		C10H32N2O3SSi4	372.121070004	0.0001675	3.254		C10H22F2N6O3SSi	372.121142534	0.00024	3.24		C11H22FN4O7P	372.121013894	0.0001114	3.24		C11H28N2O6SSi2	372.120660676	-0.0002419	3.239		C9H24F3N4O4PS	372.120797538	-0.000105	3.23		C9H22F2N6O4Si2	372.120912684	1.02E-05	3.213		
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_105.msp	challenge_105	challenge105	0	33	609.295913	[M+H]+	C37H40N2O6	608.288637	5E-07	3.694	HMDB,KNApSAcK,ChEBI,FooDB,UNPD,BLEXP,COCONUT,MINE	C21H50N6O8P2S	608.28860682	-2.97E-05	2.846		C19H56FN4O6P3SSi	608.288671152	3.46E-05	2.845		C20H43F6N6O6P	608.288589046	-4.75E-05	2.845		C12H44N16O7Si3	608.288667338	3.08E-05	2.843		C19H50BrN10O5P	608.28866343	2.69E-05	2.843		C21H50ClN6O8PSi	608.2885534	-8.31E-05	2.843		C12H46FN14O7PSSi	608.288552192	-8.44E-05	2.842		C16H43F3N10O9S	608.288728616	9.21E-05	2.842		C22H44N10O6S2	608.288671128	3.46E-05	2.842		
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_106.msp	challenge_106	challenge106	0	51	515.3731007	[M+H]+	C32H50O5	514.3658247	5E-07	3.363	HMDB,KNApSAcK,ChEBI,FooDB,UNPD,BLEXP,NPA,COCONUT,MINE	C24H58N2O3S2Si	514.365812246	-1.2E-05	2.79		C21H52F2N6O2Si2	514.365834404	1.02E-05	2.785		C23H52FN4O5P	514.365935614	0.0001114	2.784		C23H58N2O4SSi2	514.365582396	-0.0002419	2.761		C20H51ClN10OS	514.365654932	-0.0001693	2.756		C24H52ClFN4O4	514.366112044	0.0002878	2.749		C22H52F2N6OSSi	514.366064254	0.00024	2.742		C19H51N10O2PS	514.365478502	-0.0003457	2.725		C24H50N6O4Si	514.36628061	0.0004564	2.721		
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_108.msp	challenge_108	challenge108	0	69	499.341800572	[M+H]+	C31H46O5	498.334524572	5E-07	3.845	KNApSAcK,ChEBI,UNPD,BLEXP,NPA,COCONUT,MINE	C16H50N8O5S2	498.3345587	3.46E-05	3.074		C23H54N2O3S2Si	498.334512118	-1.2E-05	3.066		C22H48FN4O5P	498.334635486	0.0001114	3.062		C20H50F3N4O2PS	498.33441913	-0.000105	3.047		C20H48F2N6O2Si2	498.334534276	1.02E-05	3.045		C22H54N2O4SSi2	498.334282268	-0.0002419	3.039		C14H44F2N12O3S	498.334810708	0.0002866	3.032		C23H48ClFN4O4	498.334811916	0.0002878	3.025		C24H54N2O2S3	498.334741968	0.0002178	3.025		
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_109.msp	challenge_109	challenge109	0	67	455.279200316	[M+H]+	C28H38O5	454.271924316	5E-07	3.847	HMDB,KNApSAcK,ChEBI,FooDB,NANPDB,LipidMAPS,UNPD,NPA,COCONUT,MINE	C21H38N6O3S	454.272610076	0.0006862	3.356	COCONUT	C13H42N8O5S2	454.271958444	3.46E-05	3.062		C20H46N2O3S2Si	454.271911862	-1.2E-05	3.058		C19H40FN4O5P	454.27203523	0.0001114	3.032		C19H46N2O4SSi2	454.271682012	-0.0002419	3.032		C17H42F3N4O2PS	454.271818874	-0.000105	3.031		C21H46N2O2S3	454.272141712	0.0002178	3.013		C17H40F2N6O2Si2	454.27193402	1.02E-05	3.011		C18H42ClF3N4OS	454.271995304	7.14E-05	3.006		
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_11.msp	challenge_11	challenge11	0	27	377.14958312	[M+H]+	C22H20N2O4	376.14230712	5E-07	3.875	KNApSAcK,ChEBI,STOFF,UNPD,NPA,COCONUT,MINE	C14H24N4O6S	376.141655488	-0.0006512	3.621	COCONUT,MINE	C20H22F2N2OS	376.142090764	-0.0002159	3.464	ChEBI	C14H28N4O2S2Si	376.142294666	-1.2E-05	3.095		C14H30ClFN2O2S2	376.1421261	-0.0001806	3.079		C7H24N10O4S2	376.142341248	3.46E-05	3.075		C13H28N4O3SSi2	376.142064816	-0.0002419	3.072		C13H22FN6O4P	376.142418034	0.0001114	3.052		C14H21F5N2O4	376.142148252	-0.0001584	3.046		C6H24N10O5SSi	376.142111398	-0.0001953	3.045		
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_110.msp	challenge_110	challenge110	0	24	399.107443536	[M+H]+	C21H18O8	398.100167536	5E-07	3.38	HMDB,KNApSAcK,ChEBI,PubChem,UNPD,BLEXP,NPA,COCONUT,MINE	C13H22N2O10S	398.099515904	-0.0006512	2.87	ChEBI,BLEXP,NPA,COCONUT	C10H20F2N6O5Si2	398.10017724	1.02E-05	2.466		C11H32ClFO4SSi3	398.100165994	-1.1E-06	2.466		C13H26N2O6S2Si	398.100155082	-1.2E-05	2.466		C11H32FO4PS2Si2	398.100219414	5.23E-05	2.465		C17H14F4N4O3	398.100203188	3.61E-05	2.465		C17H24F2O3Si3	398.100130658	-3.64E-05	2.465		C10H30N2O5Si5	398.10010471	-6.24E-05	2.464		C8H26F3N4O3PSi3	398.100241572	7.45E-05	2.463		
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_111.msp	challenge_111	challenge111	0	30	343.190385312	[M+H]+	C21H26O4	342.183109312	5E-07	3.717	HMDB,KNApSAcK,ChEBI,FooDB,STOFF,UNPD,BLEXP,NPA,COCONUT,MINE	C12H28FN4O4P	342.183220226	0.0001114	2.807		C13H34N2O2S2Si	342.183096858	-1.2E-05	2.8		C12H34N2O3SSi2	342.182867008	-0.0002419	2.784		C13H28ClFN4O3	342.183396656	0.0002878	2.776		C10H28F2N6OSi2	342.183119016	1.02E-05	2.775		C11H38N2SSi4	342.183276336	0.0001675	2.744		C9H27ClN10S	342.182939544	-0.0001693	2.74		C11H28F2N6SSi	342.183348866	0.00024	2.73		C11H24F2N6O4	342.182709688	-0.0003992	2.723		
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_112.msp	challenge_112	challenge112	0	21	248.05851562	[M+H]+	C9H13NO5S	247.051443516	0.0002043	3.758	ChEBI,BLEXP,COCONUT,MINE	C12H10ClN3O	247.05123962	5E-07	3.725	ChEBI,T3DB,STOFF,PlantCyc,UNPD,BLEXP,COCONUT	C7H15F2NO2S2	247.05122716	-1.2E-05	3.058		C8H13NO6Si	247.051213666	-2.55E-05	3.058		C11H10N3O2P	247.05106319	-0.000176	3.043		C6H15F2NO3SSi	247.05099731	-0.0002419	3.003		C4H9F4N5OSi	247.051249318	1.02E-05	2.979		C7H17NO3Si3	247.051622994	0.0003838	2.961		C5H15F2NO4Si2	247.05076746	-0.0004717	2.9		C7H7F2N5O3	247.051695524	0.0004564	2.833		
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_115.msp	challenge_115	challenge115	0	19	433.11292284	[M+H]+	C21H20O10	432.10564684	5E-07	4.436	HMDB,KNApSAcK,ChEBI,FooDB,NANPDB,STOFF,LipidMAPS,Urine,Serum,PubChem,PlantCyc,UNPD,BLEXP,NPA,COCONUT,MINE	C21H25BrN2O3	432.10485476	-0.0007916	3.537	ChEBI,BLEXP	C10H22F2N6O7Si2	432.105656544	1.02E-05	3.355		C13H28N2O8S2Si	432.105634386	-1.2E-05	3.355		C11H34FO6PS2Si2	432.105698718	5.23E-05	3.354		C9H27Cl2N6O7P	432.105589194	-5.72E-05	3.353		C10H32N2O7Si5	432.105584014	-6.24E-05	3.353		C11H24ClF3N4O6S	432.105717828	7.14E-05	3.352		C10H24F3N4O7PS	432.105541398	-0.000105	3.35		C12H22FN4O10P	432.105757754	0.0001114	3.349		
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_116.msp	challenge_116	challenge116	0	20	321.112134992	[M+H]+	C20H16O4	320.104858992	5E-07	3.942	HMDB,KNApSAcK,ChEBI,FooDB,LipidMAPS,UNPD,BLEXP,NPA,COCONUT,MINE	C12H20N2O6S	320.10420736	-0.0006512	3.758	COCONUT,MINE	C15H17ClN4O2	320.104003464	-0.0008551	3.358	ChEBI,COCONUT	C11H18FN4O4P	320.104969906	0.0001114	3.195		C11H24N2O3SSi2	320.104616688	-0.0002419	3.172		C12H18ClFN4O3	320.105146336	0.0002878	3.16		C8H21FN2O8Si	320.105120382	0.0002618	3.146		C10H14F2N6O4	320.104459368	-0.0003992	3.124		C12H24N2O2S2Si	320.104846538	-1.2E-05	3.116		C12H16N6O3Si	320.105314902	0.0004564	3.102		
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_118.msp	challenge_118	challenge118	0	56	767.49400368	[M+H]+	C42H70O12	766.48672768	5E-07	3.837	HMDB,KNApSAcK,ChEBI,FooDB,UNPD,BLEXP,COCONUT,MINE	C35H79N4O4PSSi3	766.486744228	1.7E-05	3.039		C38H75ClN4O5S2	766.48674118	1.4E-05	3.039		C30H83ClN6O3S4Si	766.486728726	1.5E-06	3.038		C31H72F2N6O9Si2	766.486737384	1.02E-05	3.038		C36H81Cl2FN2O3SSi2	766.486752092	2.49E-05	3.038		C26H75FN12O3SSi4	766.4866896	-3.76E-05	3.037		C28H75N10O6PSSi2	766.48679081	6.36E-05	3.037		C35H79ClN4O4Si4	766.486690808	-3.64E-05	3.037		C36H81ClFN2O3PS2Si	766.486805512	7.83E-05	3.035		
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_119.msp	challenge_119	challenge119	0	40	761.295638228	[M+H]+	C45H44O11	760.288362228	5E-07	3.501	HMDB,KNApSAcK,ChEBI,FooDB,UNPD,COCONUT	C23H57ClN12O3S2Si4	760.288359484	-2.3E-06	2.933		C23H57N12O3PS3Si3	760.288412904	5.11E-05	2.932		C19H60N10O8S2Si5	760.28833353	-2.82E-05	2.916		C26H54F2N8O6S2Si3	760.288359478	-2.3E-06	2.916		C16H53ClN18O5S2Si3	760.288406066	4.43E-05	2.915		C17H66FN8O6PS2Si6	760.288397862	3.61E-05	2.915		C20H62ClFN8O7S3Si3	760.288394814	3.3E-05	2.915		C21H68N6O5S6Si3	760.288324866	-3.69E-05	2.915		C18H62F2N10O4S4Si4	760.288347024	-1.48E-05	2.914		
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_12.msp	challenge_12	challenge12	0	20	592.384393656	[M+H]+	C33H53NO8	591.377117656	5E-07	3.281	KNApSAcK,UNPD,COCONUT,MINE	C22H55F2N7O5Si2	591.37712736	1.02E-05	2.571		C25H61N3O6S2Si	591.377105202	-1.2E-05	2.571		C24H55FN5O8P	591.37722857	0.0001114	2.565		C21H54ClN11O4S	591.376947888	-0.0001693	2.557		C29H49F4N5O3	591.377153308	3.61E-05	2.556		C18H48F2N15O3P	591.377023466	-9.37E-05	2.553		C26H61N3O5S3	591.377335052	0.0002178	2.548		C18H58N11O3PSi3	591.376950936	-0.0001663	2.543		C21H57F4N7OS2Si	591.377140854	2.37E-05	2.543		
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_120.msp	challenge_120	challenge120	0	25	415.138743664	[M+H]+	C22H22O8	414.131467664	5E-07	4.135	HMDB,KNApSAcK,ChEBI,DrugBank,T3DB,FooDB,NANPDB,STOFF,LipidMAPS,Urine,Serum,PubChem,PlantCyc,UNPD,BLEXP,NPA,COCONUT,MINE	C14H30N2O6S2Si	414.13145521	-1.2E-05	3.124		C15H22N6O6S	414.132153424	0.0006862	3.114	MINE	C12H26ClF3N4O4S	414.131538652	7.14E-05	3.11		C11H26F3N4O5PS	414.131362222	-0.000105	3.108		C13H24FN4O8P	414.131578578	0.0001114	3.107		C11H24F2N6O5Si2	414.131477368	1.02E-05	3.101		C10H23ClN10O4S	414.131297896	-0.0001693	3.099		C10H29Cl2N6O5P	414.131410018	-5.72E-05	3.099		C11H34N2O5Si5	414.131404838	-6.24E-05	3.099		
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_121.msp	challenge_121	challenge121	0	103	869.489312224	[M+H]+	C45H72O16	868.482036224	5E-07	3.899	KNApSAcK,ChEBI,FooDB,NANPDB,UNPD,BLEXP,COCONUT,MINE	C59H60N6O	868.48286054	0.0008248	3.317	KNApSAcK,UNPD,COCONUT	C37H77F2N4O10P3	868.482060994	2.52E-05	3.088		C37H80N2O14S2Si	868.48202377	-1.2E-05	3.088		C31H77N10O10PSSi2	868.482099354	6.36E-05	3.088		C30H76N8O16S2	868.482070352	3.46E-05	3.087		C28H73F3N12O9P2Si	868.482006366	-2.94E-05	3.087		C34H74F2N6O13Si2	868.482045928	1.02E-05	3.087		C38H81N4O8PSSi3	868.482052772	1.7E-05	3.087		C36H82F2N2O10S4	868.482037264	1.5E-06	3.087		
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_123.msp	challenge_123	challenge123	0	16	425.195864616	[M+H]+	C25H28O6	424.188588616	5E-07	3.925	HMDB,KNApSAcK,ChEBI,FooDB,LipidMAPS,PubChem,PlantCyc,UNPD,BLEXP,NPA,COCONUT,MINE	C17H36N2O4S2Si	424.188576162	-1.2E-05	3.036		C10H32N8O6S2	424.188622744	3.46E-05	3.035		C16H30FN4O6P	424.18869953	0.0001114	3.03		C18H28N6O4S	424.189274376	0.0006862	3.026	MINE	C14H30F2N6O3Si2	424.18859832	1.02E-05	3.022		C14H36F2N2O4P2Si	424.188763862	0.0001757	3.021		C13H35Cl2N6O3P	424.18853097	-5.72E-05	3.02		C14H40N2O3Si5	424.18852579	-6.24E-05	3.02		C9H32N8O7SSi	424.188392894	-0.0001953	3.017		
