,Challenge,True Inchikey2D,SIRIUS Ranking,MSFinder Ranking,DeepMASS Ranking,DeepMASS Ranking (Public),MetFrag Ranking,CFM-ID Ranking,SMILES
0,challenge_0,UQRBFXIUUDJHSN,25.0,inf,96.0,51.0,10.0,144.0,COC1=CC(/C=C/C2=CC=C(O)C(O)=C2)=CC(OC)=C1
1,challenge_1,CUGDOWNTXKLQMD,inf,inf,8.0,18.0,2.0,154.0,O=C(C1=C(C=C(OC)C=C1O)O)/C=C/C2=CC=CC=C2
2,challenge_2,CUKSFECWKQBVED,5.0,2.0,4.0,4.0,2.0,10.0,C/C(C)=C\C(O[C@H](C(C)(C)O1)CC2=C1C=C(O3)C(C=CC3=O)=C2)=O
3,challenge_4,ZZAJQOPSWWVMBI,6.0,inf,1.0,1.0,77.0,84.0,O=C1C(C2=CC=C(OC)C(O)=C2)=COC3=CC(O)=CC=C13
4,challenge_8,KMPWYEUPVWOPIM,1.0,7.0,1.0,1.0,2.0,12.0,O[C@@H](C1=CC=NC2=CC=CC=C12)[C@]3([H])[N@@]4C[C@H](C=C)[C@@H](CC4)C3
5,challenge_9,PFTAWBLQPZVEMU,1.0,inf,1.0,1.0,26.0,101.0,O[C@H]1[C@H](C2=CC=C(O)C(O)=C2)OC3=CC(O)=CC(O)=C3C1
6,challenge_10,MIJKZXWOOXIEEU,1.0,inf,21.0,58.0,4.0,1.0,O=C(OC1=CC(C)=C(C(O)=O)C(O)=C1C)C2=C(C)C=C(OC)C(C)=C2OC
7,challenge_11,MYQKIWCVEPUPIL,1.0,1.0,1.0,1.0,2.0,1.0,O=C1[C@](O)(CC)C2=C(CO1)C(N3CC4=C(CC)C5=CC=CC=C5N=C4C3=C2)=O
8,challenge_12,DHQFYEJMFMYGCV,1.0,1.0,1.0,1.0,2.0,2.0,C[C@]1([C@]2([H])C[C@@H](O[C@]3([H])O[C@@H]([C@@H](O)[C@H](O)[C@H]3O)CO)CC1)[C@]4([H])[C@](CC2=O)([H])[C@@]5([H])[C@@]([C@@]6([H])[C@@]([C@](O)([C@@]7([H])N(C[C@@H](C)CC7)C6)C)([H])CC5)([H])C4
9,challenge_14,BYSRPHRKESMCPO,2.0,5.0,1.0,3.0,1.0,1.0,O[C@H]1[C@@H](C2=CC=C(O)C(O)=C2)OC3=C4C(O[C@]5(C6=CC=C(O)C(O)=C6)OC7=CC(O)=CC(O)=C7[C@@]4([H])[C@H]5O)=CC(O)=C3[C@@H]1C8=C9C(C[C@@H](O)[C@@H](C%10=CC=C(O)C(O)=C%10)O9)=C(O)C=C8O
10,challenge_15,NCTHNHPAQAVBEB,inf,inf,inf,inf,inf,1.0,O=C(O[Na])/C=C/C1=CC=C(O)C(OC)=C1
11,challenge_16,CHULATXGEVFYAJ,inf,inf,1.0,2.0,7.0,2.0,O=C1C=C(CCCCC)N(C)C2=C1C=CC=C2
12,challenge_17,OGBMVWVBHWHRGD,30.0,7.0,10.0,11.0,8.0,33.0,O=C1C[C@@H](C2=CC=CC=C2O)OC3=C(C[C@H](C(C)=C)C/C=C(C)\C)C(O)=CC(O)=C13
13,challenge_21,HTOYBIILVCHURC,1.0,inf,1.0,1.0,1.0,1.0,O=C(OCC)NCCCC(NCCC1=CC=CC=C1)=O
14,challenge_23,LCAZOMIGFDQMNC,inf,inf,185.0,172.0,302.0,242.0,O=C1O[C@]2([H])[C@H](O)C3=C(C(O)=C(O)C(C(C)C)=C3)[C@@]41CCCC(C)(C)[C@]24[H]
15,challenge_24,QXKKRGMRXXMDDP,3.0,inf,2.0,5.0,26.0,2.0,O[C@@]1([C@H]2O)[C@@]34[C@@]([C@@H](O)[C@H](O)[C@]1(OC4)CO)([H])[C@]([C@@](C(C)=CC5=O)([H])C[C@@]3([H])OC2=O)([C@@H]5O)C
16,challenge_26,DEZFNHCVIZBHBI,1.0,4.0,1.0,5.0,1.0,1.0,O=C(C1=C2C(C=CC(C)(C)O2)=C(O)C(CC3=C(O)C(C)=C(O)C(C(C)=O)=C3O)=C1O)/C=C/C4=CC=CC=C4
17,challenge_28,DCEHSZHMKGBNHS,56.0,3.0,24.0,33.0,9.0,9.0,CCCC(C1=C(C(C)(C)C(O)=C(CC2=C(O)C(C(CCC)=O)=C(OC)C(C)=C2O)C1=O)O)=O
18,challenge_29,UXUFMIJZNYXWDX,10.0,inf,12.0,19.0,2.0,10.0,O=C(C1=C(OC)C=C(OC)C=C1O)/C=C/C2=CC=C(O)C=C2
