structureRankPerFormula	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.3989946048005166	-35.451668830246746	C37H38N2O6	[M + H]+	LJPRYJYATIYRAB	InChI=1S/C37H38N2O6/c1-38-14-12-23-19-30(41-4)34-36-32(23)26(38)16-21-6-9-25(10-7-21)43-29-18-22(8-11-28(29)40-3)17-27-33-24(13-15-39(27)2)20-31(42-5)35(44-36)37(33)45-34/h6-11,18-20,26-27H,12-17H2,1-5H3	null	COc1ccc2cc1Oc1ccc(cc1)CC1c3c(cc(OC)c4c3Oc3c(OC)cc5c(c3O4)C(C2)N(C)CC5)CCN1C	7.425698576105567	""	""	0
2	1	N/A	-47.861487592268986	C37H38N2O6	[M + H]+	YVPXVXANRNDGTA	InChI=1S/C37H38N2O6/c1-38-13-11-24-18-31(41-4)33-20-27(24)28(38)16-23-7-10-30(40-3)32(17-23)44-26-8-5-22(6-9-26)15-29-35-25(12-14-39(29)2)19-34-36(37(35)45-33)43-21-42-34/h5-10,17-20,28-29H,11-16,21H2,1-4H3	Cepharantin	CN1CCC2=CC3=C(C4=C2C1CC5=CC=C(C=C5)OC6=C(C=CC(=C6)CC7C8=CC(=C(C=C8CCN7C)OC)O4)OC)OCO3	6.5	10206;360849;7098680;12300002;11877140;44592946;51066571;60044670	SuperNatural:(SN00098407);ZINC bio:(ZINC30726863);additional;MeSH:(10206);PubMed;COCONUT:(CNP0188010);KNApSAcK:(1836);Natural Products:(UNPD195170);database;PubChem:(10206 360849 7098680 12300002 11877140 44592946 51066571 60044670);CHEBI:(3546);KEGG:(C09391);PubChem class - safety and toxic;Training Set	68790313334
3	1	N/A	-48.88259381002688	C37H38N2O6	[M + H]+	LPFIPRSEXCVWTR	InChI=1S/C37H38N2O6/c1-39-15-13-25-20-34(42-4)36(43-5)37-35(25)29(39)17-23-8-11-30(40-2)32(18-23)44-26-9-6-22(7-10-26)16-28-27-21-33(45-37)31(41-3)19-24(27)12-14-38-28/h6-11,18-21,29H,12-17H2,1-5H3	Dehatrine	CN1CCC2=CC(=C(C3=C2C1CC4=CC(=C(C=C4)OC)OC5=CC=C(CC6=NCCC7=CC(=C(O3)C=C76)OC)C=C5)OC)OC	5.80000019	192961	COCONUT:(CNP0128267);KNApSAcK:(28135);Natural Products:(UNPD97667);database;PubChem:(192961);SuperNatural:(SN00288891);MeSH:(192961);PubMed	68722655318
4	1	N/A	-48.88259381002688	C37H38N2O6	[M + H]+	VKYYZOPCSAFKST	InChI=1S/C37H38N2O6/c1-39-15-13-25-20-34(42-4)36(43-5)37-35(25)29(39)17-22-6-9-26(10-7-22)44-32-18-23(8-11-30(32)40-2)16-28-27-21-33(45-37)31(41-3)19-24(27)12-14-38-28/h6-11,18-21,29H,12-17H2,1-5H3	null	CN1CCC2=CC(=C(C3=C2C1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)CC6=NCCC7=CC(=C(O3)C=C76)OC)OC)OC)OC	6.0999999	5315989	COCONUT:(CNP0139551);KNApSAcK:(25813);Natural Products:(UNPD3165);database;PubChem:(5315989);SuperNatural:(SN00323758)	68722655250
5	1	N/A	-50.98941512869478	C37H38N2O6	[M + H]+	KWMNYKFCHLBZBH	InChI=1S/C37H38N2O6/c1-39-15-13-25-20-34(42-4)36(43-5)37-35(25)29(39)17-23-8-11-30(40-2)32(18-23)44-26-9-6-22(7-10-26)16-28-27-21-31(41-3)33(45-37)19-24(27)12-14-38-28/h6-11,18-21,29H,12-17H2,1-5H3	Thalmethine, O-methyl-	CN1CCC2=CC(=C(C3=C2C1CC4=CC(=C(C=C4)OC)OC5=CC=C(CC6=NCCC7=CC(=C(C=C76)OC)O3)C=C5)OC)OC	6.0999999	266507;14379241	COCONUT:(CNP0189541);Natural Products:(UNPD98568 UNPD178915);database;PubChem:(266507 14379241);SuperNatural:(SN00300826 SN00365085)	68722655234
6	1	N/A	-75.51476037483236	C37H38N2O6	[M + H]+	ZKHQJCUUEXSGCM	InChI=1S/C37H38N2O6/c1-39-15-13-24-19-31(41-3)33-21-27(24)29(39)17-23-8-11-30(40-2)32(18-23)44-26-9-6-22(7-10-26)16-28-35-25(12-14-38-28)20-34(42-4)36(43-5)37(35)45-33/h6-11,18-21,29H,12-17H2,1-5H3	6,6'',7,12''-tetramethoxy-2''-methyl-1,2-didehydrooxyacanthan	CN1CCC2=CC(=C3C=C2C1CC4=CC(=C(C=C4)OC)OC5=CC=C(CC6=NCCC7=CC(=C(C(=C76)O3)OC)OC)C=C5)OC	6.0999999	275004;5317122;76871801	COCONUT:(CNP0143805);KNApSAcK:(25608);Natural Products:(UNPD187742 UNPD42776);database;PubChem:(275004 5317122 76871801);SuperNatural:(SN00162832 SN00228486);PubMed	68722655314
7	1	N/A	-82.04019951933779	C37H38N2O6	[M + H]+	DRFKGEXJGBDLKF	InChI=1S/C37H38N2O6/c1-38-12-10-22-18-31-32-19-24(22)27(38)16-20-6-8-29(40)25(14-20)26-15-21(7-9-30(26)41-3)17-28-33-23(11-13-39(28)2)34(42-4)36(43-5)37(45-31)35(33)44-32/h6-9,14-15,18-19,27-28,40H,10-13,16-17H2,1-5H3	null	CN1CCC2=CC3=C4C=C2C1CC5=CC(=C(C=C5)O)C6=C(C=CC(=C6)CC7C8=C(CCN7C)C(=C(C(=C8O4)O3)OC)OC)OC	6.0	14527217;101602354	COCONUT:(CNP0170729);KNApSAcK:(25959);Natural Products:(UNPD140312);database;PubChem:(14527217 101602354);SuperNatural:(SN00332963)	68722655250
8	1	N/A	-105.33614672961076	C37H38N2O6	[M + H]+	KTYOFZXGNKPQGL	InChI=1S/C37H38N2O6/c1-39-13-11-24-19-34(43-4)36(44-5)37-35(24)29(39)17-22-7-9-31(41-2)27(15-22)26-14-21(6-8-30(26)40)16-28-25-20-33(45-37)32(42-3)18-23(25)10-12-38-28/h6-9,14-15,18-20,29,40H,10-13,16-17H2,1-5H3	null	CN1CCC2=CC(=C(C3=C2C1CC4=CC(=C(C=C4)OC)C5=C(C=CC(=C5)CC6=NCCC7=CC(=C(O3)C=C76)OC)O)OC)OC	5.9000001	12313669	COCONUT:(CNP0208396);Natural Products:(UNPD33332);database;PubChem:(12313669);SuperNatural:(SN00291459)	68722655234
9	1	N/A	-105.33614672961076	C37H38N2O6	[M + H]+	FUXUCSVYWNRCDR	InChI=1S/C37H38N2O6/c1-39-13-11-24-19-34(43-4)36(44-5)37-35(24)29(39)17-22-6-8-30(40)26(14-22)27-15-21(7-9-31(27)41-2)16-28-25-20-33(45-37)32(42-3)18-23(25)10-12-38-28/h6-9,14-15,18-20,29,40H,10-13,16-17H2,1-5H3	null	CN1CCC2=CC(=C(C3=C2C1CC4=CC(=C(C=C4)O)C5=C(C=CC(=C5)CC6=NCCC7=CC(=C(O3)C=C76)OC)OC)OC)OC	7.09504271	""	COCONUT:(CNP0363426);Natural Products:(UNPD64178);database;SuperNatural:(SN00288276)	68722655232
10	1	N/A	-107.6268954290639	C37H38N2O6	[M + H]+	CXLYPEWFHWCEFN	InChI=1S/C37H38N2O6/c1-39-16-14-26-20-31(42-3)36(43-4)37-33(26)29(39)18-23-5-7-24(8-6-23)21-44-35-30(41-2)19-25-13-15-38-28(32(25)34(35)40)17-22-9-11-27(45-37)12-10-22/h5-12,19-20,29,40H,13-18,21H2,1-4H3	null	CN1CCC2=CC(=C(C3=C2C1CC4=CC=C(COC5=C(C=C6CCN=C(C6=C5O)CC7=CC=C(O3)C=C7)OC)C=C4)OC)OC	5.69999981	254905;4662588	COCONUT:(CNP0076249 CNP0293807);Natural Products:(UNPD133116);database;PubChem:(254905 4662588);SuperNatural:(SN00162037);PubMed	68722655298
