confidenceRank	structurePerIdRank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id	featureId
1	1	1	1	1	0.9835799277309657	-14.849035952592839	N/A	69.82933791473924	C18H17NO2	[M + H]+	JCTYWRARKVGOBK	InChI=1S/C18H17NO2/c1-19-7-6-12-9-15-18(21-10-20-15)17-13-5-3-2-4-11(13)8-14(19)16(12)17/h2-5,9,14H,6-8,10H2,1H3	Remerine	CN1CCC2=CC3=C(C4=C2C1CC5=CC=CC=C54)OCO3	3.29999995	119204;235224;800239;3876810;6945117;6945118	HMDB:(30264);SuperNatural:(SN00001312 SN00001313);ZINC bio:(ZINC00306694 ZINC00306698);MeSH:(119204 800239);PubMed;COCONUT:(CNP0061326 CNP0216604);KNApSAcK:(25625);Natural Products:(UNPD36094 UNPD101073);database;PubChem:(119204 235224 800239 3876810 6945117 6945118);PubChem class - bio and metabolites;Training Set;KEGG Mine	77329391710	280.133204784	NaN	43_challenge_154_	N/A
2	1	1	1	1	0.9590459791231701	-39.466100351801046	N/A	30.13528958272214	C25H32N2O6	[M + H]+	CXBGOBGJHGGWIE	InChI=1S/C25H32N2O6/c1-6-23-10-7-12-27-13-11-24(19(23)27)17-9-8-16(31-4)14-18(17)26(3)20(24)25(30,22(29)32-5)21(23)33-15(2)28/h7-10,14,19-21,30H,6,11-13H2,1-5H3	Vindolin	CCC12C=CCN3C1C4(CC3)C(C(C2OC(=O)C)(C(=O)OC)O)N(C5=C4C=CC(=C5)OC)C	1.70206046	16596;260535;425978;5459818;12444849;12444852;9933753;12989759;11871714;11871715;11871716;11871717;11953805;11969850;16667702;16758196;16760119;22310117;23617679;26252505;23907960;25201531;25250742;24728631;25760681;25886709;40473139;40489161;59835323;68010339;68017019;71520317;71143358;95050943;92974530;97805897;99746453;100866336;124718630;124774428;124834943;124489917;129316872;129395131;131708242	SuperNatural:(SN00351625 SN00297965 SN00303819 SN00315716 SN00035624 SN00091210 SN00296948 SN00342454 SN00035058);ZINC bio:(ZINC04095689 ZINC13361479 ZINC13783878 ZINC56870869 ZINC57296865 ZINC71404440);additional;MeSH:(16596 260535 425978 5459818 11953805 11969850 12444852 16667702 24728631 129316872);Plantcyc:(VINDOLINE);PubMed;NORMAN:(NS00018366);COCONUT:(CNP0293203);KNApSAcK:(1784);Natural Products:(UNPD80408 UNPD86590 UNPD29123 UNPD22081 UNPD58448 UNPD80107);database;PubChem:(16596 260535 425978 5459818 12444849 12444852 9933753 12989759 11871714 11871715 11871716 11871717 11953805 11969850 16667702 16758196 16760119 22310117 23617679 26252505 23907960 25201531 25250742 24728631 25760681 25886709 40473139 40489161 59835323 68010339 68017019 71520317 71143358 95050943 92974530 97805897 99746453 100866336 124718630 124774428 124834943 124489917 129316872 129395131 131708242);CHEBI:(57753 16380);PubChem class - bio and metabolites;KEGG:(C01626);PubChem class - safety and toxic;Training Set;PubChem class - drug;Biocyc:(VINDOLINE)	68841040246	457.2333127439998	NaN	108_challenge_34_	N/A
3	1	1	1	1	0.8472214159503952	-28.886538832733567	N/A	7.261714524936774	C19H22N2O	[M + H]+	KMPWYEUPVWOPIM	InChI=1S/C19H22N2O/c1-2-13-12-21-10-8-14(13)11-18(21)19(22)16-7-9-20-17-6-4-3-5-15(16)17/h2-7,9,13-14,18-19,22H,1,8,10-12H2	cinchonine	C=CC1CN2CCC1CC2C(C3=CC=NC4=CC=CC=C34)O	2.9415071	2757;8350;11320;90454;101744;667469;688243;221508;1248596;1248597;854006;927899;968909;443155;2724372;3869260;5702153;7059502;7059572;7061071;6101640;5315887;5315888;6419449;6419964;6432465;6553396;6567558;6604644;6713564;6713950;6713951;6916001;6916142;6918949;6918951;6921647;6931353;6951037;6957610;6977972;12032282;12071305;12254721;12254722;10255677;11243373;11860866;11861167;11869406;11869407;15744132;14822549;14908223;16394527;16394529;22524159;21862290;25201430;25203360;24867546;45042199;45266919;45358337;44144641;59114951;66784789;68219497;75466425;92131260;101089152;101170346;101416232;122580713;134744336;134837510;135032741;134939432	HMDB:(30282);SuperNatural:(SN00006045 SN00355297 SN00001908 SN00155190 SN00379062 SN00001165 SN00001499 SN00064457 SN00005827);ZINC bio:(ZINC00155697 ZINC00404802 ZINC00967791 ZINC03872079 ZINC03874031 ZINC03881680 ZINC04245608 ZINC06660877);additional;MeSH:(2757 8350 11320 90454 101744 443155 688243 927899 968909 2724372 5702153 6419964 6432465 6713951 6916142 6918951 6957610 12032282 12254721 14822549 45358337 75466425 92131260);Plantcyc:(CPD-9835 CPD-9847);PubMed;NORMAN:(NS00010165);COCONUT:(CNP0085790 CNP0277594);KNApSAcK:(2147);Natural Products:(UNPD33390 UNPD50677 UNPD148374);database;PubChem:(2757 8350 11320 90454 101744 667469 688243 221508 1248596 1248597 854006 927899 968909 443155 2724372 3869260 5702153 7059502 7059572 7061071 6101640 5315887 5315888 6419449 6419964 6432465 6553396 6567558 6604644 6713564 6713950 6713951 6916001 6916142 6918949 6918951 6921647 6931353 6951037 6957610 6977972 12032282 12071305 12254721 12254722 10255677 11243373 11860866 11861167 11869406 11869407 15744132 14822549 14908223 16394527 16394529 22524159 21862290 25201430 25203360 24867546 45042199 45266919 45358337 44144641 59114951 66784789 68219497 75466425 92131260 101089152 101170346 101416232 122580713 134744336 134837510 135032741 134939432);CHEBI:(92258 115155 3703 95206 27509);PubChem class - bio and metabolites;KEGG:(C11379 C06528);PubChem class - safety and toxic;Training Set;Biocyc:(CPD-9835 CPD-9847)	68807485822	295.18048932399995	NaN	140_challenge_8_	N/A
4	1	1	1	1	0.8082072571634107	-9.101357562602251	N/A	117.91333859388428	C31H38O11	[M + H]+	OVMSOCFBDVBLFW	InChI=1S/C31H38O11/c1-15-19(34)13-31(38)26(41-27(37)18-10-8-7-9-11-18)24-29(6,20(35)12-21-30(24,14-39-21)42-17(3)33)25(36)23(40-16(2)32)22(15)28(31,4)5/h7-11,19-21,23-24,26,34-35,38H,12-14H2,1-6H3	Baccatin V	CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1O)O)OC(=O)C5=CC=CC=C5)(CO4)OC(=O)C)O)C)OC(=O)C	1.51155436	65366;332624;2733529;4357887;7157253;5321416;6713218;9938327;11103870;14476343;11801539;11886864;11970037;16757809;21992969;23636617;23307885;25199938;25200042;45138816;45360039;49827070;53783414;53298528;58633655;58651585;58003697;59904713;59997513;71816153;92222534;92222535;92222536;92222537;101406648;101425797;125039678;125039679;125039680;125039681;126550706;138107788	SuperNatural:(SN00036265 SN00074379 SN00038878);ZINC bio:(ZINC04102268 ZINC04262477 ZINC38152760);additional;MeSH:(65366);Plantcyc:(BACCATIN-III);PubMed;COCONUT:(CNP0358369);KNApSAcK:(40892);database;PubChem:(65366 332624 2733529 4357887 7157253 5321416 6713218 9938327 11103870 14476343 11801539 11886864 11970037 16757809 21992969 23636617 23307885 25199938 25200042 45138816 45360039 49827070 53783414 53298528 58633655 58651585 58003697 59904713 59997513 71816153 92222534 92222535 92222536 92222537 101406648 101425797 125039678 125039679 125039680 125039681 126550706 138107788);CHEBI:(32898);PubChem class - bio and metabolites;KEGG:(C11900);PubChem class - safety and toxic;Training Set;Biocyc:(BACCATIN-III)	68807190902	587.248688036	NaN	69_challenge_188_	N/A
5	1	1	1	1	0.7960119727325743	-8.20263903331461	N/A	38.26108594251255	C16H19NO3	[M + H]+	WHAAPCGHVWVUEX	InChI=1S/C16H19NO3/c1-12(2)10-17-16(18)6-4-3-5-13-7-8-14-15(9-13)20-11-19-14/h3-9,12H,10-11H2,1-2H3,(H,17,18)	Piperlonguminin	CC(C)CNC(=O)C=CC=CC1=CC2=C(C=C1)OCO2	3.1220181	276752;5320621;24180653;24763329;24763330;88780278	COCONUT:(CNP0230795);HMDB:(30187);KNApSAcK:(42857);Natural Products:(UNPD218082 UNPD106998 UNPD193817 UNPD141179);database;PubChem:(276752 5320621 24180653 24763329 24763330 88780278);SuperNatural:(SN00324017 SN00156467 SN00374388);additional;PubChem class - bio and metabolites;MeSH:(5320621);Training Set;PubMed	68739973214	274.143769468	NaN	6_challenge_102_	N/A
6	1	1	1	1	0.7096387794987778	-24.743496790553653	N/A	29.087254934847238	C19H22O9	[M + H]+	HKIKAXXIWJHWLY	InChI=1S/C19H22O9/c1-7-3-10(22)14(19-17(26)16(25)15(24)12(6-20)28-19)18-13(7)11(23)5-9(27-18)4-8(2)21/h3,5,12,15-17,19-20,22,24-26H,4,6H2,1-2H3	Aloesin	CC1=CC(=C(C2=C1C(=O)C=C(O2)CC(=O)C)C3C(C(C(C(O3)CO)O)O)O)O	-1.29999995	637151;160190;364666;14539337;40568307;40568309;44237354;51417646;51417647;90659043;124719580;124719581;124719582;139024445	SuperNatural:(SN00013767 SN00036539 SN00290603 SN00013768 SN00317756 SN00013769 SN00036538 SN00156983 SN00250708 SN00013770);ZINC bio:(ZINC04097839 ZINC05890334 ZINC05890339 ZINC05890342 ZINC05890346 ZINC13139345 ZINC13139347);additional;MeSH:(160190 44237354 90659043);Plantcyc:(CPD-11558);PubMed;NORMAN:(NS00018305);COCONUT:(CNP0304011 CNP0308978);KNApSAcK:(2415);Natural Products:(UNPD138636 UNPD103622 UNPD72039 UNPD113625);database;PubChem:(637151 160190 364666 14539337 40568307 40568309 44237354 51417646 51417647 90659043 124719580 124719581 124719582 139024445);CHEBI:(2608 111274);PubChem class - bio and metabolites;KEGG:(C08994);Training Set;Biocyc:(CPD-11558)	68740376950	395.1336582839999	NaN	145_challenge_85_	N/A
7	1	1	1	1	0.7090257829160705	-55.145134467723814	N/A	33.732506773116974	C8H10N2O4	[M + H]+	WZNJWVWKTVETCG	InChI=1S/C8H10N2O4/c9-5(8(13)14)3-10-2-1-6(11)7(12)4-10/h1-2,4-5,12H,3,9H2,(H,13,14)	Lecenine	C1=CN(C=C(C1=O)O)CC(C(=O)O)N	-3.5	3862;1257702;440473;7057969;6971294;21145103;25203133;101484618	HMDB:(15188);SuperNatural:(SN00001892 SN00005659);ZINC bio:(ZINC00902159 ZINC03860633);additional;HSDB:(500-44-7);MeSH:(3862 440473);Plantcyc:(AMINO-ETCETERA-PYRIDIN-1-YL-PROPANOATE MIMOSINE);PubMed;NORMAN:(NS00043037);COCONUT:(CNP0144413);KNApSAcK:(1383);Natural Products:(UNPD187129);database;PubChem:(3862 1257702 440473 7057969 6971294 21145103 25203133 101484618);CHEBI:(58604 77848 29063 95190 77689 58344);PubChem class - bio and metabolites;KEGG:(C04771);PubChem class - safety and toxic;Training Set;PubChem class - drug;Biocyc:(AMINO-ETCETERA-PYRIDIN-1-YL-PROPANOATE)	68841040766	199.0713328	NaN	83_challenge_211_	N/A
8	1	1	1	1	0.684326149438586	-7.279288171926088	N/A	23.259919055782895	C20H18O10	[M + H]+	RNVUDWOQYYWXBJ	InChI=1S/C20H18O10/c21-9-3-1-8(2-4-9)18-19(30-20-17(27)15(25)12(24)7-28-20)16(26)14-11(23)5-10(22)6-13(14)29-18/h1-6,12,15,17,20-25,27H,7H2	Kaempferol 3-xyloside	C1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC=C(C=C4)O)O)O)O	0.800000012	5481882;11625890;10223753;14749097;22838903;21310440;44258911;44258912;72193724;89864333;92980216;139033617	SuperNatural:(SN00028489 SN00038888 SN00374326 SN00249681 SN00255811 SN00160769);ZINC bio:(ZINC31155769 ZINC38396388);additional;MeSH:(5481882);PubMed;COCONUT:(CNP0135445 CNP0340474);KNApSAcK:(5133);Natural Products:(UNPD3310 UNPD98064 UNPD131520 UNPD170395 UNPD106859 UNPD146360);database;PubChem:(5481882 11625890 10223753 14749097 22838903 21310440 44258911 44258912 72193724 89864333 92980216 139033617);YMDB Mine;CHEBI:(76294 76272 136619);KEGG:(C20727);Training Set;Biocyc:(CPD-13436 CPD-15540)	103082944886	419.0972727759999	NaN	37_challenge_146_	N/A
9	1	1	1	1	0.629765955439343	-16.290764680000656	N/A	38.90146554794295	C24H32O7	[M + H]+	YEFOAORQXAOVJQ	InChI=1S/C24H32O7/c1-13-9-14-10-16(26-3)20(28-5)22(30-7)18(14)19-15(12-24(13,2)25)11-17(27-4)21(29-6)23(19)31-8/h10-11,13,25H,9,12H2,1-8H3	Schizandra	CC1CC2=CC(=C(C(=C2C3=C(C(=C(C=C3CC1(C)O)OC)OC)OC)OC)OC)OC	4.0	23915;3001664;468078;5318662;11102092;10455507;38988908	SuperNatural:(SN00020904 SN00003485 SN00002720 SN00002721);ZINC bio:(ZINC02037016 ZINC02037017 ZINC03799118 ZINC14692402);additional;MeSH:(23915 468078 3001664 10455507 11102092);PubMed;COCONUT:(CNP0129766);KNApSAcK:(34219);Natural Products:(UNPD38318 UNPD56341);database;PubChem:(23915 3001664 468078 5318662 11102092 10455507 38988908);CHEBI:(80900);KEGG:(C17064);PubChem class - safety and toxic;Training Set	68790313334	433.2220793639999	NaN	90_challenge_229_	N/A
10	1	1	1	1	0.6171721411342486	-123.65931514789466	N/A	27.38098824301982	C15H22N2O3	[M + H]+	HTOYBIILVCHURC	InChI=1S/C15H22N2O3/c1-2-20-15(19)17-11-6-9-14(18)16-12-10-13-7-4-3-5-8-13/h3-5,7-8H,2,6,9-12H2,1H3,(H,16,18)(H,17,19)	null	CCOC(=O)NCCCC(=O)NCCC1=CC=CC=C1	1.89999998	72946782	NORMAN:(NS00018315);COCONUT:(CNP0147916);Natural Products:(UNPD211098);database;PubChem:(72946782);additional;MeSH:(72946782);Training Set;PubMed	68722409542	279.170318564	NaN	81_challenge_21_	N/A
