Index,Precursor mz,Challenge,Formula,SMILES,InChIkey,Adduct,Ion mode
challenge_0,517.2210 ,CASMI2022_Priority_0,C25H38O9,CC12CC(CC(C1CCC34C2CCC(C3)C(=C)C4O)C(=O)O)OC5C(C(C(C(O5)CO)O)O)O,ZUDBDCBPZHGAEL-DCYCNZAJSA-N,[M+Cl]-,negative
challenge_1,959.4857 ,CASMI2022_Priority_1,C46H74O18,CC1(C2CCC3(C(C2(CCC1OC4C(C(C(CO4)OC5C(C(C(C(O5)CO)O)O)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)CC=C7C3(CCC8(C7CC(CC8)(C)O)C(=O)O)C)C)C,ZKCHQVRAXCCTLE-YXHZOQBQSA-N,[M+FA-H]-,negative
challenge_2,719.2546 ,CASMI2022_Priority_2,C35H42O16,CC1C(C(C(C(O1)OC2=C(OC3=C(C(=CC(=C3C2=O)O)O)CC=C(C)C)C4=CC=C(C=C4)OC)O)OC5C(C(C(C(O5)CO)O)O)O)OC(=O)C,UYALDZZEAZIEME-MYTBKXFISA-N,[M+H]+,positive
challenge_3,467.2728 ,CASMI2022_Priority_3,C22H40N2O7,CC(C)CC(C(=O)O)NC(=O)C(C(C)C)OC(=O)C(C(C)C)NC(=O)C(CC(C)C)O,IFQVIMQHTPDZQU-UHFFFAOYSA-N,[M+Na]+,positive
challenge_4,499.2302 ,CASMI2022_Priority_4,C26H36O8,CC1CC2(C(C1O)C=C(C(CC3C(C3(C)C)C=C(C2=O)C)OC(=O)CCC(=O)O)C)OC(=O)C,XPXRFYSHQGUVFK-UTXMSIPTSA-N,[M+Na]+,positive
challenge_5,1102.5793 ,CASMI2022_Priority_5,C54H84O22,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OCC3C(C(C(C(O3)OC(=O)C45CCC(=C)CC4C6=CCC7C8(CCC(C(C8CCC7(C6(CC5)C)C)(C)C)OC9C(C(C(CO9)O)O)O)C)O)O)O)COC(=O)C)O)O)O,XPCKJVBBSBPFQL-DCULSWDLSA-N,[M+NH4]+,positive
challenge_6,577.1563 ,CASMI2022_Priority_6,C27H30O14,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=CC4=C3C(=O)C=C(O4)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O,LYKXPTCUGPKDQL-ZRXCBZTOSA-N,[M-H]-,negative
challenge_7,371.2439 ,CASMI2022_Priority_7,C20H36O6,CCCCCCCCCC(=O)OC(C(C(C)C)OC(=O)C(C)C)C(=O)O,RZCUHAHZISRSJD-UHFFFAOYSA-N,[M-H]-,negative
challenge_8,336.1740 ,CASMI2022_Priority_8,C17H25N3O2S,CN(C)CCC1=CNC2=C1C=C(C=C2)CS(=O)(=O)N3CCCC3,WKEMJKQOLOHJLZ-UHFFFAOYSA-N,[M+H]+,positive
challenge_9,472.2092 ,CASMI2022_Priority_9,C25H25N7O3,CN1C2=C(C=C(C=C2)C(=O)N(CCC(=O)O)C3=CC=CC=N3)N=C1CNC4=CC=C(C=C4)C(=N)N,YBSJFWOBGCMAKL-UHFFFAOYSA-N,[M+H]+,positive
challenge_10,657.3130 ,CASMI2022_Priority_10,C33H44N4O10,CCCC(=O)OCC(C(C(CN1C2=C(C=C(C(=C2)C)C)N=C3C1=NC(=O)NC3=O)OC(=O)CCC)OC(=O)CCC)OC(=O)CCC,MJNIWUJSIGSWKK-BBANNHEPSA-N,[M+H]+,positive
challenge_11,185.0608 ,CASMI2022_Priority_11,C12H10O2,CC1=CC=C(C2=CC=CC=C12)C(=O)O,SIVYRLBDAPKADZ-UHFFFAOYSA-N,[M-H]-,negative
challenge_12,723.3961 ,CASMI2022_Priority_12,C37H58O11,CC1CC(OC2(C1C3(CCC45CC46CCC(C(C6CC=C5C3(C2O)C)(C)C)OC7C(C(C(CO7)O)O)O)C)O)C(C(C)(C)O)OC(=O)C,FTUCJLKRCLNNPB-OQDXJULVSA-N,[M+FA-H]-,negative
challenge_13,679.4063 ,CASMI2022_Priority_13,C36H58O9,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)C)O)O)C)C)C2C1)C)C(=O)OC6C(C(C(C(O6)CO)O)O)O)C,WNRDHIDWADTLIO-YYCILOOSSA-N,[M+FA-H]-,negative
