,CID,MolecularFormula,CanonicalSMILES,InChIKey,Formula Score,Structure Score,Consensus Score
0,74039,C9H12N3OP,C(CP(=O)(CCC#N)CCC#N)C#N,ILFYYSUCZQEGOL-UHFFFAOYSA-N,1.0,0.9999999983162428,0.9999999988213699
1,155778376,C9H12N3OP,C1=CN=CC=C1C(=CNCC(=O)P)N,GWHIOYWDBQTORA-YVMONPNESA-N,1.0,0.9464009431461782,0.9624806602023246
2,143740546,C9H12N3OP,C1=CC(=CC=C1C(=N)N)NC(=O)CP,PSFIUIGAZLFVLS-UHFFFAOYSA-N,1.0,0.9278111269333891,0.9494677888533722
3,167165663,C9H12N3OP,C(CC#N)CP(=O)(CCC#N)CC#N,ISEJTZLPQPPZOJ-UHFFFAOYSA-N,1.0,0.9140539246554368,0.9398377472588058
4,163216194,C9H12N3OP,CP(=O)(C)C1=CC(=C(C=C1C#N)N)N,HZELCOQKJYQZEG-UHFFFAOYSA-N,1.0,0.9001881416174885,0.9301316991322419
5,169998735,C9H12N3OP,C1=CC=C(C=C1)NP(N)OCCC#N,APJIRTYFHWPAEY-UHFFFAOYSA-N,1.0,0.8995987890823374,0.929719152357636
6,155233782,C9H12N3OP,CP(=O)(C)C1=C(C=CN2C1=NC=C2)N,RQIJYLAPJBFLEF-UHFFFAOYSA-N,1.0,0.897336905522499,0.9281358338657493
7,155278082,C9H12N3OP,CCOPNC1=NC2=CC=CC=C2N1,CREMGUTWZDWOQM-UHFFFAOYSA-N,1.0,0.8864092002886691,0.9204864402020683
8,145274693,C9H12N3OP,CCOC1=CC2=C(C(=C1)P)C(=NN2)N,YPYFSCOFPNMZDZ-UHFFFAOYSA-N,1.0,0.8720096549732255,0.9104067584812578
9,59881235,C9H12N3OP,CC1=C(N(C(=C1[N+]#[C-])NC(=O)C)P)C,UYKRYYBDDFPDIK-UHFFFAOYSA-N,1.0,0.8675471554080484,0.9072830087856338
10,168979248,C9H12N3OP,CN1C=C2C=C(C(=C(C2=N1)P)OC)N,FQZBHUZOHZKBMJ-UHFFFAOYSA-N,1.0,0.8663487679598305,0.9064441375718812
11,134912348,C9H12N3OP,CN1NC(=NP1(=O)C)C2=CC=CC=C2,SLGUGOQQIKKZAW-UHFFFAOYSA-N,1.0,0.8647231011770549,0.9053061708239383
12,123831498,C9H12N3OP,CC1=CC(=NC=N1)N(C(=O)C2CC2)P,WOAKEJJHNCCSPE-UHFFFAOYSA-N,1.0,0.8624462813461653,0.9037123969423158
13,140339607,C9H12N3OP,C#CCN(C1=CC=CC=C1)P(=O)(N)N,IOXAGTIJMGUQEP-UHFFFAOYSA-N,1.0,0.8341350790666502,0.8838945553466551
14,126688965,C9H12N3OP,CN1C=C1P(=O)(C2=CN2C)C3=CN3C,YHHBOVXGBFUHHP-UHFFFAOYSA-N,1.0,0.8301832797971788,0.8811282958580251
15,154973193,C9H12N3OP,CP(=O)(C)C1=C(C=CC2=C1N=CN2)N,ATUJZQLJPSQYTQ-UHFFFAOYSA-N,1.0,0.8286972735727616,0.880088091500933
16,169857143,C9H12N3OP,CC1=NN2C=C(C=CC2=N1)P(=O)(C)C,MKIUJIBTHGKWGF-UHFFFAOYSA-N,1.0,0.8284996378631735,0.8799497465042214
17,118500927,C9H12N3OP,C1CN(C(=O)C2=C1C=C(C=C2)NN)P,RQJKOPYBPZIEMZ-UHFFFAOYSA-N,1.0,0.8257736455268866,0.8780415518688205
18,142805052,C9H12N3OP,C=PN1CCC2=NC(=NC=C2C1)CO,UZEHCKZILWCYSZ-UHFFFAOYSA-N,1.0,0.8220764124546784,0.8754534887182748
19,21566859,C9H12N3OP,CC1=CN1P(=O)(N2C=C2C)N3C=C3C,MOESISGUPOPRBY-UHFFFAOYSA-N,1.0,0.8137015271297792,0.8695910689908453
20,168492217,C9H12N3OP,CP(=O)(C)C1=CC=CC(=C1)CN=[N+]=[N-],LZPQZBYBXSTATJ-UHFFFAOYSA-N,1.0,0.8117067429996828,0.8681947200997779
21,13026838,C9H12N3OP,CC(C)P(=O)(C1=CC=CC=C1)N=[N+]=[N-],KBJNCSXAUWVEKT-UHFFFAOYSA-N,1.0,0.7976065571674137,0.8583245900171896
22,153343843,C9H12N3OP,CNCC1=C2C(=C(C=CN2C=N1)O)P,XUFAHWYGIMIZAL-UHFFFAOYSA-N,1.0,0.7932282548462918,0.8552597783924043
23,123428637,C9H12N3OP,C=POC1=CN=C(C(=N1)C2CCC2)N,BXVKORSOHPRMLG-UHFFFAOYSA-N,1.0,0.7877091276102847,0.8513963893271992
24,168492218,C9H12N3OP,CP(=O)(C)C1=CC=CC=C1CN=[N+]=[N-],LKEDIIRZLSRHIZ-UHFFFAOYSA-N,1.0,0.7746328165480705,0.8422429715836492
25,23508578,C9H12N3OP,CC(C#N)P(=O)(C(C)C#N)C(C)C#N,JOIOJBSOOZSRPU-UHFFFAOYSA-N,1.0,0.7470798189988431,0.8229558732991902
26,149855915,C9H12N3OP,CP(=O)(C)C1=CC=C(C=C1)CN=[N+]=[N-],BYDNWHPABPGPCM-UHFFFAOYSA-N,1.0,0.7391435375611577,0.8174004762928104
27,68147486,C9H12N3OP,CC1(C=N1)P(=O)(C2(C=N2)C)C3(C=N3)C,JIGKJJYJZWYAQH-UHFFFAOYSA-N,1.0,0.7152611306520936,0.8006827914564656
28,132555126,C9H12N3OP,C#CCNP(=O)(NCC#C)NCC#C,MSXYAUHWGAIWTI-UHFFFAOYSA-N,1.0,0.6981098774944795,0.7886769142461356
