,Title,MolecularFormula,CanonicalSMILES,InChIKey,Database IDs,Formula Score,Structure Score,Consensus Score
0,6-hydroxy-2-(4-hydroxybenzyl)benzofuran-7-C-beta-D-glucopyranoside|6-hydroxy-2-p-hydroxybenzylbenzofuran-7-C-beta-D-glucopyranoside|pteroside,C21H22O8,OCC1OC(c2c(O)ccc3cc(Cc4ccc(O)cc4)oc23)C(O)C(O)C1O,MCHGHPIHLAZAFH-UHFFFAOYSA-N,PMHub:MS000232899,0.9999999999997173,0.9999999986859572,0.9999999990800852
1,"2beta-syringyl-4-oxo-6beta-guaiacyl-3,7-dioxabicyclo[3.3.0]octane|mayuenolide",C21H22O8,COc1cc(C2OCC3C(c4cc(OC)c(O)c(OC)c4)OC(=O)C23)ccc1O,GVZDMHMTKCLEIO-UHFFFAOYSA-N,PMHub:MS000120363,0.9999999999997173,0.9612206868931852,0.9728544808251447
2,"3',4'-demethylenepodophyllotoxin|6,7-O,O-demethylenepodophyllotoxin|6,7-O-Demethylen-podophyllotoxin",C21H22O8,COc1cc(C2c3cc(O)c(O)cc3C(O)C3COC(=O)C23)cc(OC)c1OC,AIEQNTGIFXFNRB-UHFFFAOYSA-N,PMHub:MS000129793,0.9999999999997173,0.9061537566178008,0.9343076296323758
3,Pinocembrin 7-O-rhamnoside,C21H22O8,CC1OC(Oc2cc(O)c3c(c2)OC(c2ccccc2)CC3=O)C(O)C(O)C1O,CQMSSODSJYBGIQ-UHFFFAOYSA-N,PMHub:MS000244954,0.9999999999997173,0.8941967982500831,0.9259377587749733
4,"2,7-Dihydroxy-4-methoxyphenanthrene 2-O-glucoside",C21H22O8,COc1cc(OC2OC(CO)C(O)C(O)C2O)cc2ccc3cc(O)ccc3c12,WMZBYVNQADXHMK-UHFFFAOYSA-N,PMHub:MS000052685,0.9999999999997173,0.8920376325903289,0.9244263428131454
5,(2S)-8-C-beta-glucopyranosyl-7-hydroxyflavanone|schoepfiajasmin E,C21H22O8,O=C1CC(c2ccccc2)Oc2c1ccc(O)c2C1OC(CO)C(O)C(O)C1O,WOMZOYUDQLPFHG-UHFFFAOYSA-N,PMHub:MS000144660,0.9999999999997173,0.8888266391035066,0.9221786473723697
6,,C21H22O8,COc1cc(CC2C(=O)OCC2Cc2cc(OC)c3c(c2)OCO3)cc(O)c1O,LGXHPTUKHKWYCU-UHFFFAOYSA-N,PMHub:MS000227712,0.9999999999997173,0.8879023772721415,0.9215316640904141
7,"2,5-dihydroxy-4-methoxyphenanthrene 2-O-beta-D-glucopyranoside|denneanoside A",C21H22O8,COc1cc(OC2OC(CO)C(O)C(O)C2O)cc2ccc3cccc(O)c3c12,YLTGYUHWCZSXHG-UHFFFAOYSA-N,PMHub:MS000137893,0.9999999999997173,0.8878603805834614,0.9215022664083381
8,dioscopposide B,C21H22O8,COc1ccc2ccc3ccc(OC4OC(CO)C(O)C(O)C4O)c(O)c3c2c1,KOVHBFHRGDLMAS-UHFFFAOYSA-N,PMHub:MS000155362,0.9999999999997173,0.8830519944393872,0.9181363961074862
9,"rel-(2E)-3-[(2R,3S)-2,3-dihydro-2-(4-hydroxy-3,5-dimethoxyphenyl)-3-(hydroxymethyl)-7-methoxybenzofuran-5-yl]prop-2-enoic acid|rel-(7R,7'E,8S)-4,9-dihydroxy-3,3',5-trimethoxy-4',7-epoxy-8,5'-neolign-7'-en-9'-oic acid",C21H22O8,COc1cc(C2Oc3c(OC)cc(C=CC(=O)O)cc3C2CO)cc(OC)c1O,MXADFNHTWMJYES-UHFFFAOYSA-N,PMHub:MS000030874,0.9999999999997173,0.8753952492026963,0.9127766744418024
10,7-hydroxyflavanone 7-O-beta-D-glucoside,C21H22O8,O=C1CC(c2ccccc2)Oc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc21,HPMCYOSTTZQBAP-UZQFATADSA-N,CHEBI:27590;;C04007,0.9999999999997173,0.858050225365595,0.9006351577558316
11,graminone B,C21H22O8,COc1cc(O)cc([C@@H]2OC[C@@H]3[C@H]2C(=O)O[C@H]3c2cc(O)c(OC)c(OC)c2)c1,JTDVCRMQMDJLOR-OAOYMFHYSA-N,CHEBI:65979,0.9999999999997173,0.8531285519806707,0.8971899863863846
12,Descurainolide B,C21H22O8,COc1cc(C=C2CC(c3cc(OC)c(O)c(OC)c3)OC2=O)cc(OC)c1O,KZSJWQVXQDYKAN-UHFFFAOYSA-N,PMHub:MS000197062,0.9999999999997173,0.8509593287371329,0.8956715301159082
13,"2',4'-Dihydroxychalcone 4'-Glucoside",C21H22O8,O=C(C=Cc1ccccc1)c1ccc(OC2OC(CO)C(O)C(O)C2O)cc1O,SYDNPHFWTKACIZ-UHFFFAOYSA-N,PMHub:MS000013160,0.9999999999997173,0.819971480788348,0.8739800365517587
14,Chrysaloin,C21H22O8,Cc1cc(O)c2c(c1)C(C1OC(CO)C(O)C(O)C1O)c1cccc(O)c1C2=O,RZCVGOHQLRNJKQ-UHFFFAOYSA-N,FDB018944;;HMDB0039379;;PMHub:MS000120601,0.9999999999997173,0.8144518915006613,0.870116324050378
15,"3,4',5,5',7-pentahydroxy-3'-methoxy-6-(3-methyl-2-butenyl) flavanone",C21H22O8,COc1cc(C2Oc3cc(O)c(CC=C(C)C)c(O)c3C(=O)C2O)cc(O)c1O,AGWPTSQHHYAHJL-UHFFFAOYSA-N,PMHub:MS000098302,0.9999999999997173,0.8109676154221664,0.8676773307954317
