Score,InChI,FragmenterScore_Values,MaximumTreeDepth,MonoisotopicMass,Identifier,MolecularFormula,InChIKey3,SMILES,FormulasOfExplPeaks,InChIKey2,InChIKey1,FragmenterScore,ExplPeaks,InChIKey,NoExplPeaks,NumberPeaksUsed
1.0,"InChI=1S/C37H58O11/c1-11-15-26(40)46-32-29(20(5)6)30-23-18-21(7)31(43)33(44-22(8)38)34(47-27(41)16-12-2)36(23,9)19-24(45-25(39)14-4)37(30,10)35(32)48-28(42)17-13-3/h18,20,23-24,29-35,43H,11-17,19H2,1-10H3",360.0;360.0;796.0,2,678.3979127,387696,C37H58O11,N,CCCC(=O)OC1C(C(C)C)C2C3C=C(C)C(O)C(OC(C)=O)C(OC(=O)CCC)C3(C)CC(OC(=O)CC)C2(C)C1OC(=O)CCC,57.03316879:[C3H5O]+;59.01248932:[C2H3O2]+;71.01251984:[C3H4O2-H]+,UHFFFAOYSA,KIYAOSXQIPPTIE,3.50888201422186,57.03316879_21.0;59.01248932_999.0;71.01251984_32.9,KIYAOSXQIPPTIE-UHFFFAOYSA-N,3,15
1.0,"InChI=1S/C37H58O11/c1-11-15-26(40)46-32-29(20(5)6)30-23-18-21(7)31(43)33(45-25(39)14-4)34(47-27(41)16-12-2)36(23,9)19-24(44-22(8)38)37(30,10)35(32)48-28(42)17-13-3/h18,20,23-24,29-35,43H,11-17,19H2,1-10H3",360.0;360.0;796.0,2,678.3979127,423125,C37H58O11,N,CCCC(=O)OC1C(C(C)C)C2C3C=C(C)C(O)C(OC(=O)CC)C(OC(=O)CCC)C3(C)CC(OC(C)=O)C2(C)C1OC(=O)CCC,57.03316879:[C3H5O]+;59.01248932:[C2H3O2]+;71.01251984:[C3H4O2-H]+,UHFFFAOYSA,VYRRTXOODFJQBN,3.50888201422186,57.03316879_21.0;59.01248932_999.0;71.01251984_32.9,VYRRTXOODFJQBN-UHFFFAOYSA-N,3,15
1.0,"InChI=1S/C37H58O11/c1-11-15-26(40)45-24-19-36(9)23(18-21(7)31(43)33(44-22(8)38)34(36)48-28(42)17-13-3)30-29(20(5)6)32(46-27(41)16-12-2)35(37(24,30)10)47-25(39)14-4/h18,20,23-24,29-35,43H,11-17,19H2,1-10H3",360.0;360.0;796.0,2,678.3979127,452645,C37H58O11,N,CCCC(=O)OC1C(C(C)C)C2C3C=C(C)C(O)C(OC(C)=O)C(OC(=O)CCC)C3(C)CC(OC(=O)CCC)C2(C)C1OC(=O)CC,57.03316879:[C3H5O]+;59.01248932:[C2H3O2]+;71.01251984:[C3H4O2-H]+,UHFFFAOYSA,ACETYDTUPLBCGS,3.50888201422186,57.03316879_21.0;59.01248932_999.0;71.01251984_32.9,ACETYDTUPLBCGS-UHFFFAOYSA-N,3,15
0.9879339002264819,"InChI=1S/C37H58O11/c1-19-10-15-37(31(43)44)17-16-34(4)20(28(37)36(19,6)45)8-9-22-32(2)13-12-23(33(3,18-38)21(32)11-14-35(22,34)5)47-30-26(41)24(39)25(40)27(48-30)29(42)46-7/h8,19,21-28,30,38-41,45H,9-18H2,1-7H3,(H,43,44)",796.0;348.0;808.0,2,678.3979127,436076,C37H58O11,N,COC(=O)C1OC(OC2CCC3(C)C(CCC4(C)C3CC=C3C5C(C(=O)O)(CCC(C)C5(C)O)CCC34C)C2(C)CO)C(O)C(O)C1O,57.03316879:[C3H6O-H]+;59.01248932:[C2H3O2]+;71.01251984:[C3H4O2-H]+,UHFFFAOYSA,WYLAEPYZLFYENC,3.466543493744756,57.03316879_21.0;59.01248932_999.0;71.01251984_32.9,WYLAEPYZLFYENC-UHFFFAOYSA-N,3,15
0.9879339002264819,"InChI=1S/C37H58O11/c1-32(2)14-15-37(31(44)45)20(16-32)19-8-9-22-33(3)12-11-24(47-30-27(42)25(40)26(41)28(48-30)29(43)46-7)34(4,18-38)21(33)10-13-35(22,5)36(19,6)17-23(37)39/h8,20-28,30,38-42H,9-18H2,1-7H3,(H,44,45)",796.0;348.0;808.0,2,678.3979127,447724,C37H58O11,N,COC(=O)C1OC(OC2CCC3(C)C(CCC4(C)C3CC=C3C5CC(C)(C)CCC5(C(=O)O)C(O)CC34C)C2(C)CO)C(O)C(O)C1O,57.03316879:[C3H6O-H]+;59.01248932:[C2H3O2]+;71.01251984:[C3H4O2-H]+,UHFFFAOYSA,WHNZFHPZVSSPNC,3.466543493744756,57.03316879_21.0;59.01248932_999.0;71.01251984_32.9,WHNZFHPZVSSPNC-UHFFFAOYSA-N,3,15
0.979086801402484,"InChI=1S/C37H58O11/c1-17(13-20(46-18(2)38)30-33(5,6)48-30)25-27(42)29(44)35(8)22-10-9-21-32(3,4)24(47-31-28(43)26(41)19(39)15-45-31)14-23(40)37(21)16-36(22,37)12-11-34(25,35)7/h17,19-26,28-31,39-41,43-44H,9-16H2,1-8H3",696.0;360.0;796.0,2,678.3979127,395332,C37H58O11,N,CC(=O)OC(CC(C)C1C(=O)C(O)C2(C)C3CCC4C(C)(C)C(OC5OCC(O)C(O)C5O)CC(O)C45CC35CCC12C)C1OC1(C)C,57.03316879:[C3H4O]+H+;59.01248932:[C2H3O2]+;71.01251984:[C3H4O2-H]+,UHFFFAOYSA,SFDYZBHXSYAEFJ,3.4355000678031864,57.03316879_21.0;59.01248932_999.0;71.01251984_32.9,SFDYZBHXSYAEFJ-UHFFFAOYSA-N,3,15
0.979086801402484,"InChI=1S/C37H58O11/c1-17(13-21(46-18(2)38)30-33(5,6)48-30)24-26(42)29(44)35(8)28-19(39)14-22-32(3,4)23(47-31-27(43)25(41)20(40)15-45-31)9-10-36(22)16-37(28,36)12-11-34(24,35)7/h17,19-25,27-31,39-41,43-44H,9-16H2,1-8H3",696.0;360.0;796.0,2,678.3979127,425088,C37H58O11,N,CC(=O)OC(CC(C)C1C(=O)C(O)C2(C)C3C(O)CC4C(C)(C)C(OC5OCC(O)C(O)C5O)CCC45CC35CCC12C)C1OC1(C)C,57.03316879:[C3H4O]+H+;59.01248932:[C2H3O2]+;71.01251984:[C3H4O2-H]+,UHFFFAOYSA,RXFQHRCATQKWNA,3.4355000678031864,57.03316879_21.0;59.01248932_999.0;71.01251984_32.9,RXFQHRCATQKWNA-UHFFFAOYSA-N,3,15
0.979086801402484,"InChI=1S/C37H58O11/c1-18(14-28(40)37(19(2)48-37)34(4,5)44)29-26(45-20(3)39)16-25-23-9-8-21-15-22(10-12-35(21,6)24(23)11-13-36(25,29)7)46-33-32(43)31(42)30(41)27(17-38)47-33/h9,11,18-19,21-22,25-33,38,40-44H,8,10,12-17H2,1-7H3",696.0;360.0;796.0,2,678.3979127,445800,C37H58O11,N,CC(=O)OC1CC2C3=CCC4CC(OC5OC(CO)C(O)C(O)C5O)CCC4(C)C3=CCC2(C)C1C(C)CC(O)C1(C(C)(C)O)OC1C,57.03316879:[C3H4O]+H+;59.01248932:[C2H3O2]+;71.01251984:[C3H4O2-H]+,UHFFFAOYSA,OMGRTECXORALPJ,3.4355000678031864,57.03316879_21.0;59.01248932_999.0;71.01251984_32.9,OMGRTECXORALPJ-UHFFFAOYSA-N,3,15
0.979086801402484,"InChI=1S/C37H58O11/c1-17(2)37(19(4)48-37)33(44)29(40)18(3)28-26(45-20(5)39)15-25-23-9-8-21-14-22(10-12-35(21,6)24(23)11-13-36(25,28)7)46-34-32(43)31(42)30(41)27(16-38)47-34/h9,11,17-19,21-22,25-34,38,40-44H,8,10,12-16H2,1-7H3",696.0;360.0;796.0,2,678.3979127,480026,C37H58O11,N,CC(=O)OC1CC2C3=CCC4CC(OC5OC(CO)C(O)C(O)C5O)CCC4(C)C3=CCC2(C)C1C(C)C(O)C(O)C1(C(C)C)OC1C,57.03316879:[C3H4O]+H+;59.01248932:[C2H3O2]+;71.01251984:[C3H4O2-H]+,UHFFFAOYSA,CNLXKTWNTITWTJ,3.4355000678031864,57.03316879_21.0;59.01248932_999.0;71.01251984_32.9,CNLXKTWNTITWTJ-UHFFFAOYSA-N,3,15
0.9760517761965043,"InChI=1S/C37H58O11/c1-32(31(45)46-6)11-13-37(30(43)44)14-12-35(4)20(21(37)15-32)7-8-26-33(2)16-22(39)29(34(3,19-38)25(33)9-10-36(26,35)5)48-18-24-28(42)27(41)23(40)17-47-24/h7,21-29,38-42H,8-19H2,1-6H3,(H,43,44)",796.0;348.0;1044.0,2,678.3979127,393652,C37H58O11,N,COC(=O)C1(C)CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CC(O)C(OCC6OCC(O)C(O)C6O)C(C)(CO)C5CCC43C)C2C1,57.03316879:[C3H6O-H]+;59.01248932:[C2H3O2]+;71.01251984:[C3H3O2]+,UHFFFAOYSA,IMBRUMYMDQAUOL,3.424850522445214,57.03316879_21.0;59.01248932_999.0;71.01251984_32.9,IMBRUMYMDQAUOL-UHFFFAOYSA-N,3,15
