Score,InChI,FragmenterScore_Values,MaximumTreeDepth,MonoisotopicMass,Identifier,MolecularFormula,InChIKey3,SMILES,FormulasOfExplPeaks,InChIKey2,InChIKey1,FragmenterScore,ExplPeaks,InChIKey,NoExplPeaks,NumberPeaksUsed
0.0,"InChI=1S/C20H32O4/c1-2-3-4-5-6-7-8-9-10-11-12-14-17(21)20-18(24-20)15-13-16-19(22)23/h6-7,9-10,12,14,17-18,20-21H,2-5,8,11,13,15-16H2,1H3,(H,22,23)/b7-6-,10-9-,14-12-/t17-,18-,20+/m0/s1",NA,2,336.2300595,8683,C20H32O4,N,CCCCC/C=C\C/C=C\C/C=C\[C@H](O)[C@H]1O[C@H]1CCCC(=O)O,NA,CJSXLYMMSA,RBULXUYPQCFJSA,0.0,NA,RBULXUYPQCFJSA-CJSXLYMMSA-N,0,10
0.0,"InChI=1S/C20H32O4/c1-2-3-4-5-6-7-8-11-14-17(21)20-18(24-20)15-12-9-10-13-16-19(22)23/h6-7,9,11-12,14,17-18,20-21H,2-5,8,10,13,15-16H2,1H3,(H,22,23)/b7-6-,12-9-,14-11-/t17-,18-,20+/m0/s1",NA,2,336.2300595,29854,C20H32O4,N,CCCCC/C=C\C/C=C\[C@H](O)[C@H]1O[C@H]1C/C=C\CCCC(=O)O,NA,MCRRFWBCSA,WWOUHSVXNYZFBQ,0.0,NA,WWOUHSVXNYZFBQ-MCRRFWBCSA-N,0,10
0.0,"InChI=1S/C20H32O4/c1-16(2)11-9-7-5-3-4-6-8-10-12-17(21)13-19-14-18(22)15-20(23)24-19/h14-16,22H,3-13H2,1-2H3",NA,2,336.2300595,34432,C20H32O4,N,CC(C)CCCCCCCCCCC(=O)Cc1cc(O)cc(=O)o1,NA,UHFFFAOYSA,PUYXSOZDOLDUCC,0.0,NA,PUYXSOZDOLDUCC-UHFFFAOYSA-N,0,10
0.0,"InChI=1S/C20H32O4/c1-2-3-4-5-6-7-9-13-18(21)14-10-8-11-15-19(22)16-12-17-20(23)24/h6-11,13,15,18-19,21-22H,2-5,12,14,16-17H2,1H3,(H,23,24)/b7-6-,10-8-,13-9+,15-11+/t18-,19+/m0/s1",NA,2,336.2300595,36794,C20H32O4,N,CCCCC/C=C\C=C\[C@H](O)C/C=C\C=C\[C@@H](O)CCCC(=O)O,NA,ZZHGHEOFSA,GVBURXXHWSCJSI,0.0,NA,GVBURXXHWSCJSI-ZZHGHEOFSA-N,0,10
0.0,"InChI=1S/C20H32O4/c1-2-3-11-15-18-20(24-18)17(21)14-12-9-7-5-4-6-8-10-13-16-19(22)23/h5-8,12,14,17-18,20-21H,2-4,9-11,13,15-16H2,1H3,(H,22,23)/b7-5-,8-6-,14-12-",NA,2,336.2300595,40087,C20H32O4,N,CCCCCC1OC1C(O)/C=C\C/C=C\C/C=C\CCCC(=O)O,NA,GUPQBDHDSA,FMRVHRPEVIVXKX,0.0,NA,FMRVHRPEVIVXKX-GUPQBDHDSA-N,0,10
0.0,"InChI=1S/C20H32O4/c21-17-12-10-8-6-4-2-1-3-5-7-9-11-14-18-19(24-18)15-13-16-20(22)23/h2-5,9,11,18-19,21H,1,6-8,10,12-17H2,(H,22,23)/b4-2-,5-3-,11-9-",NA,2,336.2300595,40170,C20H32O4,N,O=C(O)CCCC1OC1C/C=C\C/C=C\C/C=C\CCCCCO,NA,YVPQVEMHSA,UZEGCBLKLBSVQM,0.0,NA,UZEGCBLKLBSVQM-YVPQVEMHSA-N,0,10
0.0,"InChI=1S/C20H32O4/c21-17-13-9-5-3-1-2-4-6-10-14-18-19(24-18)15-11-7-8-12-16-20(22)23/h1-2,6-7,10-11,18-19,21H,3-5,8-9,12-17H2,(H,22,23)/b2-1-,10-6-,11-7-",NA,2,336.2300595,40171,C20H32O4,N,O=C(O)CCC/C=C\CC1OC1C/C=C\C/C=C\CCCCCO,NA,CWNYAIHGSA,IJXQUCAFIAUOCV,0.0,NA,IJXQUCAFIAUOCV-CWNYAIHGSA-N,0,10
0.0,"InChI=1S/C20H32O4/c21-17-13-9-5-4-7-11-15-19-18(24-19)14-10-6-2-1-3-8-12-16-20(22)23/h1,3,6-7,10-11,18-19,21H,2,4-5,8-9,12-17H2,(H,22,23)/b3-1-,10-6-,11-7-",NA,2,336.2300595,40172,C20H32O4,N,O=C(O)CCC/C=C\C/C=C\CC1OC1C/C=C\CCCCCO,NA,WDVHGCLESA,IGTPAVNSPWMOQM,0.0,NA,IGTPAVNSPWMOQM-WDVHGCLESA-N,0,10
0.0,"InChI=1S/C20H32O4/c21-17-13-9-11-15-19-18(24-19)14-10-7-5-3-1-2-4-6-8-12-16-20(22)23/h1,3-4,6-7,10,18-19,21H,2,5,8-9,11-17H2,(H,22,23)/b3-1-,6-4-,10-7-",NA,2,336.2300595,40173,C20H32O4,N,O=C(O)CCC/C=C\C/C=C\C/C=C\CC1OC1CCCCCO,NA,TVQVUPQZSA,BLHHGTASRFNKLG,0.0,NA,BLHHGTASRFNKLG-TVQVUPQZSA-N,0,10
0.0,"InChI=1S/C20H32O4/c21-18-14-10-6-5-8-12-16-19(22)15-11-7-3-1-2-4-9-13-17-20(23)24/h2-4,7-8,11-12,15,19,21-22H,1,5-6,9-10,13-14,16-18H2,(H,23,24)",NA,2,336.2300595,48252,C20H32O4,N,O=C(O)CCCC=CCC=CC=CC(O)CC=CCCCCCO,NA,UHFFFAOYSA,NUPDGIJXOAHJRW,0.0,NA,NUPDGIJXOAHJRW-UHFFFAOYSA-N,0,10
