Score,InChI,FragmenterScore_Values,MaximumTreeDepth,MonoisotopicMass,Identifier,MolecularFormula,InChIKey3,SMILES,FormulasOfExplPeaks,InChIKey2,InChIKey1,FragmenterScore,ExplPeaks,InChIKey,NoExplPeaks,NumberPeaksUsed
1.0,"InChI=1S/C8H8O4/c1-12-7-4-5(8(10)11)2-3-6(7)9/h2-4,9H,1H3,(H,10,11)",348.0;360.0,2,168.0422587,7239,C8H8O4,N,COc1cc(C(=O)O)ccc1O,123.0455:[C7H7O2]+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,WKOLLVMJNQIZCI,200.1022241667642,123.0455_999.0;152.0451_102.9,WKOLLVMJNQIZCI-UHFFFAOYSA-N,2,2
1.0,"InChI=1S/C8H8O4/c9-6-3-1-5(2-4-6)7(10)8(11)12/h1-4,7,9-10H,(H,11,12)/t7-/m1/s1",348.0;360.0,2,168.0422587,7347,C8H8O4,N,O=C(O)[C@H](O)c1ccc(O)cc1,123.0455:[C7H7O2]+;152.0451:[C8H7O3]+H+,SSDOTTSWSA,YHXHKYRQLYQUIH,200.1022241667642,123.0455_999.0;152.0451_102.9,YHXHKYRQLYQUIH-SSDOTTSWSA-N,2,2
1.0,"InChI=1S/C8H8O4/c1-4-2-5(9)3-6(10)7(4)8(11)12/h2-3,9-10H,1H3,(H,11,12)",348.0;360.0,2,168.0422587,7351,C8H8O4,N,Cc1cc(O)cc(O)c1C(=O)O,123.0455:[C7H7O2]+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,AMKYESDOVDKZKV,200.1022241667642,123.0455_999.0;152.0451_102.9,AMKYESDOVDKZKV-UHFFFAOYSA-N,2,2
1.0,"InChI=1S/C8H8O4/c9-6-2-1-5(3-7(6)10)4-8(11)12/h1-3,9-10H,4H2,(H,11,12)",348.0;360.0,2,168.0422587,7746,C8H8O4,N,O=C(O)Cc1ccc(O)c(O)c1,123.0455:[C7H7O2]+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,CFFZDZCDUFSOFZ,200.1022241667642,123.0455_999.0;152.0451_102.9,CFFZDZCDUFSOFZ-UHFFFAOYSA-N,2,2
1.0,"InChI=1S/C8H8O4/c9-6-1-2-7(10)5(3-6)4-8(11)12/h1-3,9-10H,4H2,(H,11,12)",348.0;360.0,2,168.0422587,7912,C8H8O4,N,O=C(O)Cc1cc(O)ccc1O,123.0455:[C7H7O2]+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,IGMNYECMUMZDDF,200.1022241667642,123.0455_999.0;152.0451_102.9,IGMNYECMUMZDDF-UHFFFAOYSA-N,2,2
1.0,"InChI=1S/C8H8O4/c9-6-2-1-3-7(10)5(6)4-8(11)12/h1-3,9-10H,4H2,(H,11,12)",348.0;360.0,2,168.0422587,9219,C8H8O4,N,O=C(O)Cc1c(O)cccc1O,123.0455:[C7H7O2]+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,CROCAQYJJNCZQH,200.1022241667642,123.0455_999.0;152.0451_102.9,CROCAQYJJNCZQH-UHFFFAOYSA-N,2,2
1.0,"InChI=1S/C8H8O4/c9-4-5-1-2-6(8(11)12)7(10)3-5/h1-3,9-10H,4H2,(H,11,12)",348.0;360.0,2,168.0422587,11170,C8H8O4,N,O=C(O)c1ccc(CO)cc1O,123.0455:[C7H7O2]+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,DSQWHAJLUOQMFI,200.1022241667642,123.0455_999.0;152.0451_102.9,DSQWHAJLUOQMFI-UHFFFAOYSA-N,2,2
1.0,"InChI=1S/C8H8O4/c1-12-7-3-2-5(8(10)11)4-6(7)9/h2-4,9H,1H3,(H,10,11)",348.0;360.0,2,168.0422587,22779,C8H8O4,N,COc1ccc(C(=O)O)cc1O,123.0455:[C7H7O2]+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,LBKFGYZQBSGRHY,200.1022241667642,123.0455_999.0;152.0451_102.9,LBKFGYZQBSGRHY-UHFFFAOYSA-N,2,2
1.0,"InChI=1S/C8H8O4/c1-12-6-4-2-3-5(7(6)9)8(10)11/h2-4,9H,1H3,(H,10,11)",348.0;360.0,2,168.0422587,25901,C8H8O4,N,COc1cccc(C(=O)O)c1O,123.0455:[C7H7O2]+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,AUZQQIPZESHNMG,200.1022241667642,123.0455_999.0;152.0451_102.9,AUZQQIPZESHNMG-UHFFFAOYSA-N,2,2
1.0,"InChI=1S/C8H8O4/c9-6-3-1-2-5(4-6)7(10)8(11)12/h1-4,7,9-10H,(H,11,12)",348.0;360.0,2,168.0422587,35063,C8H8O4,N,O=C(O)C(O)c1cccc(O)c1,123.0455:[C7H7O2]+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,OLSDAJRAVOVKLG,200.1022241667642,123.0455_999.0;152.0451_102.9,OLSDAJRAVOVKLG-UHFFFAOYSA-N,2,2
