Score,InChI,FragmenterScore_Values,MaximumTreeDepth,MonoisotopicMass,Identifier,MolecularFormula,InChIKey3,SMILES,FormulasOfExplPeaks,InChIKey2,InChIKey1,FragmenterScore,ExplPeaks,InChIKey,NoExplPeaks,NumberPeaksUsed
1.0,"InChI=1S/C16H12O5/c17-11-2-3-12-15(7-11)21-8-10(16(12)20)5-9-1-4-13(18)14(19)6-9/h1-7,17-19H,8H2",708.0;612.0;696.0;612.0;348.0;1224.0,2,284.0684735,55050,C16H12O5,N,O=C1C(=Cc2ccc(O)c(O)c2)COc2cc(O)ccc21,121.0289:[C7H4O2]+H+;123.045:[C7H6O2]+H+;151.04:[C8H6O3]+H+;163.0395:[C9H6O3]+H+;175.0393:[C10H7O3]+;227.0724:[C14H10O3]+H+,UHFFFAOYSA,KVYZXXBTJHJISR,164.1139865529679,121.0289_40.0;123.045_408.6;151.04_999.0;163.0395_50.9;175.0393_248.8;227.0724_43.0,KVYZXXBTJHJISR-UHFFFAOYSA-N,6,12
0.9833906980155923,"InChI=1S/C16H12O5/c17-8-12-5-10(2-4-15(12)20)1-3-11-6-13(19)7-16(21)14(11)9-18/h1-9,19-21H/b3-1+",348.0;448.0;612.0;348.0;1224.0;696.0,2,284.0684735,317990,C16H12O5,N,O=Cc1cc(/C=C/c2cc(O)cc(O)c2C=O)ccc1O,121.0289:[C7H5O2]+;123.045:[C7H5O2+H]+H+;151.04:[C8H6O3]+H+;163.0395:[C9H7O3]+;175.0393:[C10H7O3]+;227.0724:[C14H10O3]+H+,HNQUOIGGSA,KSVVDMJECFEDLH,161.38816779044464,121.0289_40.0;123.045_408.6;151.04_999.0;163.0395_50.9;175.0393_248.8;227.0724_43.0,KSVVDMJECFEDLH-HNQUOIGGSA-N,6,12
0.9822920351116071,"InChI=1S/C16H12O5/c1-20-10-3-5-12-15(7-10)21-8-13(16(12)19)11-4-2-9(17)6-14(11)18/h2-8,17-18H,1H3",808.0;708.0;708.0;708.0;348.0;1156.0,2,284.0684735,389744,C16H12O5,N,COc1ccc2c(=O)c(-c3ccc(O)cc3O)coc2c1,121.0289:[C7H6O2-H]+;123.045:[C7H6O2]+H+;151.04:[C8H6O3]+H+;163.0395:[C9H6O3]+H+;175.0393:[C10H7O3]+;227.0724:[C14H9O3+H]+H+,UHFFFAOYSA,JZOYQACMFLYEJG,161.20786184139376,121.0289_40.0;123.045_408.6;151.04_999.0;163.0395_50.9;175.0393_248.8;227.0724_43.0,JZOYQACMFLYEJG-UHFFFAOYSA-N,6,12
0.9673522132153204,"InChI=1S/C16H12O5/c17-10-3-1-9(2-4-10)15(19)13-8-21-14-7-11(18)5-6-12(14)16(13)20/h1-7,13,17-18H,8H2",348.0;448.0;696.0;348.0;708.0;1684.0,2,284.0684735,426820,C16H12O5,N,O=C(c1ccc(O)cc1)C1COc2cc(O)ccc2C1=O,121.0289:[C7H5O2]+;123.045:[C7H5O2+H]+H+;151.04:[C8H6O3]+H+;163.0395:[C9H7O3]+;175.0393:[C10H6O3]+H+;227.0724:[C14H9O3+H]+H+,UHFFFAOYSA,ZXHHIKSDNZIOMD,158.75602811160283,121.0289_40.0;123.045_408.6;151.04_999.0;163.0395_50.9;175.0393_248.8;227.0724_43.0,ZXHHIKSDNZIOMD-UHFFFAOYSA-N,6,12
0.937693187241657,"InChI=1S/C16H12O5/c1-18-13-7-16-15(19-8-20-16)6-11(13)14-4-9-2-3-10(17)5-12(9)21-14/h2-7,17H,8H2,1H3",708.0;908.0;348.0;1355.0;1455.0;1584.0,2,284.0684735,447492,C16H12O5,N,COc1cc2c(cc1-c1cc3ccc(O)cc3o1)OCO2,121.0289:[C7H4O2]+H+;123.045:[C7H4O2+2H]+H+;151.04:[C8H7O3]+;163.0395:[C9H7O3]+;175.0393:[C10H8O3-H]+;227.0724:[C14H10O3]+H+,UHFFFAOYSA,IFBRBJZDJUDCQS,153.8885671217869,121.0289_40.0;123.045_408.6;151.04_999.0;163.0395_50.9;175.0393_248.8;227.0724_43.0,IFBRBJZDJUDCQS-UHFFFAOYSA-N,6,12
0.925303211667098,"InChI=1S/C16H12O5/c1-20-14-8-13-10(6-12(14)18)7-15(21-13)16(19)9-2-4-11(17)5-3-9/h2-8,17-18H,1H3",348.0;448.0;908.0;348.0;708.0;1684.0,2,284.0684735,441238,C16H12O5,N,COc1cc2oc(C(=O)c3ccc(O)cc3)cc2cc1O,121.0289:[C7H5O2]+;123.045:[C7H5O2+H]+H+;151.04:[C8H4O3+2H]+H+;163.0395:[C9H7O3]+;175.0393:[C10H6O3]+H+;227.0724:[C14H9O3+H]+H+,UHFFFAOYSA,ITCDCIOPYUUASE,151.85519883695213,121.0289_40.0;123.045_408.6;151.04_999.0;163.0395_50.9;175.0393_248.8;227.0724_43.0,ITCDCIOPYUUASE-UHFFFAOYSA-N,6,12
0.9155373718658616,"InChI=1S/C16H12O5/c1-20-16-6-9(2-5-12(16)18)14-8-13(19)11-4-3-10(17)7-15(11)21-14/h2-8,17-18H,1H3",708.0;348.0;972.0;448.0;808.0;1156.0,2,284.0684735,9980,C16H12O5,N,COc1cc(-c2cc(=O)c3ccc(O)cc3o2)ccc1O,121.0289:[C7H4O2]+H+;123.045:[C7H7O2]+;151.04:[C8H7O3]+;163.0395:[C9H5O3+H]+H+;175.0393:[C10H8O3-H]+;227.0724:[C14H9O3+H]+H+,UHFFFAOYSA,OUMMPAFEQHTYIZ,150.2524879351336,121.0289_40.0;123.045_408.6;151.04_999.0;163.0395_50.9;175.0393_248.8;227.0724_43.0,OUMMPAFEQHTYIZ-UHFFFAOYSA-N,6,12
0.9155373718658616,"InChI=1S/C16H12O5/c1-20-14-5-2-9(6-13(14)19)15-8-12(18)11-4-3-10(17)7-16(11)21-15/h2-8,17,19H,1H3",708.0;348.0;972.0;448.0;808.0;1156.0,2,284.0684735,166360,C16H12O5,N,COc1ccc(-c2cc(=O)c3ccc(O)cc3o2)cc1O,121.0289:[C7H4O2]+H+;123.045:[C7H7O2]+;151.04:[C8H7O3]+;163.0395:[C9H5O3+H]+H+;175.0393:[C10H8O3-H]+;227.0724:[C14H9O3+H]+H+,UHFFFAOYSA,QAGGICSUEVNSGH,150.2524879351336,121.0289_40.0;123.045_408.6;151.04_999.0;163.0395_50.9;175.0393_248.8;227.0724_43.0,QAGGICSUEVNSGH-UHFFFAOYSA-N,6,12
0.9143591509445226,"InChI=1S/C16H12O5/c17-10-3-1-8(2-4-10)12-6-9-5-11(18)7-13(19)14(9)16(21)15(12)20/h1-5,7,17-20H,6H2",796.0;696.0;696.0;696.0;708.0;960.0,2,284.0684735,548066,C16H12O5,N,O=C1C(O)=C(c2ccc(O)cc2)Cc2cc(O)cc(O)c21,121.0289:[C7H6O2-H]+;123.045:[C7H6O2]+H+;151.04:[C8H6O3]+H+;163.0395:[C9H6O3]+H+;175.0393:[C10H6O3]+H+;227.0724:[C14H11O3]+,UHFFFAOYSA,NIOVLTDMBNKFKJ,150.05912540269253,121.0289_40.0;123.045_408.6;151.04_999.0;163.0395_50.9;175.0393_248.8;227.0724_43.0,NIOVLTDMBNKFKJ-UHFFFAOYSA-N,6,12
0.9118031604740908,"InChI=1S/C16H12O5/c1-8-6-11-13(9-2-4-10(17)5-3-9)14(19)16(20)21-15(11)12(18)7-8/h2-7,17-19H,1H3",808.0;708.0;696.0;708.0;708.0;972.0,2,284.0684735,313000,C16H12O5,N,Cc1cc(O)c2oc(=O)c(O)c(-c3ccc(O)cc3)c2c1,121.0289:[C7H6O2-H]+;123.045:[C7H6O2]+H+;151.04:[C8H6O3]+H+;163.0395:[C9H6O3]+H+;175.0393:[C10H6O3]+H+;227.0724:[C14H11O3]+,UHFFFAOYSA,MDZOYIWYLUYJEL,149.63965161699858,121.0289_40.0;123.045_408.6;151.04_999.0;163.0395_50.9;175.0393_248.8;227.0724_43.0,MDZOYIWYLUYJEL-UHFFFAOYSA-N,6,12
0.9095318551940277,"InChI=1S/C16H12O5/c1-20-11-6-7-12-13(8-11)21-16(15(19)14(12)18)9-2-4-10(17)5-3-9/h2-8,17,19H,1H3",808.0;708.0;708.0;708.0;708.0;960.0,2,284.0684735,478439,C16H12O5,N,COc1ccc2c(=O)c(O)c(-c3ccc(O)cc3)oc2c1,121.0289:[C7H6O2-H]+;123.045:[C7H6O2]+H+;151.04:[C8H6O3]+H+;163.0395:[C9H6O3]+H+;175.0393:[C10H6O3]+H+;227.0724:[C14H11O3]+,UHFFFAOYSA,UAESYLAPUNIHOF,149.2668986528086,121.0289_40.0;123.045_408.6;151.04_999.0;163.0395_50.9;175.0393_248.8;227.0724_43.0,UAESYLAPUNIHOF-UHFFFAOYSA-N,6,12
0.9095318551940277,"InChI=1S/C16H12O5/c1-8-6-11(18)7-12-13(8)14(19)15(20)16(21-12)9-2-4-10(17)5-3-9/h2-7,17-18,20H,1H3",808.0;708.0;708.0;708.0;708.0;960.0,2,284.0684735,552407,C16H12O5,N,Cc1cc(O)cc2oc(-c3ccc(O)cc3)c(O)c(=O)c12,121.0289:[C7H6O2-H]+;123.045:[C7H6O2]+H+;151.04:[C8H6O3]+H+;163.0395:[C9H6O3]+H+;175.0393:[C10H6O3]+H+;227.0724:[C14H11O3]+,UHFFFAOYSA,GXWOUJYXKRNGPL,149.2668986528086,121.0289_40.0;123.045_408.6;151.04_999.0;163.0395_50.9;175.0393_248.8;227.0724_43.0,GXWOUJYXKRNGPL-UHFFFAOYSA-N,6,12
0.9068779503600657,"InChI=1S/C16H12O5/c1-8-6-10(17)14-12(7-8)21-11-5-3-4-9(16(19)20-2)13(11)15(14)18/h3-7,17H,1-2H3",808.0;708.0;708.0;708.0;1224.0;448.0,2,284.0684735,25705,C16H12O5,N,COC(=O)c1cccc2oc3cc(C)cc(O)c3c(=O)c12,121.0289:[C7H6O2-H]+;123.045:[C7H6O2]+H+;151.04:[C8H6O3]+H+;163.0395:[C9H6O3]+H+;175.0393:[C10H6O3]+H+;227.0724:[C14H9O3+H]+H+,UHFFFAOYSA,YEKIIDIQOZQXAX,148.83135575057491,121.0289_40.0;123.045_408.6;151.04_999.0;163.0395_50.9;175.0393_248.8;227.0724_43.0,YEKIIDIQOZQXAX-UHFFFAOYSA-N,6,12
0.9068779503600657,"InChI=1S/C16H12O5/c1-19-10-4-6-13-12(8-10)15(17)11-5-3-9(16(18)20-2)7-14(11)21-13/h3-8H,1-2H3",808.0;708.0;708.0;708.0;1224.0;448.0,2,284.0684735,388827,C16H12O5,N,COC(=O)c1ccc2c(=O)c3cc(OC)ccc3oc2c1,121.0289:[C7H6O2-H]+;123.045:[C7H6O2]+H+;151.04:[C8H6O3]+H+;163.0395:[C9H6O3]+H+;175.0393:[C10H6O3]+H+;227.0724:[C14H9O3+H]+H+,UHFFFAOYSA,RRUQXAYCEZFORP,148.83135575057491,121.0289_40.0;123.045_408.6;151.04_999.0;163.0395_50.9;175.0393_248.8;227.0724_43.0,RRUQXAYCEZFORP-UHFFFAOYSA-N,6,12
