File path	File name	Title	MS1 count	MSMS count	PRECURSORMZ	PRECURSORTYPE	Formula rank 1	Theoretical mass	Mass error	Formula score	Databases	Formula rank 2	Theoretical mass	Mass error	Formula score	Databases	Formula rank 3	Theoretical mass	Mass error	Formula score	Databases	Formula rank 4	Theoretical mass	Mass error	Formula score	Databases	Formula rank 5	Theoretical mass	Mass error	Formula score	Databases	Formula rank 6	Theoretical mass	Mass error	Formula score	Databases	Formula rank 7	Theoretical mass	Mass error	Formula score	Databases	Formula rank 8	Theoretical mass	Mass error	Formula score	Databases	Formula rank 9	Theoretical mass	Mass error	Formula score	Databases	Formula rank 10	Theoretical mass	Mass error	Formula score	Databases	
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_0.msp	challenge_0	challenge0	0	15	517.220984796	[M+Cl]-	C25H38O9	482.251582796	-7E-07	3.192	HMDB,ChEBI,FooDB,BMDB,LipidMAPS,Urine,Serum,UNPD,NPA,COCONUT,MINE	C21H34F4N4O4	482.251618448	3.49E-05	2.362		C10H33F2N14O4P	482.251488606	-9.49E-05	2.359		C16H40FN4O9P	482.25169371	0.0001102	2.357		C27H35FN4OS	482.25156096	-2.26E-05	2.353		C12H39FN12OS3	482.251595088	1.16E-05	2.353		C18H37ClF2N8OSi	482.251618454	3.49E-05	2.352		C11H43N10O3PSSi2	482.251645926	6.24E-05	2.351		C11H33ClF2N14O3	482.251665036	8.15E-05	2.35		C13H39ClN10O5S	482.251413028	-0.0001705	2.349		
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_1.msp	challenge_1	challenge1	0	23	959.485715528	[M+FA-H]-	C46H74O18	914.487515528	2.5E-06	3.749	KNApSAcK,UNPD,COCONUT,MINE	C35H76F2N6O15Si2	914.487525232	1.23E-05	2.962		C38H82N2O16S2Si	914.487503074	-9.9E-06	2.962		C31H78N8O18S2	914.487549656	3.67E-05	2.961		C36H78ClF3N4O14S	914.487586516	7.35E-05	2.959		C34H78F4N6O11S2Si	914.487538726	2.57E-05	2.958		C32H79ClN10O12Si3	914.487525238	1.23E-05	2.958		C37H84F2N2O12S4	914.487516568	3.6E-06	2.958		C38H79F2N4O12P3	914.487540298	2.73E-05	2.958		C42H79ClN4O11S2	914.487529028	1.6E-05	2.958		
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_10.msp	challenge_10	challenge10	0	44	657.313019608	[M+H]+	C33H44N4O10	656.305743608	5E-07	3.663	HMDB,ChEBI,FooDB,UNPD,BLEXP,COCONUT	C17H54N8O12P2S	656.305713428	-2.97E-05	3.027		C18H48N12O10S2	656.305777736	3.46E-05	3.022		C22H57FN2O12S3	656.305766484	2.33E-05	3.021		C24H58N2O10P2SSi	656.305666846	-7.63E-05	3.02		C24H46FN8O10P	656.305854522	0.0001114	3.017		C15H52N12O9Si4	656.305727364	-1.58E-05	3.015		C25H58ClN2O9PSSi	656.305843276	0.0001001	3.015		C15H42F2N16O9Si	656.305799894	5.67E-05	3.013		C25H52N6O8S2Si	656.305731154	-1.2E-05	3.013		
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_100.msp	challenge_100	challenge100	0	37	542.165691588	[M+NH4]+	C27H24O11	524.131861588	-4.4E-06	3.795	KNApSAcK,STOFF,UNPD,COCONUT	C11H40N4O7S4Si2	524.13183668	-2.94E-05	3.22		C12H28N8O11S2	524.131895716	2.97E-05	3.22		C14H25FN12O3S3	524.13187388	7.8E-06	3.22		C15H28F4N6O4S2Si	524.131884786	1.87E-05	3.22		C15H40BrF2N2O4PS2	524.13185493	-1.11E-05	3.22		C16H31F7O5SSi2	524.131895692	2.97E-05	3.22		C16H40ClF3O3S3Si2	524.13187354	7.5E-06	3.22		C17H38ClFO7SSi3	524.131860046	-6E-06	3.22		C18H34F2N2O5S4	524.131862628	-3.4E-06	3.22		
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_101.msp	challenge_101	challenge101	0	37	327.030871668	[M-H]-	C14H14Cl2N2O3	328.038147668	-5E-07	3.749	ChEBI,UNPD,NPA,COCONUT	C8H17FN2O5SSi2	328.038073924	-7.42E-05	3.228		C8H17BrN4O5	328.038231744	8.36E-05	3.228		C7H17FN2O6Si3	328.037844074	-0.000304	3.186		C12H14N2O5P2	328.037794808	-0.0003533	3.17		C5H10ClFN10O2S	328.03814646	-1.7E-06	3.154		C6H13ClF4N4O3Si	328.038157366	9.2E-06	3.154		C6H22Cl2N4OS2Si	328.038135214	-1.29E-05	3.154		C4H16ClFN6O4P2	328.038082152	-6.6E-05	3.152		C6H13F4N4O3PS	328.038210786	6.27E-05	3.152		
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_102.msp	challenge_102	challenge102	0	73	401.124191664	[M-H]-	C21H22O8	402.131467664	-5E-07	3.805	HMDB,KNApSAcK,ChEBI,FooDB,NANPDB,LipidMAPS,UNPD,BLEXP,NPA,COCONUT,MINE	C10H26F3N4O5PS	402.131362222	-0.0001059	3.003		C12H24FN4O8P	402.131578578	0.0001105	3.003		C10H24F2N6O5Si2	402.131477368	9.3E-06	3		C11H26ClF3N4O4S	402.131538652	7.05E-05	3		C9H23ClN10O4S	402.131297896	-0.0001702	2.979		C13H30N2O6S2Si	402.13145521	-1.29E-05	2.979		C11H24F2N6O4SSi	402.131707218	0.0002391	2.974		C10H30F2N2O6P2Si	402.13164291	0.0001748	2.97		C13H24ClFN4O7	402.131755008	0.0002869	2.967		
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_103.msp	challenge_103	challenge103	0	43	110.060039844	[M+H]+	C6H7NO	109.052763844	5E-07	4.362	HMDB,KNApSAcK,ChEBI,DrugBank,T3DB,FooDB,STOFF,BMDB,Urine,ECMDB,Serum,PubChem,UNPD,BLEXP,NPA,COCONUT,MINE																																														
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_104.msp	challenge_104	challenge104	0	119	457.201635756	[M+H]+	C22H28N6O3S	456.194359756	5E-07	3.765	HMDB,ChEBI,DrugBank,SMPDB,Urine,Serum,UNPD,BLEXP,COCONUT	C30H24N4O	456.195011388	0.0006521	3.277	COCONUT	C11H41FN4O5S4	456.194382632	2.33E-05	3.051		C13H30FN10O3PS	456.19447067	0.0001114	3.045		C15H39F3N2O2S2Si2	456.194358208	-1.1E-06	3.045		C13H30ClFN10O3Si	456.19441725	5.79E-05	3.044		C16H27F3N6O6	456.194417244	5.79E-05	3.044		C21H34N2O5P2	456.194295448	-6.39E-05	3.044		C13H42ClN4O3PSSi2	456.194229574	-0.0001297	3.043		C13H32Cl2F2N8O3	456.194248684	-0.0001106	3.04		
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_105.msp	challenge_105	challenge105	0	26	484.216557548	[M+H]+	C28H29N5OS	483.209281548	5E-07	3.382	ChEBI,BLEXP	C22H28F3N5O4	483.209339036	5.79E-05	3.356	COCONUT	C14H46FN3O2S2Si4	483.209254052	-2.7E-05	2.834		C17H42FN3O3S4	483.209304424	2.33E-05	2.834		C22H38FNO4Si3	483.209266506	-1.46E-05	2.834		C13H33N13OS3	483.209315676	3.46E-05	2.833		C14H36F3N7O2S2Si	483.209326582	4.55E-05	2.833		C15H34FN7O6Si2	483.209313088	3.2E-05	2.833		C20H36ClF5NO2P	483.209234802	-4.63E-05	2.833		C11H30F5N11OSi2	483.20934874	6.76E-05	2.832		
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_106.msp	challenge_106	challenge106	0	29	791.261529252	[M+FA-H]-	C33H46O19	746.263329252	2.5E-06	3.309	KNApSAcK,UNPD,COCONUT	C21H50F4N6O12S2Si	746.26335245	2.57E-05	2.89		C24H56F2N2O13S4	746.263330292	3.6E-06	2.89		C25H54N2O17S2Si	746.263316798	-9.9E-06	2.89		C29H51ClN4O12S2	746.263342752	1.6E-05	2.89		C21H60F2N2O12S2Si4	746.26327992	-4.68E-05	2.889		C20H53Cl2FN8O12SSi	746.263400246	7.35E-05	2.887		C23H50ClF3N4O15S	746.26340024	7.35E-05	2.887		C25H51F2N4O13P3	746.263354022	2.73E-05	2.887		C26H55N4O11PSSi3	746.2633458	1.91E-05	2.887		
