File path	File name	Title	MS1 count	MSMS count	PRECURSORMZ	PRECURSORTYPE	Structure rank 1	Total score	Databases	Formula	Ontology	InChIKey	SMILES	Structure rank 2	Total score	Databases	Formula	Ontology	InChIKey	SMILES	Structure rank 3	Total score	Databases	Formula	Ontology	InChIKey	SMILES	Structure rank 4	Total score	Databases	Formula	Ontology	InChIKey	SMILES	Structure rank 5	Total score	Databases	Formula	Ontology	InChIKey	SMILES	Structure rank 6	Total score	Databases	Formula	Ontology	InChIKey	SMILES	Structure rank 7	Total score	Databases	Formula	Ontology	InChIKey	SMILES	Structure rank 8	Total score	Databases	Formula	Ontology	InChIKey	SMILES	Structure rank 9	Total score	Databases	Formula	Ontology	InChIKey	SMILES	Structure rank 10	Total score	Databases	Formula	Ontology	InChIKey	SMILES	
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_0.msp	challenge_0	challenge0	0	15	517.220984796	[M+Cl]-	316452	4.8944	Database ID=316452,NPA=NPA004483,COCONUT=CNP0329260	C25H38O9	Tetracarboxylic acids and derivatives	YCMMTUWPAORXSO-ASVUTRTRSA-N	O=C(OCC1(C)CCCC2(C)C(C(=C)CCC12)COC(C(=O)OC)C(C(=O)OC)CC(=O)O)C	434239	4.8732	Database ID=434239,UNPD=UNPD210774,COCONUT=CNP0167729	C25H38O9	Terpene lactones	UOHRGXJEGZJVRH-UHFFFAOYSA-N	O=C1OC2(C1=C)CC(OC(=O)C(C)CC)C(O)(C(=O)CCC(C)C(OC(=O)CC(C)C)C2O)C	454752	4.8689	Database ID=454752,UNPD=UNPD35439,COCONUT=CNP0216927	C25H38O9	Terpene glycosides	FZWWJIXYNHHIJI-UHFFFAOYSA-N	O=C(O)C(=CC1OCC(=CC1C2=C(C)CCC(OC3OC(CO)C(O)C(O)C3O)C2(C)C)C)C	481730	4.8651	Database ID=481730,UNPD=UNPD82456,COCONUT=CNP0269576	C25H38O9	Germacranolides and derivatives	YRYNHYDOFQYDHO-UHFFFAOYSA-N	O=C1OC2C(OC(=O)C(C)CC)C(O)(C(=O)CCC(C)C(OC(=O)CC(C)C)C(O)C2C1=C)C	386909	4.8374	Database ID=386909,UNPD=UNPD138310;UNPD9518,COCONUT=CNP0383448	C25H38O9	Diterpene glycosides	ZUDBDCBPZHGAEL-UHFFFAOYSA-N	O=C(O)C1CC(OC2OC(CO)C(O)C(O)C2O)CC3(C)C1CCC45CC(C(=C)C4O)CCC35	543569	4.8374	Database ID=543570,UNPD=UNPD138310;UNPD9518,COCONUT=CNP0383448	C25H38O9	Diterpene glycosides	ZUDBDCBPZHGAEL-ICRASABDSA-N	O=C(O)C1CC(OC2OC(CO)C(O)C(O)C2O)CC3(C)C1CCC45CC(C(=C)C4O)CCC35	113143	4.8267	Database ID=113143,HMDB=HMDB0010351,ChEBI=CHEBI:88733,FooDB=FDB027503,BMDB=BMDB10351,LipidMAPS=LMST05010030;LMST05010055,Urine=HMDB0010351,Serum=HMDB0010351,COCONUT=CNP0084771	C25H38O9	Steroid glucuronide conjugates	BRPLOVMHAFXVOQ-HUMIJZDLSA-N	O=C(O)C1OC(OC2CCC3(C)C(CCC4C5CCC(=O)C5(C)CC(O)C43)C2)C(O)C(O)C1O																						
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_1.msp	challenge_1	challenge1	0	23	959.485715528	[M+FA-H]-	464191	6.4963	Database ID=464191,UNPD=UNPD51681,COCONUT=CNP0160650	C46H74O18	Triterpene saponins	YNYCMZUNOUODED-UHFFFAOYSA-N	O=C(O)C12CCC(C)(C)CC2C3=CCC4C5(C)CCC(OC6OC(CO)C(O)C(OC7OCC(O)C(OOC8OCC(O)C(O)C8O)C7O)C6O)C(C)(C)C5CCC4(C)C3(C)CC1O	443074	6.4564	Database ID=443074,UNPD=UNPD22424,COCONUT=CNP0174552	C46H74O18	Triterpene saponins	FRCTVUNACXOQJO-UHFFFAOYSA-N	O=C(O)C12CCC(C)(C)CC2C3=CCC4C5(C)CCC(OC6(OC(CO)C(O)C(O)C6O)C7(OCC(O)C(O)C7O)C8OC(CO)C(O)C8O)C(C)(C)C5CCC4(C)C3(C)C(O)C1O	366086	6.4421	Database ID=366086,KNApSAcK=C00032971,UNPD=UNPD111944;UNPD55734,COCONUT=CNP0244178	C46H74O18	Triterpenoids	LUXWHJFRMMPTNB-UHFFFAOYSA-N	O=C(O)C12CCC(O)(C)CC2C3=CCC4C5(C)CCC(O)C(C)(COC6OC(CO)C(O)C(OC7OCC(O)C(O)C7O)C6OC8OC(C)C(O)C(O)C8O)C5CCC4(C)C3(C)CC1	362723	6.4358	Database ID=362723,UNPD=UNPD107880;UNPD30135;UNPD227625,COCONUT=CNP0233784	C46H74O18	Steroidal saponins	NVUZRGZISKJWEE-UHFFFAOYSA-N	OCC1OC(OC2C(O)C(OC3OC(C)C(O)C(O)C3O)C(OC4CC5=CCC6C(CCC7(C)C6CC8OC9(OC(OC)C(C)CC9)C(C)C87)C5(C)CC4)OC2CO)C(O)C(O)C1O	374816	6.4186	Database ID=374816,UNPD=UNPD122799;UNPD191263,COCONUT=CNP0205708	C46H74O18	Steroidal saponins	XHFVYNXQHCBWGA-UHFFFAOYSA-N	OCC1OC(OCC2OC(OC3CC4=CCC5C(CCC6(C)C5CC7OC8(OC(OC)C(C)CC8)C(C)C76)C4(C)CC3)C(OC9OC(C)C(O)C(O)C9O)C(O)C2O)C(O)C(O)C1O	437637	6.4127	Database ID=437637,UNPD=UNPD215785,COCONUT=CNP0388721	C46H74O18	Triterpenoids	GSZLUEQWCUVBFT-UHFFFAOYSA-N	O=C(CC)C1OC2(CCC3(C4=C(CCC32C)C5(C)CCC(OC6OC(COC7OCC(O)C(O)C7OC8OC(CO)C(O)C(O)C8O)C(O)C(O)C6O)C(C)(CO)C5CC4)C)C(C)C1	420630	6.3731	Database ID=420630,UNPD=UNPD185715,COCONUT=CNP0156461	C46H74O18	Triterpenoids	HJZANVITQIWUMZ-UHFFFAOYSA-N	O=CC12CCC(OC3OCC(O)C(OC4OCC(O)C(O)C4O)C3OC5OC(C)C(O)C(O)C5O)C(C)(C)C2CCC6(C)C1CCC7C(CCC76C)C8(O)CC(OC8O)C=C(C)CO	421061	6.3416	Database ID=421061,KNApSAcK=C00034038,UNPD=UNPD186356,COCONUT=CNP0145186	C46H74O18	Steroidal saponins	WLVZTRYJBHPIOC-UHFFFAOYSA-N	OCC1OC(OC2CC3=CCC4C(CC(O)C5(C)C4CC6OC7(OC(OC)C(C)CC7)C(C)C65)C3(C)CC2)C(OC8OC(C)C(O)C(O)C8O)C(O)C1OC9OC(C)C(O)C(O)C9O	477317	6.2825	Database ID=477317,UNPD=UNPD7416,COCONUT=CNP0164825	C46H74O18	Steroidal saponins	KNFFNNXVQUAVOB-UHFFFAOYSA-N	OCC1OC(OC2CC3=CCC4C(CCC5(C)C4CC6OC7(OC(OC)C(C)CC7)C(C)C65O)C3(C)CC2)C(OC8OC(C)C(O)C(O)C8O)C(O)C1OC9OC(C)C(O)C(O)C9O	450935	6.218	Database ID=450935,KNApSAcK=C00048420,UNPD=UNPD2918,COCONUT=CNP0290153	C46H74O18	O-glycosyl compounds	DKFHSGBKZJIVMD-UHFFFAOYSA-N	O=CC1C2C(CCC3(C)C(CCC23O)C(OC4OC(CO)C(O)C(O)C4O)C)C5(C)CCC(OC6OC(C)C(OC7OC(C)C(OC(=O)C(=CC)C)C(OC)C7O)C(OC)C6)CC15O	
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_10.msp	challenge_10	challenge10	0	44	657.313019608	[M+H]+	341954	6.1843	Database ID=341954	C33H44N4O10		AUAUQABOROTJFK-TUXWIUFQSA-N	O=C1OC(CC=CNC(=O)C=CC=NOC)CC(OC(=O)C(NC(=O)CCC)CCCCN)C2OC2C(O)C=CC=3C=CC=C(O)C13	83208	5.6271	Database ID=83208,HMDB=HMDB0034433,ChEBI=CHEBI:32097,FooDB=FDB012834,UNPD=UNPD65213,BLEXP=BLEXPDB00000005065,COCONUT=CNP0307739	C33H44N4O10	Flavins	MJNIWUJSIGSWKK-UHFFFAOYSA-N	O=C1N=C2C(=NC=3C=C(C(=CC3N2CC(OC(=O)CCC)C(OC(=O)CCC)C(OC(=O)CCC)COC(=O)CCC)C)C)C(=O)N1	97670	5.6271	Database ID=97670,HMDB=HMDB0034433,ChEBI=CHEBI:32097,FooDB=FDB012834,UNPD=UNPD65213,BLEXP=BLEXPDB00000005065,COCONUT=CNP0307739	C33H44N4O10	Flavins	MJNIWUJSIGSWKK-BBANNHEPSA-N	O=C1N=C2C(=NC=3C=C(C(=CC3N2CC(OC(=O)CCC)C(OC(=O)CCC)C(OC(=O)CCC)COC(=O)CCC)C)C)C(=O)N1																																																		
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_100.msp	challenge_100	challenge100	0	37	542.165691588	[M+NH4]+	507774	6.8426	Database ID=507774,STOFF=STOFF_9276	C27H24O11	Chromones	KRBBSLDXYDBFEC-UHFFFAOYSA-N	O=C(OCC)C=1OC2=CC=CC(OCC(O)COC=3C=CC=C4OC(=CC(=O)C43)C(=O)OCC)=C2C(=O)C1	442761	6.531	Database ID=442761,UNPD=UNPD223798,COCONUT=CNP0148825	C27H24O11	2-arylbenzofuran flavonoids	RGVSHHMDILJLSD-UHFFFAOYSA-N	O=C(OCC1C2=CC(=CC(O)=C2OC1C3=CC=C(O)C(OC)=C3)C4OC=5C=C(O)C=C(O)C5C(=O)C4O)C	543501	6.4373	Database ID=543502	C27H24O11		ZPUVNNIJVVEZBH-JRHCTSELSA-N	O=C(OCC1OC(OC2=CC=CC=3C=C4C(C(=O)OC4)=C(O)C23)C(O)C(O)C1O)C=CC5=CC=C(O)C=C5	436170	6.4101	Database ID=436170,UNPD=UNPD213531,COCONUT=CNP0192128	C27H24O11	Cyclohexylphenols	LNXJXQDPMLEIJY-UHFFFAOYSA-N	O=C(OC(C(=O)O)CC1=CC=C(O)C(O)=C1)C=CC2=CC3C(O)C4OC(=O)C(C24)C3C5=CC=C(O)C(O)=C5	420701	6.2897	Database ID=420701,UNPD=UNPD185820;UNPD191077,COCONUT=CNP0270917	C27H24O11	Phenylpropanoic acids	NTYSTUMCDPMURM-UHFFFAOYSA-N	O=C(O)C(OC(=O)C1C(C2=CC=C(O)C=C2)C(C(=O)O)C1C3=CC=C(O)C(O)=C3)CC4=CC=C(O)C(O)=C4	381592	6.2034	Database ID=381592,UNPD=UNPD131403,COCONUT=CNP0199123	C27H24O11	Flavonolignans	KIEFQALNZCXSHH-UHFFFAOYSA-N	O=C1C=C(OC=2C=C(O)C=C(O)C12)C=3C=C(OC)C=4OC(CO)C(OC4C3)C5=CC(OC)=C(O)C(OC)=C5	409432	6.1136	Database ID=409432,KNApSAcK=C00037486;C00037487,UNPD=UNPD169269;UNPD179720;UNPD30516;UNPD59034,COCONUT=CNP0163671	C27H24O11	Anthracenes	DPNMTGCWLLQQIW-UHFFFAOYSA-N	O=C(OC1OC(C(O)C(O)C1O)C2(O)C=3C=C(O)C=C(O)C3C(=O)C4=C(O)C=C(C=C42)C)C=5C=CC=CC5	362695	6.0969	Database ID=362695,UNPD=UNPD107848;UNPD144129,COCONUT=CNP0233665	C27H24O11	Anthracenes	WVWKIPOZHVGDJJ-UHFFFAOYSA-N	O=C(OC1OC(OC2C=3C=C(O)C=C(O)C3C(=O)C4=C(O)C=C(C=C42)C)C(O)C(O)C1O)C=5C=CC=CC5	449334	6.0908	Database ID=449334,UNPD=UNPD26582,COCONUT=CNP0114077	C27H24O11	Lignan glycosides	ZXQBXVCLILMITL-UHFFFAOYSA-N	O=C1OCC=2C(OC3OCC(OC)C(OC)C3O)=C4C=C5OCOC5=CC4=C(C=6C=CC=7OCOC7C6)C12								
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_101.msp	challenge_101	challenge101	0	37	327.030871668	[M-H]-	326341	6.4256	Database ID=326341,UNPD=UNPD61206,NPA=NPA015191,COCONUT=CNP0304483	C14H14Cl2N2O3	Alpha amino acids and derivatives	QLJFYTMVYIVQDQ-GHMZBOCLSA-N	O=C1NC(C(=O)N2CCCC12)CC3=CC(Cl)=C(O)C(Cl)=C3	469862	6.4256	Database ID=469862,UNPD=UNPD61206,NPA=NPA015191,COCONUT=CNP0304483	C14H14Cl2N2O3	Alpha amino acids and derivatives	QLJFYTMVYIVQDQ-UHFFFAOYSA-N	O=C1NC(C(=O)N2CCCC12)CC3=CC(Cl)=C(O)C(Cl)=C3	542095	6.4132	Database ID=542096	C14H14Cl2N2O3		AEFDYPFFZOCXNS-KMKOMSMNSA-N	O=C1C(=CC)NC(=O)C(N1C)CC2=CC(Cl)=C(O)C(Cl)=C2																																																		
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_102.msp	challenge_102	challenge102	0	73	401.124191664	[M-H]-	438912	6.3978	Database ID=438912,UNPD=UNPD217759,COCONUT=CNP0165407	C21H22O8	Flavonoid 8-C-glycosides	WOMZOYUDQLPFHG-UHFFFAOYSA-N	O=C1C2=CC=C(O)C(=C2OC(C=3C=CC=CC3)C1)C4OC(CO)C(O)C(O)C4O	499462	6.3816	Database ID=499462,KNApSAcK=C00008138,LipidMAPS=LMPK12140138,COCONUT=CNP0359149	C21H22O8	Flavonoid-7-O-glycosides	CQMSSODSJYBGIQ-UHFFFAOYSA-N	O=C1C2=C(O)C=C(OC3OC(C)C(O)C(O)C3O)C=C2OC(C=4C=CC=CC4)C1	349862	6.3737	Database ID=349862,COCONUT=CNP0158621	C21H22O8	Flavonoid O-glycosides	SYDNPHFWTKACIZ-UHFFFAOYSA-N	O=C(C=CC=1C=CC=CC1)C2=CC=C(OC3OC(CO)C(O)C(O)C3O)C=C2O	6145	6.3284	Database ID=6145,KNApSAcK=C00014303,ChEBI=CHEBI:27590,LipidMAPS=LMPK12140006,COCONUT=CNP0142999	C21H22O8	Flavonoid-7-O-glycosides	HPMCYOSTTZQBAP-UZQFATADSA-N	O=C1C2=CC=C(OC3OC(CO)C(O)C(O)C3O)C=C2OC(C=4C=CC=CC4)C1	522855	6.3284	Database ID=522855,KNApSAcK=C00014303,ChEBI=CHEBI:27590,LipidMAPS=LMPK12140006,COCONUT=CNP0142999	C21H22O8	Flavonoid-7-O-glycosides	HPMCYOSTTZQBAP-ZRWXNEIDSA-N	O=C1C2=CC=C(OC3OC(CO)C(O)C(O)C3O)C=C2OC(C=4C=CC=CC4)C1	489886	6.3128	Database ID=489886,UNPD=UNPD97285,COCONUT=CNP0332090	C21H22O8	Phenolic glycosides	MCHGHPIHLAZAFH-UHFFFAOYSA-N	OC1=CC=C(C=C1)CC=2OC3=C(C=CC(O)=C3C4OC(CO)C(O)C(O)C4O)C2	361709	6.2988	Database ID=361709,KNApSAcK=C00007183,LipidMAPS=LMPK12120190,UNPD=UNPD106658;UNPD152211;UNPD208080;UNPD226329,COCONUT=CNP0269475	C21H22O8	Flavonoid O-glycosides	HKSOEGFPZGFKTM-UHFFFAOYSA-N	O=C(C=CC1=CC=C(OC2OC(CO)C(O)C(O)C2O)C=C1)C=3C=CC=CC3O	349054	6.2875	Database ID=349054,KNApSAcK=C00014303,ChEBI=CHEBI:27590,LipidMAPS=LMPK12140006,COCONUT=CNP0142999	C21H22O8	Flavonoid-7-O-glycosides	HPMCYOSTTZQBAP-UHFFFAOYSA-N	O=C1C2=CC=C(OC3OC(CO)C(O)C(O)C3O)C=C2OC(C=4C=CC=CC4)C1	308623	6.2831	Database ID=308623,NANPDB=NANPDB_2307,COCONUT=CNP0075291	C21H22O8	1-benzopyrans	YDVUPJQQUBNDSO-OOFUGKDGSA-N	OCC1OC(OOC2C=C(OC=3C=CC=CC32)C=4C=CC=CC4)C(O)C(O)C1O	322280	6.2734	Database ID=322280,NPA=NPA010812,COCONUT=CNP0207379	C21H22O8	p-Hydroxybenzoic acid esters	VOISZAZWZMMJKL-UHFFFAOYSA-N	O=C(O)C1=C2OC(CC2=C(OC(=O)C=3C(O)=CC(O)=CC3C)C=C1C)C(O)(C)C	
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_103.msp	challenge_103	challenge103	0	43	110.060039844	[M+H]+	509363	7.173	Database ID=509363,STOFF=STOFF_9817	C6H7NO	Pyrrolidine-2-ones	DDUFYKNOXPZZIW-UHNVWZDZSA-N	O=C1NC2C=CC1C2	16142	6.9926	Database ID=16142,ChEBI=CHEBI:46765,BLEXP=BLEXPDB00013293131	C6H7NO	Carbapenems	YZBQHRLRFGPBSL-RXMQYKEDSA-N	O=C1N2C=CCC2C1	58711	6.9926	Database ID=58711,ChEBI=CHEBI:46765,BLEXP=BLEXPDB00013293131	C6H7NO	Carbapenems	YZBQHRLRFGPBSL-UHFFFAOYSA-N	O=C1N2C=CCC2C1	27090	6.7595	Database ID=27090,ChEBI=CHEBI:71188	C6H7NO	Cyclic ketones	RJDDBRGASHENKL-UHFFFAOYSA-N	N#CC1CC(=O)CC1	395088	6.7445	Database ID=395088,UNPD=UNPD149241,COCONUT=CNP0263778	C6H7NO	Aryl-aldehydes	LFWLUDLUCDRDAF-UHFFFAOYSA-N	O=CC1=CC=C(N1)C	323224	6.7257	Database ID=323224,KNApSAcK=C00036576,UNPD=UNPD6639,NPA=NPA011826,COCONUT=CNP0308761	C6H7NO	Methylpyridines	KZDSIZCJICMHJW-UHFFFAOYSA-N	O=C1C=CNC(=C1)C	107792	6.7063	Database ID=107792,HMDB=HMDB0040582,FooDB=FDB020364,UNPD=UNPD94513,COCONUT=CNP0330162	C6H7NO	Aryl-aldehydes	OUKQTRFCDKSEPL-UHFFFAOYSA-N	O=CC1=CC=CN1C	87709	6.6937	Database ID=87709,BLEXP=BLEXPDB00000012755	C6H7NO	Pyridinones	DVVGIUUJYPYENY-UHFFFAOYSA-N	O=C1C=CC=CN1C	341634	6.5153	Database ID=341634,UNPD=UNPD61677,COCONUT=CNP0418507	C6H7NO	Methylpyridines	AQSRRZGQRFFFGS-UHFFFAOYSA-N	OC1=CC=CN=C1C	428261	6.5153	Database ID=428261,UNPD=UNPD197267,COCONUT=CNP0135310	C6H7NO	Methylpyridines	RYJNCIGFPWGVPA-UHFFFAOYSA-N	OC1=CN=CC(=C1)C	
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_104.msp	challenge_104	challenge104	0	119	457.201635756	[M+H]+	8855	6.2814	Database ID=8855,HMDB=HMDB0014843,ChEBI=CHEBI:119573,DrugBank=DB00705,SMPDB=PW_C009180,Urine=HMDB0014843,Serum=HMDB0014843,UNPD=UNPD152283,BLEXP=BLEXPDB00000005625,COCONUT=CNP0240856	C22H28N6O3S	Pyridinylpiperazines	WHBIGIKBNXZKFE-UHFFFAOYSA-N	O=C(C1=CC=2C=C(C=CC2N1)NS(=O)(=O)C)N3CCN(C4=NC=CC=C4NC(C)C)CC3																																																																
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_105.msp	challenge_105	challenge105	0	26	484.216557548	[M+H]+	82059	5.7349	Database ID=82059,ChEBI=CHEBI:92257,BLEXP=BLEXPDB00009549298	C28H29N5OS	1-benzoylpiperidines	BWZJBXAPRCVCKQ-UHFFFAOYSA-N	O=C(C1=CC=C(C=C1)NC2=NC=CC(=N2)C=3SC=4C=CC=CC4C3)N5CCC(N6CCCC6)CC5																																																																
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_106.msp	challenge_106	challenge106	0	29	791.261529252	[M+FA-H]-	375592	5.9196	Database ID=375592,KNApSAcK=C00010743,UNPD=UNPD123767;UNPD131276,COCONUT=CNP0189580	C33H46O19	Iridoid O-glycosides	GXXXVFMBJGIYPK-UHFFFAOYSA-N	O=CCC1C(=COC(OC2OC(CO)C(O)C(O)C2O)C1C=C)C(=O)OC3CC4C(=COC(OC5OC(CO)C(O)C(O)C5O)C4C3C)C(=O)OC	543508	5.9196	Database ID=543509,KNApSAcK=C00010743,UNPD=UNPD123767;UNPD131276,COCONUT=CNP0189580	C33H46O19	Iridoid O-glycosides	GXXXVFMBJGIYPK-RXSNYNEVSA-N	O=CCC1C(=COC(OC2OC(CO)C(O)C(O)C2O)C1C=C)C(=O)OC3CC4C(=COC(OC5OC(CO)C(O)C(O)C5O)C4C3C)C(=O)OC	436794	5.9165	Database ID=436794,UNPD=UNPD214699,COCONUT=CNP0153869	C33H46O19	Iridoid O-glycosides	YRWWVEOUNQSUSZ-UHFFFAOYSA-N	O=C(OC)C1=COC(OC2OC(CO)C(O)C(O)C2O)C(C=C)C1CCOC(=O)C3=COC(OC4OC(CO)C(O)C(O)C4O)C5C(C(=O)CC35)C	395420	5.832	Database ID=395420,UNPD=UNPD149702,COCONUT=CNP0334847	C33H46O19	O-glycosyl compounds	QMDDOXYGVQQWAK-UHFFFAOYSA-N	O=CCC1C2=COC(OC3OC(CO)C(O)C(O)C3O)C1C(OC=C(C(=O)OC)C4CC(OC2=O)C(C)C4C=C)OC5OC(CO)C(O)C(O)C5O	381542	5.8061	Database ID=381542,UNPD=UNPD131345;UNPD159623,COCONUT=CNP0271545	C33H46O19	Iridoid O-glycosides	MMDKMJKYTLBHIS-UHFFFAOYSA-N	O=C(OC)C1=COC(OC2OC(COC3OC(=O)C4=COC(OC5OC(CO)C(O)C(O)C5O)C(C=C)C4C3)C(O)C(O)C2O)C6C1CC(O)C6C	470814	5.7977	Database ID=470814,UNPD=UNPD62896,COCONUT=CNP0297906	C33H46O19	Fatty acyl glycosides of mono- and disaccharides	XQMUICMLSDHQEH-UHFFFAOYSA-N	O=C(OC1CC2(OCC1C)OC3CC(C(=O)OC4OC(CO)C(O)C(O)C4OC5OC(CO)C(O)C(O)C5O)CC(O)C3(O)C2O)C=6C=CC=CC6																													
