,Challenge,True Inchikey2D,SIRIUS Ranking,MSFinder Ranking,DeepMASS Ranking,DeepMASS Ranking (Public),MetFrag Ranking,CFM-ID Ranking,SMILES
0,challenge_0,ZUDBDCBPZHGAEL,inf,5.0,2.0,2.0,4.0,3.0,CC12CC(CC(C1CCC34C2CCC(C3)C(=C)C4O)C(=O)O)OC5C(C(C(C(O5)CO)O)O)O
1,challenge_1,ZKCHQVRAXCCTLE,inf,inf,inf,inf,inf,inf,CC1(C2CCC3(C(C2(CCC1OC4C(C(C(CO4)OC5C(C(C(C(O5)CO)O)O)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)CC=C7C3(CCC8(C7CC(CC8)(C)O)C(=O)O)C)C)C
2,challenge_2,UYALDZZEAZIEME,2.0,2.0,2.0,2.0,2.0,1.0,CC1C(C(C(C(O1)OC2=C(OC3=C(C(=CC(=C3C2=O)O)O)CC=C(C)C)C4=CC=C(C=C4)OC)O)OC5C(C(C(C(O5)CO)O)O)O)OC(=O)C
3,challenge_3,IFQVIMQHTPDZQU,inf,inf,inf,inf,inf,inf,CC(C)CC(C(=O)O)NC(=O)C(C(C)C)OC(=O)C(C(C)C)NC(=O)C(CC(C)C)O
4,challenge_4,XPXRFYSHQGUVFK,41.0,2.0,1.0,1.0,8.0,62.0,CC1CC2(C(C1O)C=C(C(CC3C(C3(C)C)C=C(C2=O)C)OC(=O)CCC(=O)O)C)OC(=O)C
5,challenge_5,XPCKJVBBSBPFQL,1.0,,4.0,4.0,1.0,2.0,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OCC3C(C(C(C(O3)OC(=O)C45CCC(=C)CC4C6=CCC7C8(CCC(C(C8CCC7(C6(CC5)C)C)(C)C)OC9C(C(C(CO9)O)O)O)C)O)O)O)COC(=O)C)O)O)O
6,challenge_6,LYKXPTCUGPKDQL,9.0,inf,6.0,11.0,16.0,16.0,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=CC4=C3C(=O)C=C(O4)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O
7,challenge_7,RZCUHAHZISRSJD,11.0,inf,4.0,2.0,3.0,1.0,CCCCCCCCCC(=O)OC(C(C(C)C)OC(=O)C(C)C)C(=O)O
8,challenge_8,WKEMJKQOLOHJLZ,1.0,1.0,1.0,1.0,1.0,1.0,CN(C)CCC1=CNC2=C1C=C(C=C2)CS(=O)(=O)N3CCCC3
9,challenge_9,YBSJFWOBGCMAKL,1.0,1.0,1.0,1.0,1.0,1.0,CN1C2=C(C=C(C=C2)C(=O)N(CCC(=O)O)C3=CC=CC=N3)N=C1CNC4=CC=C(C=C4)C(=N)N
10,challenge_10,MJNIWUJSIGSWKK,1.0,2.0,1.0,1.0,2.0,1.0,CCCC(=O)OCC(C(C(CN1C2=C(C=C(C(=C2)C)C)N=C3C1=NC(=O)NC3=O)OC(=O)CCC)OC(=O)CCC)OC(=O)CCC
11,challenge_11,SIVYRLBDAPKADZ,inf,4.0,6.0,1.0,5.0,5.0,CC1=CC=C(C2=CC=CC=C12)C(=O)O
12,challenge_12,FTUCJLKRCLNNPB,inf,inf,26.0,25.0,20.0,20.0,CC1CC(OC2(C1C3(CCC45CC46CCC(C(C6CC=C5C3(C2O)C)(C)C)OC7C(C(C(CO7)O)O)O)C)O)C(C(C)(C)O)OC(=O)C
13,challenge_13,WNRDHIDWADTLIO,inf,9.0,2.0,2.0,44.0,9.0,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)C)O)O)C)C)C2C1)C)C(=O)OC6C(C(C(C(O6)CO)O)O)O)C
14,challenge_14,FYGSMJAMPMZYFS,4.0,inf,6.0,7.0,31.0,26.0,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)C(=O)O)O)O)C)C)C2C1(C)O)C)C(=O)O
15,challenge_15,QMMMQWRPZIJGPT,27.0,5.0,63.0,71.0,3.0,19.0,CCC1(C(=O)C=CC2=C1OC(=C(C2=O)C)C)C
16,challenge_16,SFLNQLHULUYBES,inf,4.0,1.0,1.0,4.0,4.0,CC1(CCC2C3(CCCC(C3CC(C2(C1)O)O)(C)C(=O)O)C)C(COC4C(C(C(C(O4)CO)O)O)O)O
17,challenge_17,BQIUFGZODBARSL,inf,inf,1.0,1.0,inf,inf,CCCCCC(CC(CC(=O)OC(CCCCC)CC(CC(=O)OC(CCCCC)CC(CC(=O)O)OC1C(C(C(C(O1)CO)O)O)O)OC2C(C(C(C(O2)CO)O)O)O)O)O
18,challenge_18,CGWRDLSMEFSEDN,4.0,inf,12.0,14.0,5.0,12.0,COC1=CC(=C(C=C1)CCC(=O)O)O
19,challenge_19,SRPODRMTMBGGLK,inf,inf,inf,inf,inf,inf,CC1C(C(C(C(O1)OC2=C(OC3=C(C(=CC(=C3C2=O)O)O)CC(C(=C)C)O)C4=CC=C(C=C4)OC)O)O)O
20,challenge_20,VCSUYXUJFRFUEL,10.0,9.0,4.0,10.0,2.0,2.0,CC1=C(C=C(C=C1)C2(C3=CC=CC=C3C(=O)O2)C4=CC(=C(C=C4)C)O)O
21,challenge_21,YDBLKRPLXZNVNB,1.0,1.0,1.0,1.0,1.0,1.0,CC1=C(C=CC(=C1)SCC2=C(N=C(S2)C3=CC=C(C=C3)C(F)(F)F)C)OCC(=O)O
22,challenge_22,MJEXYQIZUOHDGY,1.0,6.0,2.0,1.0,1.0,2.0,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CC)OCC)C
