structureRankPerFormula	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.30607804704354613	-31.26533149720376	C7H6N2	[M + H]+	BAXOFTOLAUCFNW	InChI=1S/C7H6N2/c1-2-4-7-6(3-1)5-8-9-7/h1-5H,(H,8,9)	1H-indazol	C1=CC=C2C(=C1)C=NN2	1.36850166	9221;3942608;60132194;60132207;69068768;138396105	NORMAN:(NS00010847);database;PubChem:(9221 3942608 60132194 60132207 69068768 138396105);CHEBI:(36670 36669);additional;PubChem class - bio and metabolites;PubChem class - safety and toxic;PubMed	68804149346
2	1	N/A	-49.38144084305545	C7H6N2	[M + H]+	HYZJCKYKOHLVJF	InChI=1S/C7H6N2/c1-2-4-7-6(3-1)8-5-9-7/h1-5H,(H,8,9)	Azindole	C1=CC=C2C(=C1)NC=N2	1.30205441	5798;4569300;4199975;12200795;59638555;69324016;77639617;71493429;91171091;91215394;91869228;123473559;136601864;136657916;138396191	ZINC bio:(ZINC00331902);additional;HSDB:(51-17-2);MeSH:(5798);Plantcyc:(BENZIMIDAZOLE);PubMed;NORMAN:(NS00010836);COCONUT:(CNP0021225);database;PubChem:(5798 4569300 4199975 12200795 59638555 69324016 77639617 71493429 91171091 91215394 91869228 123473559 136601864 136657916 138396191);CHEBI:(41275);PubChem class - bio and metabolites;KEGG:(C02009);PubChem class - safety and toxic;PubChem class - drug;Biocyc:(BENZIMIDAZOLE)	68839943014
3	1	N/A	-53.28951566903431	C7H6N2	[M + H]+	XWIYUCRMWCHYJR	InChI=1S/C7H6N2/c1-2-6-7(8-4-1)3-5-9-6/h1-5,9H	zlchem 17	C1=CC2=C(C=CN2)N=C1	1.10000002	9226;135069018	MeSH:(9226);database;PubChem class - safety and toxic;PubChem:(9226 135069018);PubMed;PubChem class - bio and metabolites	68803362886
4	1	N/A	-55.44251169132899	C7H6N2	[M + H]+	QSLLFYVBWXWUQT	InChI=1S/C7H6N2/c1-2-7-6-8-3-5-9(7)4-1/h1-6H	Pyrrolo[1,2-a]pyrazine	C1=CN2C=CN=CC2=C1	1.39999998	11018843;20395616	COCONUT:(CNP0287056);HMDB:(33576);Natural Products:(UNPD16677);database;PubChem:(11018843 20395616);PubChem class - bio and metabolites;PubMed	68738383946
5	1	N/A	-63.6305019465908	C7H6N2	[M + H]+	MVXVYAKCVDQRLW	InChI=1S/C7H6N2/c1-2-6-3-5-9-7(6)8-4-1/h1-5H,(H,8,9)	zlchem 221	C1=CC2=C(NC=C2)N=C1	1.15479493	9222;4519051;5256681;57636735;71309729;71309864;87157794;89280775;102212004;100914890;100914891;123450287	NORMAN:(NS00028264);COCONUT:(CNP0134937);Natural Products:(UNPD46390);database;PubChem:(9222 4519051 5256681 57636735 71309729 71309864 87157794 89280775 102212004 100914890 100914891 123450287);additional;PubChem class - bio and metabolites;MeSH:(9222);PubChem class - safety and toxic;PubMed	68806279238
6	1	N/A	-63.92848743260776	C7H6N2	[M + H]+	SRSKXJVMVSSSHB	InChI=1S/C7H6N2/c1-4-9-7-2-3-8-5-6(1)7/h1-5,9H	5-azindole	C1=CNC2=C1C=NC=C2	1.0	9220;59374862;135062925	MeSH:(9220);database;PubChem class - safety and toxic;PubChem:(9220 59374862 135062925);PubMed	68786585670
7	1	N/A	-65.76303371539838	C7H6N2	[M + H]+	DVUBDHRTVYLIPA	InChI=1S/C7H6N2/c1-2-6-9-7(3-1)4-5-8-9/h1-6H	3-Azaindoline	C1=CC2=CC=NN2C=C1	1.10000002	67507;20395620	MeSH:(67507);database;PubChem:(67507 20395620);PubMed	68719476806
8	1	N/A	-69.04146911232596	C7H6N2	[M + H]+	JMANUKZDKDKBJP	InChI=1S/C7H6N2/c1-2-4-9-6-8-5-7(9)3-1/h1-6H	2,4-Diazaindene	C1=CC2=CN=CN2C=C1	1.79999995	274090;20076615	MeSH:(274090);database;PubChem class - safety and toxic;Training Set;PubChem:(274090 20076615);PubMed	68786602054
9	1	N/A	-71.60803657979774	C7H6N2	[M + H]+	JBDKAABFESSFMV	InChI=1S/C7H6N2/c1-3-7-8-4-2-6-9(7)5-1/h1-6H	Pyrrolo[1,2-a]pyrimidine	C1=CN2C=CC=NC2=C1	1.79999995	12365414;89858789	PubChem:(12365414 89858789);PubMed;database	68719476802
10	1	N/A	-81.39366702311598	C7H6N2	[M + H]+	UTCSSFWDNNEEBH	InChI=1S/C7H6N2/c1-2-5-9-6-4-8-7(9)3-1/h1-6H	Imidazo(1,2-a)pyridine	C1=CC2=NC=CN2C=C1	1.79999995	78960;444231;135052261	database;PubChem:(78960 444231 135052261);ZINC bio:(ZINC00409233);PubChem class - bio and metabolites;MeSH:(78960);PubChem class - safety and toxic;PubMed	68803371078
11	1	N/A	-109.45385875979738	C7H6N2	[M + H]+	RNVGIKWJGFOBOF	InChI=1S/C7H6N2/c1-2-6-7(3-1)9-5-4-8-6/h1-2,4-5H,3H2	null	C1C=CC2=NC=CN=C21	0.600000024	12306192	COCONUT:(CNP0002558);HMDB:(40040);database;PubChem:(12306192);PubChem class - bio and metabolites	68738351114
12	1	N/A	-118.17791253472224	C7H6N2	[M + H]+	KQRBOLDPRPDVIM	InChI=1S/C7H6N2/c1-2-4-7-8-5-3-6-9-7/h3,5-6H,1H3	2-prop-1-ynylpyrimidine	CC#CC1=NC=CC=N1	1.0	22027559	PubChem:(22027559);database	68719476738
13	1	N/A	-130.9182677321056	C7H6N2	[M + H]+	YBAZINRZQSAIAY	InChI=1S/C7H6N2/c8-5-6-1-3-7(9)4-2-6/h1-4H,9H2	zlchem 263	C1=CC(=CC=C1C#N)N	0.995834947	13396;4868244;10080388;57661762;57661769;76973044;101283419;101937255;102413013	NORMAN:(NS00022855);COCONUT:(CNP0174653);Natural Products:(UNPD131415);database;PubChem:(13396 4868244 10080388 57661762 57661769 76973044 101283419 101937255 102413013);ZINC bio:(ZINC00152697);MeSH:(13396);PubChem class - safety and toxic;PubMed	68788985926
14	1	N/A	-134.62958599608893	C7H6N2	[M + H]+	LIEQVZZZYLHNRH	InChI=1S/C7H6N2/c1-6-2-3-7(4-8)9-5-6/h2-3,5H,1H3	5-methylpicolinonitrile	CC1=CN=C(C=C1)C#N	1.25433958	74183;59374874	NORMAN:(NS00025294);database;PubChem class - safety and toxic;PubChem:(74183 59374874);KEGG Mine	77376782338
15	1	N/A	-135.3327584959254	C7H6N2	[M + H]+	UKVQBONVSSLJBB	InChI=1S/C7H6N2/c8-5-4-7-3-1-2-6-9-7/h1-3,6H,4H2	zlchem 419	C1=CC=NC(=C1)CC#N	1.27500093	75959;101515698	NORMAN:(NS00028295);database;PubChem class - safety and toxic;PubChem:(75959 101515698);PubMed	68786847810
16	1	N/A	-144.26440952488272	C7H6N2	[M + H]+	CMADFEQMYFNYCF	InChI=1S/C7H6N2/c1-6-3-2-4-7(5-8)9-6/h2-4H,1H3	6-Methylpicolinonitrile	CC1=NC(=CC=C1)C#N	1.40159905	74182;87995529	NORMAN:(NS00025293);COCONUT:(CNP0366489);database;PubChem:(74182 87995529);ZINC bio:(ZINC00335261);PubChem class - safety and toxic;KEGG Mine	77378887682
17	1	N/A	-151.63064850708062	C7H6N2	[M + H]+	HLCPWBZNUKCSBN	InChI=1S/C7H6N2/c8-5-6-3-1-2-4-7(6)9/h1-4H,9H2	2-Cyanoaniline	C1=CC=C(C(=C1)C#N)N	0.995834947	72913;10080393;89280769;102301696;133553943	NORMAN:(NS00020600);MeSH:(72913);database;PubChem class - safety and toxic;PubChem:(72913 10080393 89280769 102301696 133553943);PubMed	68786847814
18	1	N/A	-160.79648781376522	C7H6N2	[M + H]+	NLMVLMCSXDIGSW	InChI=1S/C7H6N2/c1-2-4-7-6(3-1)8-5-9-7/h1-4H,5H2	2H-benzimidazole	C1N=C2C=CC=CC2=N1	0.200000003	9548684	database;PubChem:(9548684);PubMed;CHEBI:(36639)	68719476834
19	1	N/A	-182.3911206243018	C7H6N2	[M + H]+	JLXXLCJERIYMQG	InChI=1S/C7H6N2/c8-6-9-7-4-2-1-3-5-7/h1-5,9H	Phenylcyanamide	C1=CC=C(C=C1)NC#N	1.63890672	69318	NORMAN:(NS00034969);database;PubChem:(69318);PubMed	68719738946
20	1	N/A	-223.20209226199975	C7H6N2	[M + H]+	VRKAZVNMMPXRKG	InChI=1S/C7H6N2/c1-2-4-7-6(3-1)8-5-9-7/h1-6H	3aH-benzimidazole	C1=CC2C(=NC=N2)C=C1	0.899999976	9548683	PubChem:(9548683);CHEBI:(36641);database	68719476770
21	1	N/A	-240.64447002805557	C7H6N2	[M + H]+	VSTRESXSGAUGKC	InChI=1S/C7H6N2/c1-2-4-7-6(3-1)8-5-9-7/h1-3,5H,4H2	4H-benzimidazole	C1C=CC=C2C1=NC=N2	0.800000012	9548686	PubChem:(9548686);CHEBI:(36623);database	68719476770
