confidenceRank	structurePerIdRank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id	featureId
1	1	1	1	1	0.9938821504598689	-44.754886348661145	N/A	32.32182212632381	C14H17NO2	[M + H]+	AFYCEAFSNDLKSX	InChI=1S/C14H17NO2/c1-4-15(5-2)11-6-7-12-10(3)8-14(16)17-13(12)9-11/h6-9H,4-5H2,1-3H3	Hakkol P	CCN(CC)C1=CC2=C(C=C1)C(=CC(=O)O2)C	3.23984027	7050;100957318;122130415	NORMAN:(NS00009481);database;PubChem:(7050 100957318 122130415);CHEBI:(51938);additional;PubChem class - bio and metabolites;HSDB:(91-44-1);MeSH:(7050);PubChem class - safety and toxic;PubMed	68804149862	232.133204784	NaN	350_challenge_412_	N/A
2	1	1	1	1	0.9927930231902692	-17.1574674307335	N/A	73.85164748570966	C18H20N2O6	[M + H]+	PVHUJELLJLJGLN	InChI=1S/C18H20N2O6/c1-5-26-18(22)15-11(3)19-10(2)14(17(21)25-4)16(15)12-7-6-8-13(9-12)20(23)24/h6-9,16,19H,5H2,1-4H3	Baypress	CCOC(=O)C1=C(NC(=C(C1C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OC)C)C	3.31929302	4507;157702;157704;451027;10893799;119057538;138402754	HMDB:(15187);SuperNatural:(SN00024360 SN00024361);ZINC bio:(ZINC19227923 ZINC19227925);additional;MeSH:(4507);PubMed;NORMAN:(NS00007571);COCONUT:(CNP0243342);database;PubChem:(4507 157702 157704 451027 10893799 119057538 138402754);CHEBI:(135522 7582);PubChem class - bio and metabolites;KEGG:(C07713);PubChem class - safety and toxic;PubChem class - drug	68840857966	361.1394123599999	NaN	357_challenge_419_	N/A
3	1	1	1	1	0.9925178258154393	-30.983073617288827	N/A	28.812580621547866	C22H23N3O4	[M + H]+	AAKJLRGGTJKAMG	InChI=1S/C22H23N3O4/c1-4-16-6-5-7-17(12-16)25-22-18-13-20(28-10-8-26-2)21(29-11-9-27-3)14-19(18)23-15-24-22/h1,5-7,12-15H,8-11H2,2-3H3,(H,23,24,25)	Erlotinib	COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC	3.29999995	176870;25124815;25125154;25125155;25125156;25125157;25125158;25125159;25125497;25125498;25125499;25125500;25125501;25125502;25125835;25125836;25125837;25125838;25125839;25207692;25235593;25235634;25235636;25235679;25235723;25235724;24825688;44625620;44243443;44243445;44243480;49849307;50878547	HMDB:(14671);ZINC bio:(ZINC01546066);additional;HSDB:(183321-74-6);MeSH:(176870);PubMed;NORMAN:(NS00006169);COCONUT:(CNP0021780);database;PubChem:(176870 25124815 25125154 25125155 25125156 25125157 25125158 25125159 25125497 25125498 25125499 25125500 25125501 25125502 25125835 25125836 25125837 25125838 25125839 25207692 25235593 25235634 25235636 25235679 25235723 25235724 24825688 44625620 44243443 44243445 44243480 49849307 50878547);CHEBI:(114785);PubChem class - bio and metabolites;PubChem class - safety and toxic;Training Set;PubChem class - drug	68839826030	394.176132216	NaN	436_challenge_490_	N/A
4	1	1	1	1	0.9862006329214902	-13.274322250732283	N/A	42.81807529239128	C19H20N2O2	[M + H]+	VYMDGNCVAMGZFE	InChI=1S/C19H20N2O2/c1-2-3-14-17-18(22)20(15-10-6-4-7-11-15)21(19(17)23)16-12-8-5-9-13-16/h4-13,17H,2-3,14H2,1H3	Anpuzone	CCCCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3	4.54357862	4781;45040227;71312581	HMDB:(14950);additional;HSDB:(50-33-9);MeSH:(4781);PubMed;NORMAN:(NS00000675);COCONUT:(CNP0251170 CNP0254262);database;PubChem:(4781 45040227 71312581);CHEBI:(48574);PubChem class - bio and metabolites;KEGG:(C07440);PubChem class - safety and toxic;Training Set;PubChem class - drug	68839818094	309.1597538799999	NaN	444_challenge_498_	N/A
5	1	1	1	1	0.9841812997665131	-3.4765560862053597	N/A	26.931063790611955	C19H24N2O3	[M - H]-	SGUAFYQXFOLMHL	InChI=1S/C19H24N2O3/c1-13(7-8-14-5-3-2-4-6-14)21-12-18(23)15-9-10-17(22)16(11-15)19(20)24/h2-6,9-11,13,18,21-23H,7-8,12H2,1H3,(H2,20,24)	Trandate	CC(CCC1=CC=CC=C1)NCC(C2=CC(=C(C=C2)O)C(=O)N)O	2.55577064	3869;53299;134043;134044;134045;3046034;12595696;25271683;25271867;24848330;41097887;41097888;71749708;70349571;90477511;118988635;139025020;138402684	HMDB:(14736);SuperNatural:(SN00001473 SN00000032 SN00000220 SN00001472);ZINC bio:(ZINC00000416 ZINC00004319 ZINC00403010 ZINC00403011);additional;HSDB:(36894-69-6);MeSH:(3869 134044);PubMed;NORMAN:(NS00008578);COCONUT:(CNP0114009 CNP0128491);database;PubChem:(3869 53299 134043 134044 134045 3046034 12595696 25271683 25271867 24848330 41097887 41097888 71749708 70349571 90477511 118988635 139025020 138402684);CHEBI:(94471 6343);PubChem class - bio and metabolites;KEGG:(C07063);PubChem class - safety and toxic;Training Set;PubChem class - drug	68840874862	327.171416628	NaN	182_challenge_261_	N/A
6	1	1	1	1	0.9784358820524316	-19.50211469364077	N/A	11.848937268148804	C13H11Cl2NO2	[M - H]-	QXJKBPAVAHBARF	InChI=1S/C13H11Cl2NO2/c1-12-6-13(12,2)11(18)16(10(12)17)9-4-7(14)3-8(15)5-9/h3-5H,6H2,1-2H3	Procilex	CC12CC1(C(=O)N(C2=O)C3=CC(=CC(=C3)Cl)Cl)C	3.28861952	36242;1549061;6560204;45356244;71751795;98044164	SuperNatural:(SN00213655);ZINC bio:(ZINC12349465);additional;MeSH:(36242 1549061);PubMed;NORMAN:(NS00000518);COCONUT:(CNP0322762);database;PubChem:(36242 1549061 6560204 45356244 71751795 98044164);CHEBI:(8450);KEGG:(C10986);PubChem class - safety and toxic;Training Set	68790542694	282.00940795200006	NaN	227_challenge_301_	N/A
7	1	1	1	1	0.9767169694229051	-14.183180469418163	N/A	14.689860630480155	C9H7NO2S2	[M - H]-	ZZUQWNYNSKJLPI	InChI=1S/C9H7NO2S2/c11-8(12)5-13-9-10-6-3-1-2-4-7(6)14-9/h1-4H,5H2,(H,11,12)	(2-Benzothiazolylthio)AceticAcid	C1=CC=C2C(=C1)N=C(S2)SCC(=O)O	2.35171103	80525;5047342	NORMAN:(NS00022583);MeSH:(80525);database;PubChem class - safety and toxic;PubChem:(80525 5047342);PubMed	68786847814	223.984544464	NaN	291_challenge_36_	N/A
8	1	1	1	1	0.9755908750360945	-364.84225893420097	N/A	110.8036888784919	C20H27NO8S	[M + H]+	AGBBJVFSJVBRRY	InChI=1S/C20H27NO8S/c1-10(22)21-14(18(28)29)7-30-8-15(23)20-9-19(2,3)6-11(20)4-12(17(26)27)13(20)5-16(24)25/h4,11,13-14H,5-9H2,1-3H3,(H,21,22)(H,24,25)(H,26,27)(H,28,29)	null	CC(=O)NC(CSCC(=O)C12CC(C)(C)CC1C=C(C(=O)O)C2CC(=O)O)C(=O)O	0.6085777216131918	""	""	0	442.15301382399986	NaN	465_challenge_68_	N/A
9	1	1	1	1	0.9753211355088722	-69.17893837468024	N/A	36.036187226583586	C11H10N2OS2	[M + H]+	FUHQSEOSBHASCH	InChI=1S/C11H10N2OS2/c1-15-10-12-6-11(16-10)7-4-2-3-5-8(7)13-9(11)14/h2-5H,6H2,1H3,(H,13,14)	2''-methylsulfanylspiro[1H-indole-3,5''-4H-1,3-thiazole]-2-one	CSC1=NCC2(S1)C3=CC=CC=C3NC2=O	1.79999995	188830;6424827;90658190;101132230;101600278;101862240	COCONUT:(CNP0350502);HMDB:(35974);KNApSAcK:(26995);Natural Products:(UNPD14973 UNPD134318);database;PubChem:(188830 6424827 90658190 101132230 101600278 101862240);SuperNatural:(SN00254946);additional;PubChem class - bio and metabolites;MeSH:(188830 90658190);PubMed;Biocyc:(CPD-16850)	68739958878	251.03073093999998	NaN	418_challenge_474_	N/A
10	1	1	1	1	0.9706150741122389	-5.916343492997275	N/A	30.375548258544146	C18H20N2O6	[M - H]-	PVHUJELLJLJGLN	InChI=1S/C18H20N2O6/c1-5-26-18(22)15-11(3)19-10(2)14(17(21)25-4)16(15)12-7-6-8-13(9-12)20(23)24/h6-9,16,19H,5H2,1-4H3	Baypress	CCOC(=O)C1=C(NC(=C(C1C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OC)C)C	3.31929302	4507;157702;157704;451027;10893799;119057538;138402754	HMDB:(15187);SuperNatural:(SN00024360 SN00024361);ZINC bio:(ZINC19227923 ZINC19227925);additional;MeSH:(4507);PubMed;NORMAN:(NS00007571);COCONUT:(CNP0243342);database;PubChem:(4507 157702 157704 451027 10893799 119057538 138402754);CHEBI:(135522 7582);PubChem class - bio and metabolites;KEGG:(C07713);PubChem class - safety and toxic;Training Set;PubChem class - drug	68840874350	359.1248603599999	NaN	228_challenge_302_	N/A
