Label,MG,MG,MG,Br3,Br3,Br3,Br7,Br7,Br7,Br10,Br10,Br10,Br15,Br15,Br15
2-Furoic acid,91749904,123000000,138000000,139000000,124000000,128000000,119000000,106000000,143000000,123000000,101000000,116000000,102000000,113000000,86420168
"9,10-Epoxyoctadecenoic acid",514658,432963,394907,1008600,985601,1140559,6876463,5404220,1377741,19780242,21500466,13962713,11016467,9436403,7394984
Arabinonic acid,44094516,45099768,41475720,36507932,40018796,41481328,37069304,36590904,42913036,33367448,32343748,35689796,30197362,26634360,28057994
D-Glucose,15084082,9934663,12522633,17812490,28294722,28402976,25318224,27513300,26080492,27899960,30198832,28325022,22909150,25339038,17435608
Galactonic acid,169000000,134000000,120000000,96834080,126000000,118000000,107000000,121000000,126000000,109000000,110000000,127000000,84849064,76323896,80855424
gamma-Glutamylglutamic acid,2128749,2630563,2454553,4076051,2483244,2377084,10659143,8363538,3058329,30811898,15883414,13218164,44506500,42738856,57108616
Gamma-Linolenic acid,2782680,2698394,3003734,2852568,2889486,3145430,5939850,5175116,3121557,15810131,17385664,10458278,9081356,8190758,7260154
Isocitric acid,89698480,116000000,131000000,115000000,109000000,111000000,87964192,101000000,117000000,94693528,78763680,79760512,60568148,84118488,67585584
L-Asparagine,29298438,27618520,31013568,25643708,22533696,24050736,9494902,15358946,23008012,9978359,13620191,16146170,22561616,23010886,15821462
L-Aspartic acid,39233364,29306718,55092664,61325752,55559420,58935456,49014376,83381864,75790392,88156776,95988448,95407432,129000000,120000000,123000000
L-Glutamine,234000000,186000000,228000000,201000000,216000000,202000000,96368360,155000000,204000000,87069208,138000000,144000000,174000000,162000000,147000000
Limocitrol,871315,1770402,1488783,5096260,3713362,4002665,11448721,10591272,5603140,11710509,9613016,9976568,13103802,11090222,11434498
"LysoPE(0:0/18:2(9Z,12Z))",22756206,18630180,16599392,22437886,18241808,18678126,29967206,16630192,15743013,18041026,8124008,9699373,16759032,10304701,16988160
Norfuraneol,4299212,4216786,5066810,8921455,8047223,8419569,21772888,22120820,11990077,27216750,25529528,26888196,50820412,44669168,48923928
Oxoglutaric acid,29107810,161090768,62711332,47449796,68310000,44480300,40759936,149449760,42471692,147919680,149088624,44217220,19443488,115589816,132785560
Stearidonic acid,1347697,1453302,1341097,6349351,3270279,2677144,68477888,37747828,5785737,105195336,85594304,71324576,93458504,76377664,70269504
L-Methionine,18633654,10013032,12905153,18197280,15429292,18117032,16911422,26361268,19170596,19905222,28398234,29786688,61869524,77983576,47061392
Trehalose,102000000,86000528,111000000,96467432,132000000,110000000,47549996,39074596,60189812,11105741,9658419,14196941,85930336,85078408,96050592
Guanosine,38362768,62339292,64061936,80875552,77352984,58021024,118949736,108844360,64386748,152456336,132966584,114910656,273566784,270672256,226358928
Uridine,1962180,2077839,2415229,2718581,7257904,3954552,9884241,5749482,4126770,7855326,6635864,9810972,14981367,13964298,6661269
