"","Br10_3_1","Br10_3_2","Br10_3_3","Br15_3_1","Br15_3_2","Br15_3_3","Br3_3_1","Br3_3_2","Br3_3_3","Br7_3_1","Br7_3_2","Br7_3_3","MG_3_1","MG_3_2","MG_3_3","QC1","QC2","QC3"
"Label","Br10","Br10","Br10","Br15","Br15","Br15","Br3","Br3","Br3","Br7","Br7","Br7","MG","MG","MG","QC","QC","QC"
"(-)-Catechin gallate","N/F","13467","N/F","20040","N/F","53643","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","74203","N/F","41673"
"Butyric acid(C4:0)","2139976","2959945","2314487","2672425","2973123","2561715","2399270","1471555","1084528"," 479926","2210231","1548424"," 954746"," 556140"," 976664","1709872","1464218","1624801"
"Oxalic acid"," 2464059","  971335"," 2815542"," 2474635"," 3894023"," 4005515"," 1184548","  317822"," 2480493"," 2429646"," 1758424"," 2141504"," 1833589","  883038","  997883","10717493"," 5238624"," 6568813"
"2-Hydroxypyridine","5353827","4116019","3697078","6018016","4709904","2003872","5769619","2311460","3343296","2238306","4900778","2510950","1427198","3222320","3361012","4014041","3105066","3242355"
"3-Methoxyfuran","25246449","14860548","16069296","14963451","31393284","15792630","33216306","14316948","21157921","12681023","15165401","14273253","14592479","14519790","16330294"," 8168623","13614333","14524815"
"alpha-hydroxyisobutyric acid","6265764","7291054","5981648","6862529","5722924","5618900","7574507","6252435","5805508","6132398","4607810","5909808","4560514","5058963","5094184","5051537","4916126","6008293"
"2-hydroxybutyric acid","6311841","7324832","4260481","6730523","6599128","5607607","7591715","6309971","5687960","6673944","4524731","5851115","2038411","5203066","4826518","3547113","4965440","5685305"
"3-Hydroxybutyric acid","6311841","7324832","4260481","6730523","6599128","5607607","7591715","6309971","5687960","6673944","4524731","5851115","2038411","5203066","4826518","3547113","4965440","5685305"
"L-serine","30181065","27349973","30085779","43044099","29509257","37155704","65300675","23479561","35938907","33469889","20959713","20574375","74521824","44294336","44331410","36401630","36589493","39118775"
