,MG_1_1,MG_1_2,MG_1_3,Br3_1_1,Br3_1_2,Br3_1_3,Br7_1_1,Br7_1_2,Br7_1_3,Br10_1_1,Br10_1_2,Br10_1_3,Br15_1_1,Br15_1_2,Br15_1_3,QC1,QC2,QC3
Label,MG,MG,MG,Br3,Br3,Br3,Br7,Br7,Br7,Br10,Br10,Br10,Br15,Br15,Br15,QC,QC,QC
Methylisocitric acid,268427,23923,17672,43990,63503,69291,271873,162127,24381,164252,343169,234436,291790,301618,130420,35207,53382,57190
"1'-[(2H-1,3-benzodioxol-5-yl)methyl]-7-chloro-4,6-dimethoxy-8'-methyl-2',3',4',6',8',9'-hexahydro-1'H,3H-spiro[1-benzofuran-2,7'-pyrimido[4,5-b]quinoline]-2',3,4',6'-tetrone",0,11512,9043,34860,21321,49599,95568,93139,39933,150886,155245,103952,215143,268302,186491,99393,57205,52450
UNPD132537,7684,163011,292246,39935,90284,108684,0,30980,36497,65824,62333,62707,0,0,0,296175,204472,173972
"1-Hydroxy-3,5-dimethoxy-2,4-diprenylxanthone",81758,13662,1399,47237,43990,72024,52739,74230,70633,64031,82001,43512,41931,22521,16463,8509,60724,31424
"13-Oxo-9,11-tridecadienoic acid",28713,67633,80529,102846,72897,62284,1011102,540441,81839,972259,932803,577635,639492,603384,849231,22418,23204,29556
3-bromofluoranthene,584193,569125,714790,872593,987461,553945,1629579,2114438,1459742,1652434,1453875,1168037,819034,1100263,963928,786618,533636,548180
N-Acryloylglycine,206289,123668,148949,539505,620285,525035,407030,503569,372766,401391,547629,533784,1035326,1057058,954353,114861,239859,307943
"N-(2-methylpropyl)-3-phenyl-2-(3-{2,5,9-trimethyl-7-oxo-3-phenyl-7H-furo[3,2-g]chromen-6-yl}propanamido)propanamide",322627,1091,0,96551,157666,119514,61064,54401,72097,9260,10019,24490,34732,31890,27514,0,91265,140172
CNP0427352,69411,52507,59556,110730,153121,178711,205225,225382,219377,199027,222541,216959,190899,187861,216480,8839,67290,82678
UNPD91018,13964,22705,16866,0,5202,144590,0,170506,18447,147401,6157,16009,11548,178335,8439,6953,7965,22771
N-Benzoylaspartic acid,67808,133574,247548,776749,650908,601670,227642,276370,285622,244574,372078,400453,444439,428500,397214,239300,222402,233493
"11,22-dimethyl 3,14-dioxo-8,19-bis({[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy})-4,9,15,20-tetraoxatricyclo[16.4.0.0?,??]docosa-6,10,17,21-tetraene-11,22-dicarboxylate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15057,4472,20883
PubChem_156596460,0,0,0,14648,9328,12437,95368,143928,129054,52581,69385,46903,85578,27768,102875,5363,3620,14708
"N-(carbamoylimino)-3,5-dichloro-4-methoxybenzen-1-amine oxide",61793,61735,56762,134654,124996,80857,157678,249512,249385,152698,148146,175677,64114,78608,66855,45483,72926,86182
"PE(18:2(9Z,12Z)/18:3(6Z,9Z,12Z))",155244,272905,273763,272585,221109,302085,191068,219972,286056,279817,639734,934741,234846,225030,149138,163367,175655,184525
PubChem_6330567,166057,307286,303222,153782,115101,122173,55234,68463,84774,52102,55920,72345,93722,94173,92193,363356,246255,194064
PubChem_102166182,1203813,1285404,1350459,951726,703879,687985,379027,419601,474231,457838,494950,351374,408257,344323,338163,1343290,1283447,1066675
Phlorisobutyrophenone 2-glucoside,80747,640995,1987928,3387505,1122908,1798921,4714479,2870006,983214,533457,2047332,3179921,524501,855986,2181667,594544,177018,639948
L-Gulonolactone,1493892,910353,1069595,1815809,2571246,2621878,1080047,1017263,1098922,1032866,994069,911990,778846,810158,713156,875043,1128286,1465873
