,MG_1_1,MG_1_2,MG_1_3,Br3_1_1,Br3_1_2,Br3_1_3,Br7_1_1,Br7_1_2,Br7_1_3,Br10_1_1,Br10_1_2,Br10_1_3,Br15_1_1,Br15_1_2,Br15_1_3,QC1,QC2,QC3
Label,MG,MG,MG,Br3,Br3,Br3,Br7,Br7,Br7,Br10,Br10,Br10,Br15,Br15,Br15,QC,QC,QC
CNP0432135,73442,97618,291216,75926,5123,188536,53610,33659,281118,149228,18343,149888,124007,172633,78331,84620,106550,106661
"5-(Benzoylamino)-1,3-benzenedicarboxylic acid",0,0,0,27220,0,0,173210,114956,37385,383665,256890,264819,759438,1116619,808989,53158,51534,42144
Kaempferol,45481,44891,63258,88003,138387,136518,338688,195283,178428,419986,314186,215686,458267,480036,534362,38542,16212,47215
Valinoctin B,359677,611981,1162774,0,1116033,0,744315,941328,805156,0,957168,48889,508302,667258,68189,38510,442869,445905
{5-[(6-ethoxy-6-oxohexyl)amino]pentyl}carbamic acid,359677,54851,1162774,994393,90497,806611,84603,941328,805156,903455,100574,759889,508302,108255,715795,421637,442869,445905
Ophthalmic acid,431777,660814,344263,89667,0,0,0,60666,71079,0,72438,0,61738,0,69247,0,231591,171747
PubChem_18625291,0,0,0,932925,85433,568085,530295,1545453,358433,556494,612010,468909,185291,417085,513128,160817,140019,175581
Leucyl-Tyrosine,329698,37536,267079,408272,11076,493936,13115,4014,139878,221038,5035,293499,379972,8587,237122,419109,232258,634497
2-[(7-chloroquinolin-4-yl)amino]benzoic acid,0,0,0,0,0,0,0,25772,0,0,0,0,0,0,0,12581,16087,27080
PubChem_134675195,0,0,0,4045925,1171333,2982541,4126260,4288910,5209542,1713132,3181121,4203965,4399696,4000896,4060734,3657316,4261958,3896277
Glutathione,0,0,24263,140230,54014,184324,106596,533091,267863,1210354,130268,566600,707410,634817,791034,113867,107752,122166
N-Acetylhistamine,259285,0,445777,328003,0,180838,390649,13516,407405,724438,86426,792838,131267,6334,215752,188306,194028,197884
cis-Resveratrol 3-sulfate,66195,2968,48301,94144,14122,59805,169282,51145,147470,195663,26441,146398,620232,135362,268639,107606,99977,135402
UNPD7601,17287,46372,30757,37229,77310,19520,424765,253300,64213,903198,449899,452581,1854695,1112170,662533,21020,52222,56362
naphthalen-1-yl (2S)-2-acetamido-4-methylsulfanylbutanoate,78480,193008,210314,0,208491,0,336876,485609,192132,7333,275594,33766,415226,654766,14980,19172,162103,130737
